rank,path,target_url,locale,page_type,mbti_type,cohort_group,action_bucket,rerun_lane,rerun_allowed,blocked_reason,evidence_quality,priority_score,query_rows_captured,impressions,clicks,ctr,average_position,qa_decision,recommended_next_task
"11","/en/personality/esfj-a","https://fermatmind.com/en/personality/esfj-a","en","variant","ESFJ","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","query_evidence_waitlist","false","query_evidence_suppressed","page_level_only_query_suppressed","47.041","0","3","0","0","26.7","PASS_READY_FOR_CMS_DRAFT","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"12","/en/personality/entj-a","https://fermatmind.com/en/personality/entj-a","en","variant","ENTJ","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","query_evidence_waitlist","false","query_evidence_suppressed","page_level_only_query_suppressed","44.542","0","2","0","0","25","PASS_READY_FOR_CMS_DRAFT","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"13","/en/personality/estp-t","https://fermatmind.com/en/personality/estp-t","en","variant","ESTP","expansion_88","HOLD_QUERY_EVIDENCE_SUPPRESSED","query_evidence_waitlist","false","query_evidence_suppressed","page_level_only_query_suppressed","44.542","0","2","0","0","46.5","PASS_READY_FOR_CMS_DRAFT","MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01"
"14","/en/personality/intj-a-vs-intj-t","https://fermatmind.com/en/personality/intj-a-vs-intj-t","en","comparison","INTJ","pilot_8","OBSERVE_OPTIMIZED_PILOT","pilot_observation_baseline","false","optimized_pilot_hold","page_level_only","75.021","0","1","0","0","5","","next_scheduled_gsc_import"
"15","/zh/personality/istj-a","https://fermatmind.com/zh/personality/istj-a","zh","variant","ISTJ","pilot_8","OBSERVE_OPTIMIZED_PILOT","pilot_observation_baseline","false","optimized_pilot_hold","page_level_only","64.735","0","23","1","0.043478","9","","next_scheduled_gsc_import"
"16","/en/personality/intp-a-vs-intp-t","https://fermatmind.com/en/personality/intp-a-vs-intp-t","en","comparison","INTP","pilot_8","OBSERVE_OPTIMIZED_PILOT","pilot_observation_baseline","false","optimized_pilot_hold","page_level_only","64.279","0","4","0","0","10.8","","next_scheduled_gsc_import"
"17","/en/personality/intj-a","https://fermatmind.com/en/personality/intj-a","en","variant","INTJ","pilot_8","OBSERVE_OPTIMIZED_PILOT","pilot_observation_baseline","false","optimized_pilot_hold","no_gsc_row","0","0","0","0","0","","","next_scheduled_gsc_import"
"18","/en/personality/intj-t","https://fermatmind.com/en/personality/intj-t","en","variant","INTJ","pilot_8","OBSERVE_OPTIMIZED_PILOT","pilot_observation_baseline","false","optimized_pilot_hold","no_gsc_row","0","0","0","0","0","","","next_scheduled_gsc_import"
"19","/zh/personality/infp-t","https://fermatmind.com/zh/personality/infp-t","zh","variant","INFP","pilot_8","OBSERVE_OPTIMIZED_PILOT","pilot_observation_baseline","false","optimized_pilot_hold","no_gsc_row","0","0","0","0","0","","","next_scheduled_gsc_import"
"20","/zh/personality/intj-a","https://fermatmind.com/zh/personality/intj-a","zh","variant","INTJ","pilot_8","OBSERVE_OPTIMIZED_PILOT","pilot_observation_baseline","false","optimized_pilot_hold","no_gsc_row","0","0","0","0","0","","","next_scheduled_gsc_import"
"21","/zh/personality/intj-t","https://fermatmind.com/zh/personality/intj-t","zh","variant","INTJ","pilot_8","OBSERVE_OPTIMIZED_PILOT","pilot_observation_baseline","false","optimized_pilot_hold","no_gsc_row","0","0","0","0","0","","","next_scheduled_gsc_import"
"22","/en/personality/enfj-a-vs-enfj-t","https://fermatmind.com/en/personality/enfj-a-vs-enfj-t","en","comparison","ENFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"23","/en/personality/enfj-t","https://fermatmind.com/en/personality/enfj-t","en","variant","ENFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"24","/en/personality/enfp-a-vs-enfp-t","https://fermatmind.com/en/personality/enfp-a-vs-enfp-t","en","comparison","ENFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"25","/en/personality/enfp-t","https://fermatmind.com/en/personality/enfp-t","en","variant","ENFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"26","/en/personality/entj-a-vs-entj-t","https://fermatmind.com/en/personality/entj-a-vs-entj-t","en","comparison","ENTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"27","/en/personality/entj-t","https://fermatmind.com/en/personality/entj-t","en","variant","ENTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"28","/en/personality/entp-a","https://fermatmind.com/en/personality/entp-a","en","variant","ENTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"29","/en/personality/entp-a-vs-entp-t","https://fermatmind.com/en/personality/entp-a-vs-entp-t","en","comparison","ENTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"30","/en/personality/entp-t","https://fermatmind.com/en/personality/entp-t","en","variant","ENTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"31","/en/personality/esfj-a-vs-esfj-t","https://fermatmind.com/en/personality/esfj-a-vs-esfj-t","en","comparison","ESFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"32","/en/personality/esfp-a","https://fermatmind.com/en/personality/esfp-a","en","variant","ESFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"33","/en/personality/esfp-a-vs-esfp-t","https://fermatmind.com/en/personality/esfp-a-vs-esfp-t","en","comparison","ESFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"34","/en/personality/esfp-t","https://fermatmind.com/en/personality/esfp-t","en","variant","ESFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"35","/en/personality/estj-a","https://fermatmind.com/en/personality/estj-a","en","variant","ESTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"36","/en/personality/estj-a-vs-estj-t","https://fermatmind.com/en/personality/estj-a-vs-estj-t","en","comparison","ESTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"37","/en/personality/estj-t","https://fermatmind.com/en/personality/estj-t","en","variant","ESTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"38","/en/personality/estp-a","https://fermatmind.com/en/personality/estp-a","en","variant","ESTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"39","/en/personality/estp-a-vs-estp-t","https://fermatmind.com/en/personality/estp-a-vs-estp-t","en","comparison","ESTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"40","/en/personality/infj-a","https://fermatmind.com/en/personality/infj-a","en","variant","INFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"41","/en/personality/infj-a-vs-infj-t","https://fermatmind.com/en/personality/infj-a-vs-infj-t","en","comparison","INFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"42","/en/personality/infj-t","https://fermatmind.com/en/personality/infj-t","en","variant","INFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"43","/en/personality/infp-a","https://fermatmind.com/en/personality/infp-a","en","variant","INFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"44","/en/personality/infp-a-vs-infp-t","https://fermatmind.com/en/personality/infp-a-vs-infp-t","en","comparison","INFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"45","/en/personality/infp-t","https://fermatmind.com/en/personality/infp-t","en","variant","INFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"46","/en/personality/intp-t","https://fermatmind.com/en/personality/intp-t","en","variant","INTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"47","/en/personality/isfj-a","https://fermatmind.com/en/personality/isfj-a","en","variant","ISFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"48","/en/personality/isfj-a-vs-isfj-t","https://fermatmind.com/en/personality/isfj-a-vs-isfj-t","en","comparison","ISFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"49","/en/personality/isfj-t","https://fermatmind.com/en/personality/isfj-t","en","variant","ISFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"50","/en/personality/isfp-a","https://fermatmind.com/en/personality/isfp-a","en","variant","ISFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"51","/en/personality/isfp-a-vs-isfp-t","https://fermatmind.com/en/personality/isfp-a-vs-isfp-t","en","comparison","ISFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"52","/en/personality/isfp-t","https://fermatmind.com/en/personality/isfp-t","en","variant","ISFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"53","/en/personality/istj-a","https://fermatmind.com/en/personality/istj-a","en","variant","ISTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"54","/en/personality/istj-a-vs-istj-t","https://fermatmind.com/en/personality/istj-a-vs-istj-t","en","comparison","ISTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"55","/en/personality/istj-t","https://fermatmind.com/en/personality/istj-t","en","variant","ISTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"56","/en/personality/istp-a-vs-istp-t","https://fermatmind.com/en/personality/istp-a-vs-istp-t","en","comparison","ISTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"57","/en/personality/istp-t","https://fermatmind.com/en/personality/istp-t","en","variant","ISTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"58","/zh/personality/enfj-a","https://fermatmind.com/zh/personality/enfj-a","zh","variant","ENFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"59","/zh/personality/enfj-a-vs-enfj-t","https://fermatmind.com/zh/personality/enfj-a-vs-enfj-t","zh","comparison","ENFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"60","/zh/personality/enfj-t","https://fermatmind.com/zh/personality/enfj-t","zh","variant","ENFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"61","/zh/personality/enfp-a","https://fermatmind.com/zh/personality/enfp-a","zh","variant","ENFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"62","/zh/personality/enfp-a-vs-enfp-t","https://fermatmind.com/zh/personality/enfp-a-vs-enfp-t","zh","comparison","ENFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"63","/zh/personality/enfp-t","https://fermatmind.com/zh/personality/enfp-t","zh","variant","ENFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"64","/zh/personality/entj-a","https://fermatmind.com/zh/personality/entj-a","zh","variant","ENTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"65","/zh/personality/entj-a-vs-entj-t","https://fermatmind.com/zh/personality/entj-a-vs-entj-t","zh","comparison","ENTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"66","/zh/personality/entj-t","https://fermatmind.com/zh/personality/entj-t","zh","variant","ENTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"67","/zh/personality/entp-a","https://fermatmind.com/zh/personality/entp-a","zh","variant","ENTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"68","/zh/personality/entp-a-vs-entp-t","https://fermatmind.com/zh/personality/entp-a-vs-entp-t","zh","comparison","ENTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"69","/zh/personality/entp-t","https://fermatmind.com/zh/personality/entp-t","zh","variant","ENTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"70","/zh/personality/esfj-a-vs-esfj-t","https://fermatmind.com/zh/personality/esfj-a-vs-esfj-t","zh","comparison","ESFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"71","/zh/personality/esfj-t","https://fermatmind.com/zh/personality/esfj-t","zh","variant","ESFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"72","/zh/personality/esfp-a-vs-esfp-t","https://fermatmind.com/zh/personality/esfp-a-vs-esfp-t","zh","comparison","ESFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"73","/zh/personality/esfp-t","https://fermatmind.com/zh/personality/esfp-t","zh","variant","ESFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"74","/zh/personality/estj-a","https://fermatmind.com/zh/personality/estj-a","zh","variant","ESTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"75","/zh/personality/estj-a-vs-estj-t","https://fermatmind.com/zh/personality/estj-a-vs-estj-t","zh","comparison","ESTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"76","/zh/personality/estj-t","https://fermatmind.com/zh/personality/estj-t","zh","variant","ESTJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"77","/zh/personality/estp-a","https://fermatmind.com/zh/personality/estp-a","zh","variant","ESTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"78","/zh/personality/estp-a-vs-estp-t","https://fermatmind.com/zh/personality/estp-a-vs-estp-t","zh","comparison","ESTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"79","/zh/personality/estp-t","https://fermatmind.com/zh/personality/estp-t","zh","variant","ESTP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"80","/zh/personality/infj-a","https://fermatmind.com/zh/personality/infj-a","zh","variant","INFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"81","/zh/personality/infj-a-vs-infj-t","https://fermatmind.com/zh/personality/infj-a-vs-infj-t","zh","comparison","INFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"82","/zh/personality/infj-t","https://fermatmind.com/zh/personality/infj-t","zh","variant","INFJ","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"83","/zh/personality/infp-a","https://fermatmind.com/zh/personality/infp-a","zh","variant","INFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
"84","/zh/personality/infp-a-vs-infp-t","https://fermatmind.com/zh/personality/infp-a-vs-infp-t","zh","comparison","INFP","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","measurement_backlog","false","gsc_row_not_observed","no_gsc_row","0","0","0","0","0","","PASS_READY_FOR_CMS_DRAFT","next_scheduled_gsc_import"
