route,kind,group,content_status,runtime_status,api_status,api_latency_ms,answer_block_count,faq_count,section_count,internal_link_count,seo_present,canonical,robots,jsonld_types,sitemap,llms,llms_full,gsc_evidence_status
/zh/personality/esfj-t,profile,SJ,needs_content_repair,needs_runtime_repair,ok,20092,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/istp-a,profile,SP,verify_only,needs_runtime_repair,ok,15608,1,4,34,5,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,captured_existing_cohort
/zh/personality/istp-t,profile,SP,needs_content_repair,needs_runtime_repair,ok,22769,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/isfp-a,profile,SP,verify_only,needs_runtime_repair,ok,22561,1,4,34,5,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,captured_existing_cohort
/zh/personality/isfp-t,profile,SP,needs_content_repair,needs_runtime_repair,ok,15537,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/estp-a,profile,SP,needs_content_repair,needs_runtime_repair,ok,18515,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/estp-t,profile,SP,needs_content_repair,needs_runtime_repair,ok,11789,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/esfp-a,profile,SP,needs_content_repair,needs_runtime_repair,ok,21619,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/esfp-t,profile,SP,needs_content_repair,needs_runtime_repair,ok,27654,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/intj-a-vs-intj-t,at_comparison,NT,needs_content_repair,needs_runtime_repair,ok,43144,1,5,0,4,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,external_evidence_pending
/zh/personality/intp-a-vs-intp-t,at_comparison,NT,verify_only,needs_runtime_repair,ok,40854,1,5,6,5,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,captured_existing_cohort
/zh/personality/entj-a-vs-entj-t,at_comparison,NT,needs_content_repair,needs_runtime_repair,ok,23704,1,5,0,4,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,external_evidence_pending
/zh/personality/entp-a-vs-entp-t,at_comparison,NT,needs_content_repair,needs_runtime_repair,ok,16655,1,5,0,4,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,external_evidence_pending
/zh/personality/infj-a-vs-infj-t,at_comparison,NF,needs_content_repair,needs_runtime_repair,ok,7163,1,5,0,4,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,external_evidence_pending
/zh/personality/infp-a-vs-infp-t,at_comparison,NF,needs_content_repair,needs_runtime_repair,ok,15271,1,5,0,4,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,external_evidence_pending
/zh/personality/enfj-a-vs-enfj-t,at_comparison,NF,needs_content_repair,needs_runtime_repair,ok,9804,1,5,0,4,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,external_evidence_pending
/zh/personality/enfp-a-vs-enfp-t,at_comparison,NF,needs_content_repair,needs_runtime_repair,ok,9059,1,5,0,4,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,external_evidence_pending
/zh/personality/istj-a-vs-istj-t,at_comparison,SJ,needs_content_repair,needs_runtime_repair,ok,9212,1,5,0,4,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,external_evidence_pending
/zh/personality/isfj-a-vs-isfj-t,at_comparison,SJ,needs_content_repair,needs_runtime_repair,ok,6454,1,5,0,4,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,external_evidence_pending
/zh/personality/estj-a-vs-estj-t,at_comparison,SJ,needs_content_repair,needs_runtime_repair,ok,6704,1,5,0,4,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,external_evidence_pending
/zh/personality/esfj-a-vs-esfj-t,at_comparison,SJ,needs_content_repair,needs_runtime_repair,ok,7828,1,5,0,4,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,external_evidence_pending
/zh/personality/istp-a-vs-istp-t,at_comparison,SP,needs_content_repair,needs_runtime_repair,ok,11479,1,5,0,4,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,external_evidence_pending
/zh/personality/isfp-a-vs-isfp-t,at_comparison,SP,needs_content_repair,needs_runtime_repair,ok,12154,1,5,0,4,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,external_evidence_pending
/zh/personality/estp-a-vs-estp-t,at_comparison,SP,needs_content_repair,needs_runtime_repair,ok,13800,1,5,0,4,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,external_evidence_pending
/zh/personality/esfp-a-vs-esfp-t,at_comparison,SP,needs_content_repair,needs_runtime_repair,ok,10328,1,5,0,4,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,external_evidence_pending
/zh/personality/intj-vs-intp,cross_type_comparison,hot_cross_type,verify_only,needs_runtime_repair,ok,7973,0,5,6,5,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,captured_existing_cohort
/zh/personality/entj-vs-intj,cross_type_comparison,hot_cross_type,verify_only,needs_runtime_repair,ok,5247,0,5,6,5,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,captured_existing_cohort
/zh/personality/infj-vs-infp,cross_type_comparison,hot_cross_type,verify_only,needs_runtime_repair,ok,7369,0,5,6,5,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,captured_existing_cohort
/zh/personality/istj-vs-isfj,cross_type_comparison,hot_cross_type,verify_only,needs_runtime_repair,ok,2966,0,5,6,5,true,true,"index, follow",Answer|BreadcrumbList|CollectionPage|FAQPage|ItemList|ListItem|Question,true,true,false,captured_existing_cohort
