rank,path,target_url,locale,page_type,mbti_type,variant,cohort_group,action_bucket,allowed_next_action,blocked_reason,evidence_quality,priority_score,impressions,clicks,ctr,average_position,query_rows_captured,recommended_next_task
"17","/en/personality/intj-a","https://fermatmind.com/en/personality/intj-a","en","variant","INTJ","A","pilot_8","OBSERVE_OPTIMIZED_PILOT","observe_without_rewrite","optimized_pilot_hold","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"18","/en/personality/intj-t","https://fermatmind.com/en/personality/intj-t","en","variant","INTJ","T","pilot_8","OBSERVE_OPTIMIZED_PILOT","observe_without_rewrite","optimized_pilot_hold","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"19","/zh/personality/infp-t","https://fermatmind.com/zh/personality/infp-t","zh","variant","INFP","T","pilot_8","OBSERVE_OPTIMIZED_PILOT","observe_without_rewrite","optimized_pilot_hold","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"20","/zh/personality/intj-a","https://fermatmind.com/zh/personality/intj-a","zh","variant","INTJ","A","pilot_8","OBSERVE_OPTIMIZED_PILOT","observe_without_rewrite","optimized_pilot_hold","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"21","/zh/personality/intj-t","https://fermatmind.com/zh/personality/intj-t","zh","variant","INTJ","T","pilot_8","OBSERVE_OPTIMIZED_PILOT","observe_without_rewrite","optimized_pilot_hold","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"22","/en/personality/enfj-a-vs-enfj-t","https://fermatmind.com/en/personality/enfj-a-vs-enfj-t","en","comparison","ENFJ","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"23","/en/personality/enfj-t","https://fermatmind.com/en/personality/enfj-t","en","variant","ENFJ","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"24","/en/personality/enfp-a-vs-enfp-t","https://fermatmind.com/en/personality/enfp-a-vs-enfp-t","en","comparison","ENFP","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"25","/en/personality/enfp-t","https://fermatmind.com/en/personality/enfp-t","en","variant","ENFP","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"26","/en/personality/entj-a-vs-entj-t","https://fermatmind.com/en/personality/entj-a-vs-entj-t","en","comparison","ENTJ","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"27","/en/personality/entj-t","https://fermatmind.com/en/personality/entj-t","en","variant","ENTJ","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"28","/en/personality/entp-a","https://fermatmind.com/en/personality/entp-a","en","variant","ENTP","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"29","/en/personality/entp-a-vs-entp-t","https://fermatmind.com/en/personality/entp-a-vs-entp-t","en","comparison","ENTP","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"30","/en/personality/entp-t","https://fermatmind.com/en/personality/entp-t","en","variant","ENTP","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"31","/en/personality/esfj-a-vs-esfj-t","https://fermatmind.com/en/personality/esfj-a-vs-esfj-t","en","comparison","ESFJ","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"32","/en/personality/esfp-a","https://fermatmind.com/en/personality/esfp-a","en","variant","ESFP","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"33","/en/personality/esfp-a-vs-esfp-t","https://fermatmind.com/en/personality/esfp-a-vs-esfp-t","en","comparison","ESFP","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"34","/en/personality/esfp-t","https://fermatmind.com/en/personality/esfp-t","en","variant","ESFP","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"35","/en/personality/estj-a","https://fermatmind.com/en/personality/estj-a","en","variant","ESTJ","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"36","/en/personality/estj-a-vs-estj-t","https://fermatmind.com/en/personality/estj-a-vs-estj-t","en","comparison","ESTJ","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"37","/en/personality/estj-t","https://fermatmind.com/en/personality/estj-t","en","variant","ESTJ","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"38","/en/personality/estp-a","https://fermatmind.com/en/personality/estp-a","en","variant","ESTP","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"39","/en/personality/estp-a-vs-estp-t","https://fermatmind.com/en/personality/estp-a-vs-estp-t","en","comparison","ESTP","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"40","/en/personality/infj-a","https://fermatmind.com/en/personality/infj-a","en","variant","INFJ","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"41","/en/personality/infj-a-vs-infj-t","https://fermatmind.com/en/personality/infj-a-vs-infj-t","en","comparison","INFJ","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"42","/en/personality/infj-t","https://fermatmind.com/en/personality/infj-t","en","variant","INFJ","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"43","/en/personality/infp-a","https://fermatmind.com/en/personality/infp-a","en","variant","INFP","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"44","/en/personality/infp-a-vs-infp-t","https://fermatmind.com/en/personality/infp-a-vs-infp-t","en","comparison","INFP","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"45","/en/personality/infp-t","https://fermatmind.com/en/personality/infp-t","en","variant","INFP","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"46","/en/personality/intp-t","https://fermatmind.com/en/personality/intp-t","en","variant","INTP","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"47","/en/personality/isfj-a","https://fermatmind.com/en/personality/isfj-a","en","variant","ISFJ","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"48","/en/personality/isfj-a-vs-isfj-t","https://fermatmind.com/en/personality/isfj-a-vs-isfj-t","en","comparison","ISFJ","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"49","/en/personality/isfj-t","https://fermatmind.com/en/personality/isfj-t","en","variant","ISFJ","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"50","/en/personality/isfp-a","https://fermatmind.com/en/personality/isfp-a","en","variant","ISFP","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"51","/en/personality/isfp-a-vs-isfp-t","https://fermatmind.com/en/personality/isfp-a-vs-isfp-t","en","comparison","ISFP","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"52","/en/personality/isfp-t","https://fermatmind.com/en/personality/isfp-t","en","variant","ISFP","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"53","/en/personality/istj-a","https://fermatmind.com/en/personality/istj-a","en","variant","ISTJ","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"54","/en/personality/istj-a-vs-istj-t","https://fermatmind.com/en/personality/istj-a-vs-istj-t","en","comparison","ISTJ","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"55","/en/personality/istj-t","https://fermatmind.com/en/personality/istj-t","en","variant","ISTJ","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"56","/en/personality/istp-a-vs-istp-t","https://fermatmind.com/en/personality/istp-a-vs-istp-t","en","comparison","ISTP","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"57","/en/personality/istp-t","https://fermatmind.com/en/personality/istp-t","en","variant","ISTP","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"58","/zh/personality/enfj-a","https://fermatmind.com/zh/personality/enfj-a","zh","variant","ENFJ","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"59","/zh/personality/enfj-a-vs-enfj-t","https://fermatmind.com/zh/personality/enfj-a-vs-enfj-t","zh","comparison","ENFJ","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"60","/zh/personality/enfj-t","https://fermatmind.com/zh/personality/enfj-t","zh","variant","ENFJ","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"61","/zh/personality/enfp-a","https://fermatmind.com/zh/personality/enfp-a","zh","variant","ENFP","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"62","/zh/personality/enfp-a-vs-enfp-t","https://fermatmind.com/zh/personality/enfp-a-vs-enfp-t","zh","comparison","ENFP","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"63","/zh/personality/enfp-t","https://fermatmind.com/zh/personality/enfp-t","zh","variant","ENFP","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"64","/zh/personality/entj-a","https://fermatmind.com/zh/personality/entj-a","zh","variant","ENTJ","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"65","/zh/personality/entj-a-vs-entj-t","https://fermatmind.com/zh/personality/entj-a-vs-entj-t","zh","comparison","ENTJ","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"66","/zh/personality/entj-t","https://fermatmind.com/zh/personality/entj-t","zh","variant","ENTJ","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"67","/zh/personality/entp-a","https://fermatmind.com/zh/personality/entp-a","zh","variant","ENTP","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"68","/zh/personality/entp-a-vs-entp-t","https://fermatmind.com/zh/personality/entp-a-vs-entp-t","zh","comparison","ENTP","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"69","/zh/personality/entp-t","https://fermatmind.com/zh/personality/entp-t","zh","variant","ENTP","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"70","/zh/personality/esfj-a-vs-esfj-t","https://fermatmind.com/zh/personality/esfj-a-vs-esfj-t","zh","comparison","ESFJ","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"71","/zh/personality/esfj-t","https://fermatmind.com/zh/personality/esfj-t","zh","variant","ESFJ","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"72","/zh/personality/esfp-a-vs-esfp-t","https://fermatmind.com/zh/personality/esfp-a-vs-esfp-t","zh","comparison","ESFP","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"73","/zh/personality/esfp-t","https://fermatmind.com/zh/personality/esfp-t","zh","variant","ESFP","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"74","/zh/personality/estj-a","https://fermatmind.com/zh/personality/estj-a","zh","variant","ESTJ","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"75","/zh/personality/estj-a-vs-estj-t","https://fermatmind.com/zh/personality/estj-a-vs-estj-t","zh","comparison","ESTJ","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"76","/zh/personality/estj-t","https://fermatmind.com/zh/personality/estj-t","zh","variant","ESTJ","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"77","/zh/personality/estp-a","https://fermatmind.com/zh/personality/estp-a","zh","variant","ESTP","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"78","/zh/personality/estp-a-vs-estp-t","https://fermatmind.com/zh/personality/estp-a-vs-estp-t","zh","comparison","ESTP","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"79","/zh/personality/estp-t","https://fermatmind.com/zh/personality/estp-t","zh","variant","ESTP","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"80","/zh/personality/infj-a","https://fermatmind.com/zh/personality/infj-a","zh","variant","INFJ","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"81","/zh/personality/infj-a-vs-infj-t","https://fermatmind.com/zh/personality/infj-a-vs-infj-t","zh","comparison","INFJ","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"82","/zh/personality/infj-t","https://fermatmind.com/zh/personality/infj-t","zh","variant","INFJ","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"83","/zh/personality/infp-a","https://fermatmind.com/zh/personality/infp-a","zh","variant","INFP","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"84","/zh/personality/infp-a-vs-infp-t","https://fermatmind.com/zh/personality/infp-a-vs-infp-t","zh","comparison","INFP","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"85","/zh/personality/intj-a-vs-intj-t","https://fermatmind.com/zh/personality/intj-a-vs-intj-t","zh","comparison","INTJ","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"86","/zh/personality/intp-t","https://fermatmind.com/zh/personality/intp-t","zh","variant","INTP","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"87","/zh/personality/isfj-a","https://fermatmind.com/zh/personality/isfj-a","zh","variant","ISFJ","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"88","/zh/personality/isfj-a-vs-isfj-t","https://fermatmind.com/zh/personality/isfj-a-vs-isfj-t","zh","comparison","ISFJ","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"89","/zh/personality/isfj-t","https://fermatmind.com/zh/personality/isfj-t","zh","variant","ISFJ","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"90","/zh/personality/isfp-a","https://fermatmind.com/zh/personality/isfp-a","zh","variant","ISFP","A","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"91","/zh/personality/isfp-a-vs-isfp-t","https://fermatmind.com/zh/personality/isfp-a-vs-isfp-t","zh","comparison","ISFP","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"92","/zh/personality/isfp-t","https://fermatmind.com/zh/personality/isfp-t","zh","variant","ISFP","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"93","/zh/personality/istj-a-vs-istj-t","https://fermatmind.com/zh/personality/istj-a-vs-istj-t","zh","comparison","ISTJ","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"94","/zh/personality/istj-t","https://fermatmind.com/zh/personality/istj-t","zh","variant","ISTJ","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"95","/zh/personality/istp-a-vs-istp-t","https://fermatmind.com/zh/personality/istp-a-vs-istp-t","zh","comparison","ISTP","","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
"96","/zh/personality/istp-t","https://fermatmind.com/zh/personality/istp-t","zh","variant","ISTP","T","expansion_88","DISCOVERY_BACKLOG_GSC_NO_ROW","continue_measurement","gsc_row_not_observed","no_gsc_row","0","0","0","0","","0","next_scheduled_gsc_import"
