article_id,translation_group_id,locale,slug,primary_classification,secondary_classifications,primary_action,rationale,evidence,reassessment_date
26,article-11,en,are-infj-men-rare-or-socially-silenced,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
34,3a7a3b5d-d289-4928-8587-3ecce465b1cc,en,mbti-personality-test-science-vs-pseudoscience,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
39,article_mbti_vs_holland_career_choice_v1,en,mbti-vs-holland-code-career-choice,Near Winner,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
71,tg_unwanted_major_riasec_transfer_plan_2026v1,en,unwanted-major-adjustment-riasec-transfer-plan,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
75,tg_unwanted_major_repeat_stay_riasec_2026v1,en,unwanted-major-repeat-or-stay-riasec-decision-checklist,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
41,riasec-explanation-article-2026-06-v2,en,what-is-riasec-holland-code-career-interest-test,Traffic,CTA present; Conversion UNKNOWN,REFRESH_TOP10,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,7/14/28 days after publish
25,article-16,en,which-love-script-fits-you-best,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
42,ef7444ca-d060-41f0-a130-188e3bb53d4b,en,why-mbti-and-holland-code-results-dont-match,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=missing; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=UNKNOWN; GA4/article attribution=UNKNOWN,2026-11-08
136,big5-v2-c808442d4f79c65a9c1f3af1513ce20ef060662e,zh,apply-personality-research-without-overclaiming,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
11,article-11,zh,are-infj-men-rare-or-socially-silenced,Traffic,Authority | CTA present; Conversion UNKNOWN,REFRESH_TOP10,historical GSC=available; position bucket median=0; sources=9; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,7/14/28 days after publish
12,article-12,zh,best-valentines-date-by-personality-and-relationship-science,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=8; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
137,big5-v2-b70ab1a8dfc7869d9576c6f861d4e9bdd678e526,zh,big-five-30-day-observation-and-review-plan,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=3; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
138,big5-v2-f444f3f5519b222e357a81484b5fa35076556e8c,zh,big-five-30-facets-explained-with-model-caveats,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=6; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
139,big5-v2-8de45fc73ecb74c1f536dc4fe79cee12d4af5345,zh,big-five-communication-needs-conversation-prompts,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
140,big5-v2-2abb20ffbc1bd0ab5ad58ddd8940e703ad75bd63,zh,big-five-conflict-patterns-observe-before-explaining,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=Unknown; sources=1; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
80,big5-v2-2caac7e16a76d1bea33d6d76149cafa764c773c5,zh,big-five-conscientiousness-low-procrastination-task-plan,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=1; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
141,big5-v2-38318d3ef0cc9079e237271b2e2e785f3e3b4a54,zh,big-five-couples-conversation-not-relationship-prediction,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=1; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
142,big5-v2-68bbf340f1f0745d0a400ef418cc8f0f8f5d715c,zh,big-five-cross-cultural-research-and-translation-limits,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
143,big5-v2-bb150e8968821b7e97d040c6984ff841f2a2d452,zh,big-five-decision-journal-observe-style-not-quality,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=2; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
78,big5-v2-a629c69a9a6cfa5fa7f3afde6d783a1efc21f537,zh,big-five-emotional-stability-stress-recovery-communication,Near Winner,CTA present; Conversion UNKNOWN,REFRESH_TOP10,historical GSC=available; position bucket median=0; sources=1; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,7/14/28 days after publish
144,big5-v2-91700e85688f18f4cb61ba34de369da380838d32,zh,big-five-evidence-strength-from-one-study-to-review,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
145,big5-v2-19c3c093ea648d30ce40803d8eb9d056d4b27548,zh,big-five-feedback-preferences-as-hypotheses,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=9; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
146,big5-v2-94a3b812b58833fae4cbb68cebc14b68ac868b1f,zh,big-five-friendship-differences-without-compatibility-scores,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=Unknown; sources=1; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
147,big5-v2-a4040abfd3a1244900a24cced1a6c6acf686a93e,zh,big-five-goal-setting-use-results-as-hypotheses,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=Unknown; sources=1; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
1,big5-v2-f29331ce54d2f28a7051702932c39aaf69d2bf61,zh,big-five-growth-guide,Near Winner,Authority | CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=3; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
148,big5-v2-d4f4abac8aa1da8f63d2163f107ff7280b4c7b34,zh,big-five-leadership-reflection-not-leader-prediction,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=3; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
149,big5-v2-fba3ef0c1ddf693172ab0b740312432e37367dc3,zh,big-five-learning-preferences-test-dont-prescribe,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=3; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
150,big5-v2-d7f59e0611f29c63747b2134a4c45379f7ee95b5,zh,big-five-meeting-participation-without-personality-labels,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=5; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
151,big5-v2-0509c45cc62b4b50d0c346ace29656cfafbf371c,zh,big-five-model-history-from-words-to-traits,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=3; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
152,big5-v2-518904a759a3d514cd62169be2f0f94e8096298f,zh,big-five-myths-types-destiny-and-perfect-scores,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=5; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
2,big5-v2-8381cc150e7180b365a397ce3e3a25e2626b8970,zh,big-five-narrative-portrait,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=1; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
153,big5-v2-67d83ae0e03338153060eff4ab916c2e71bce7c6,zh,big-five-personal-boundaries-traits-do-not-override-consent,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=2; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
36,big5-v2-d7a599328db373586d6b7056837924a236c466d6,zh,big-five-personality-test-vs-mbti,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=2; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
154,big5-v2-dac8843d427a530987cb681393aa116f055ea9de,zh,big-five-planning-system-run-a-two-week-experiment,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=Unknown; sources=1; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
155,big5-v2-de232415002e4c2d5bff833b2759ecf6fb6d249a,zh,big-five-retest-differences-measurement-and-context,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
156,big5-v2-19dfbe0b05db1ad07ae1d85b82992d98c4e53270,zh,big-five-score-ranges-what-high-middle-low-can-mean,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=3; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
157,big5-v2-ef35a83686455b0382a6a154b7314b454a45f3a4,zh,big-five-self-regulation-build-a-context-plan,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=3; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
158,big5-v2-6a54ca37a76d06906720346d225b5a6df4302364,zh,big-five-self-report-bias-and-response-context,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=6; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
159,big5-v2-09f5a58a7aaa7164234f70533a71e0c80533ac02,zh,big-five-stress-response-patterns-without-diagnosis,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
160,big5-v2-2d061e0b6c3db3f72a067fb4eaa758f3e3cdd47b,zh,big-five-study-limitations-sample-measures-and-causality,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
161,big5-v2-a9bd6804ea29f2e0c6714788089a129acbd4d668,zh,big-five-teamwork-conversation-guide-not-fit-score,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=2; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
3,big5-v2-df8d5e7f157e301b9a0f4dc8e6b8c3b66c7e31f4,zh,big-five-tool-guide,Traffic,Authority | CTA present; Conversion UNKNOWN,REFRESH_TOP10,historical GSC=available; position bucket median=0; sources=2; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,7/14/28 days after publish
162,big5-v2-a69c4b094d590492bfba534e360539c75af7b1ca,zh,big-five-traits-are-continuums-not-boxes,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=4; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
163,big5-v2-ea189ee4bedf1c6f8fb6465b8ad3a856020077bf,zh,big-five-vs-disc-measurement-and-workplace-language,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
164,big5-v2-d25eb4ae0c8e56182d3e0665ea59edb0867ac60d,zh,big-five-vs-enneagram-traits-and-motivation-stories,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
165,big5-v2-c4b1978eef47433c3667e0a670991a31439636a6,zh,big-five-vs-riasec-personality-traits-and-career-interests,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
166,big5-v2-167e3c7a0e54315c4d496ac71cedefd68238743a,zh,big-five-work-environment-preferences-as-experiments,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=Unknown; sources=3; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
167,big5-v2-7d593816f7e0f2b5593d41e24f47bd29b5d50cf6,zh,can-big-five-personality-traits-change-over-time,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=Unknown; sources=1; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
48,tg_article_career_exploration_map_2026v1,zh,career-confusion-test-map,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
46,tg_article_career_interest_vs_personality_test_2026v1,zh,career-interest-vs-personality-test-differences,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
13,article-13,zh,childhood-dream-job-still-shapes-career-choice,Authority,CTA present; Conversion UNKNOWN,KEEP_AUTHORITY,historical GSC=available; position bucket median=0; sources=8; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
52,tg_article_college_major_choice_holland_mbti_career_test_2026v1,zh,college-major-choice-holland-mbti-career-test,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
168,big5-v2-aadbcc067a5f051af56536dd495f454f2f2be0ba,zh,daily-wellbeing-support-personality-is-one-context,Unclassified,CTA present; Conversion UNKNOWN,NEED_MORE_DATA,historical GSC=available; position bucket median=Unknown; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,2026-11-08
51,tg_article_enneagram_personality_test_explained_2026v1,zh,enneagram-personality-test-explained,Traffic,CTA present; Conversion UNKNOWN,REFRESH_TOP10,historical GSC=available; position bucket median=0; sources=0; CTA=present,API/live=VERIFIED; GSC=HISTORICAL; GA4/article attribution=UNKNOWN,7/14/28 days after publish
