topic,locale,query,intent,funnel_stage,current_ranking_page,proposed_primary_owner,supporting_articles,assessment_landing,public_personality_page,career_page,cannibalization,ownership_decision,rationale,dependency,evidence_status
RIASEC,zh,职业是什么 / 职责 / 路径,career_entity,exploration,Unknown,https://fermatmind.com/zh/career,https://fermatmind.com/zh/articles/major-career-mismatch-job-search-skills-plan,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,Unknown,https://fermatmind.com/zh/career,Unknown: no current28 row for reviewed exact aliases,CAREER_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,Career C06 current completion artifact missing; career owner gate closed,DESIGN_ONLY; C06 MISSING; current exact query evidence Unknown
RIASEC,en,what is RIASEC / Holland Code meaning,informational,awareness,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,Unknown,https://fermatmind.com/en/career,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT: 1 exact aliases,ARTICLE_OR_ENTITY_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED; exact aliases only; no publication authority
RIASEC,en,RIASEC career test / Holland Code test,transactional,consideration,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,https://fermatmind.com/en/articles/what-is-riasec-holland-code-career-interest-test,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,Unknown,https://fermatmind.com/en/career,OBSERVED_SINGLE_PAGE_NO_ACTIONABLE_CONFLICT,ASSESSMENT_LANDING_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED; exact aliases only; no publication authority
Enneagram,zh,九型人格测试,transactional,consideration,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/articles/enneagram-personality-test-explained,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/personality,Unknown,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT: 1 exact aliases,ASSESSMENT_LANDING_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED; exact aliases only; no publication authority
Enneagram,zh,九型人格测试准吗 / 核心动机,method,awareness,Unknown,https://fermatmind.com/zh/articles/enneagram-personality-test-explained,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/personality,Unknown,Unknown: no current28 row for reviewed exact aliases,ARTICLE_OR_ENTITY_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,M01_COMPLETE; current exact reviewed alias not observed; no publication authority
Enneagram,en,Enneagram test,transactional,consideration,Unknown,https://fermatmind.com/en/tests/enneagram-personality-test-nine-types,https://fermatmind.com/en/articles/enneagram-workplace-friction-core-motivations,https://fermatmind.com/en/tests/enneagram-personality-test-nine-types,https://fermatmind.com/en/personality,Unknown,Unknown: no current28 row for reviewed exact aliases,ASSESSMENT_LANDING_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,M01_COMPLETE; current exact reviewed alias not observed; no publication authority
IQ,zh,IQ 测试 / 智商测试,transactional,consideration,https://fermatmind.com/zh/tests/iq-test-intelligence-quotient-assessment,https://fermatmind.com/zh/tests/iq-test-intelligence-quotient-assessment,https://fermatmind.com/zh/articles/iq-test-score-and-limits-explained,https://fermatmind.com/zh/tests/iq-test-intelligence-quotient-assessment,Unknown,Unknown,OBSERVED_MULTI_PAGE_NO_ACTIONABLE_CONFLICT: 1 exact aliases,ASSESSMENT_LANDING_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED; exact aliases only; no publication authority
IQ,zh,在线 IQ 测试准吗 / 分数解释,method,awareness,https://fermatmind.com/zh/articles/iq-test-score-and-limits-explained,https://fermatmind.com/zh/articles/iq-test-score-and-limits-explained,https://fermatmind.com/zh/tests/iq-test-intelligence-quotient-assessment,https://fermatmind.com/zh/tests/iq-test-intelligence-quotient-assessment,Unknown,Unknown,OBSERVED_SINGLE_PAGE_NO_ACTIONABLE_CONFLICT,ARTICLE_OR_ENTITY_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED; exact aliases only; no publication authority
IQ,en,IQ test,transactional,consideration,Unknown,https://fermatmind.com/en/tests/iq-test-intelligence-quotient-assessment,https://fermatmind.com/en/articles/iq-test-score-and-limits-explained,https://fermatmind.com/en/tests/iq-test-intelligence-quotient-assessment,Unknown,Unknown,Unknown: no current28 row for reviewed exact aliases,ASSESSMENT_LANDING_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,M01_COMPLETE; current exact reviewed alias not observed; no publication authority
EQ,zh,情商测试 / EQ 测试,transactional,consideration,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,https://fermatmind.com/zh/articles/eq-test-tool-guide,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,Unknown,Unknown,OBSERVED_SINGLE_PAGE_NO_ACTIONABLE_CONFLICT,ASSESSMENT_LANDING_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED; exact aliases only; no publication authority
EQ,zh,EQ 是什么 / 结果怎么看,method,awareness,Unknown,https://fermatmind.com/zh/articles/eq-test-tool-guide,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,Unknown,Unknown,Unknown: no current28 row for reviewed exact aliases,ARTICLE_OR_ENTITY_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,M01_COMPLETE; current exact reviewed alias not observed; no publication authority
EQ,en,EQ test / emotional intelligence assessment,transactional,consideration,Unknown,https://fermatmind.com/en/tests/eq-test-emotional-intelligence-assessment,https://fermatmind.com/en/articles/eq-test-tool-guide,https://fermatmind.com/en/tests/eq-test-emotional-intelligence-assessment,Unknown,Unknown,OBSERVED_SINGLE_PAGE_NO_ACTIONABLE_CONFLICT,ASSESSMENT_LANDING_PRIMARY,one-query-one-primary-owner; article supports but does not absorb transactional or entity intent,M01 complete; combined_sha256=9b7c470aa39aff0e6062c41fe5d71e2e8164159747953d42bd032046cc10f691; A01/P03-P05 design consumed; G03 governed review complete without activation or publication authority,VERIFIED_M01_QUERY_PAGE_SOURCE_LIMITED; exact aliases only; no publication authority
