source_article_identity,source_locale,source_canonical,relation_type,target_surface,target_identity,target_locale,target_canonical,visible_anchor_intent,display_position,authority_source,query_relationship,publication_eligibility,target_eligibility,analytics_dependency,review_state,evidence,blocker
79,en,https://fermatmind.com/en/articles/big-five-emotional-stability-stress-recovery-communication,related_personality,personality_hub,personality,en,https://fermatmind.com/en/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
186,en,https://fermatmind.com/en/articles/big-five-growth-guide,related_article,article,81,en,https://fermatmind.com/en/articles/big-five-conscientiousness-low-procrastination-task-plan,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
186,en,https://fermatmind.com/en/articles/big-five-growth-guide,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
186,en,https://fermatmind.com/en/articles/big-five-growth-guide,related_personality,personality_hub,personality,en,https://fermatmind.com/en/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
187,en,https://fermatmind.com/en/articles/big-five-narrative-portrait,related_article,article,81,en,https://fermatmind.com/en/articles/big-five-conscientiousness-low-procrastination-task-plan,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
187,en,https://fermatmind.com/en/articles/big-five-narrative-portrait,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
187,en,https://fermatmind.com/en/articles/big-five-narrative-portrait,related_personality,personality_hub,personality,en,https://fermatmind.com/en/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
35,en,https://fermatmind.com/en/articles/big-five-personality-test-vs-mbti,related_article,article,81,en,https://fermatmind.com/en/articles/big-five-conscientiousness-low-procrastination-task-plan,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
35,en,https://fermatmind.com/en/articles/big-five-personality-test-vs-mbti,take_assessment,assessment_landing,big-five-personality-test,en,https://fermatmind.com/en/tests/big-five-personality-test,Start the Big Five test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,authority review required,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,target eligibility not verified
35,en,https://fermatmind.com/en/articles/big-five-personality-test-vs-mbti,related_personality,personality_hub,personality,en,https://fermatmind.com/en/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
188,en,https://fermatmind.com/en/articles/big-five-tool-guide,related_article,article,81,en,https://fermatmind.com/en/articles/big-five-conscientiousness-low-procrastination-task-plan,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
188,en,https://fermatmind.com/en/articles/big-five-tool-guide,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
188,en,https://fermatmind.com/en/articles/big-five-tool-guide,related_personality,personality_hub,personality,en,https://fermatmind.com/en/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,related_article,article,29,en,https://fermatmind.com/en/articles/childhood-dream-job-still-shapes-career-choice,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,take_assessment,assessment_landing,holland-career-interest-test-riasec,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
29,en,https://fermatmind.com/en/articles/childhood-dream-job-still-shapes-career-choice,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
29,en,https://fermatmind.com/en/articles/childhood-dream-job-still-shapes-career-choice,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
29,en,https://fermatmind.com/en/articles/childhood-dream-job-still-shapes-career-choice,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
49,en,https://fermatmind.com/en/articles/choose-career-using-personality-tests,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
49,en,https://fermatmind.com/en/articles/choose-career-using-personality-tests,take_assessment,assessment_landing,holland-career-interest-test-riasec,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
49,en,https://fermatmind.com/en/articles/choose-career-using-personality-tests,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
189,en,https://fermatmind.com/en/articles/college-major-choice-holland-mbti-career-test,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
189,en,https://fermatmind.com/en/articles/college-major-choice-holland-mbti-career-test,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
189,en,https://fermatmind.com/en/articles/college-major-choice-holland-mbti-career-test,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
190,en,https://fermatmind.com/en/articles/enneagram-personality-test-explained,related_article,article,69,en,https://fermatmind.com/en/articles/enneagram-workplace-friction-core-motivations,继续了解Enneagram,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
190,en,https://fermatmind.com/en/articles/enneagram-personality-test-explained,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
190,en,https://fermatmind.com/en/articles/enneagram-personality-test-explained,related_personality,personality_hub,personality,en,https://fermatmind.com/en/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
69,en,https://fermatmind.com/en/articles/enneagram-workplace-friction-core-motivations,related_article,article,190,en,https://fermatmind.com/en/articles/enneagram-personality-test-explained,继续了解Enneagram,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,excluded_by_authority,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
69,en,https://fermatmind.com/en/articles/enneagram-workplace-friction-core-motivations,take_assessment,assessment_landing,enneagram-personality-test-nine-types,en,https://fermatmind.com/en/tests/enneagram-personality-test-nine-types,"Take the Enneagram test, then compare the result with one recent workplace friction scene",contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
69,en,https://fermatmind.com/en/articles/enneagram-workplace-friction-core-motivations,related_personality,personality_hub,personality,en,https://fermatmind.com/en/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
191,en,https://fermatmind.com/en/articles/eq-test-tool-guide,related_article,article,26,en,https://fermatmind.com/en/articles/are-infj-men-rare-or-socially-silenced,继续了解EQ,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
191,en,https://fermatmind.com/en/articles/eq-test-tool-guide,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
192,en,https://fermatmind.com/en/articles/gaokao-major-adjustment-unacceptable-major-checklist,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
192,en,https://fermatmind.com/en/articles/gaokao-major-adjustment-unacceptable-major-checklist,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
192,en,https://fermatmind.com/en/articles/gaokao-major-adjustment-unacceptable-major-checklist,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
193,en,https://fermatmind.com/en/articles/gaokao-major-choice-parent-conflict-riasec-course-checklist,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
193,en,https://fermatmind.com/en/articles/gaokao-major-choice-parent-conflict-riasec-course-checklist,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
193,en,https://fermatmind.com/en/articles/gaokao-major-choice-parent-conflict-riasec-course-checklist,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
194,en,https://fermatmind.com/en/articles/gaokao-score-major-shortlist-riasec-checklist,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
194,en,https://fermatmind.com/en/articles/gaokao-score-major-shortlist-riasec-checklist,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
194,en,https://fermatmind.com/en/articles/gaokao-score-major-shortlist-riasec-checklist,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
32,en,https://fermatmind.com/en/articles/holland-career-interest-test-can-and-cannot-tell-you,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
32,en,https://fermatmind.com/en/articles/holland-career-interest-test-can-and-cannot-tell-you,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
32,en,https://fermatmind.com/en/articles/holland-career-interest-test-can-and-cannot-tell-you,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
65,en,https://fermatmind.com/en/articles/hot-major-fit-riasec-course-career-checklist,related_article,article,47,en,https://fermatmind.com/en/articles/career-interest-test-vs-personality-test,继续了解RIASEC/Career Decision,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
65,en,https://fermatmind.com/en/articles/hot-major-fit-riasec-course-career-checklist,take_assessment,assessment_landing,holland-career-interest-test-riasec,en,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,"Take the Holland/RIASEC test, then turn the result into work-activity questions",contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
65,en,https://fermatmind.com/en/articles/hot-major-fit-riasec-course-career-checklist,related_career,career_hub,career,en,https://fermatmind.com/en/career,继续探索职业信息（不是确定性推荐）,after decision checklist,fap-api CMS/public API required,career exploration support,blocked_until_Career_C06,Unknown,M06 runtime callsite implemented; production deployment or dispatch not proven,design_only,current career hub public; cohort readiness unresolved,Career C06 missing; G03 review and backend Authority do not open the Career gate; G04 renderer implemented with no deployment proof
28,en,https://fermatmind.com/en/articles/how-16-personality-types-talk-to-an-ai-coach,related_article,article,27,en,https://fermatmind.com/en/articles/best-valentines-date-by-personality-and-relationship-science,继续了解MBTI,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
28,en,https://fermatmind.com/en/articles/how-16-personality-types-talk-to-an-ai-coach,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
28,en,https://fermatmind.com/en/articles/how-16-personality-types-talk-to-an-ai-coach,related_personality,personality_hub,personality,en,https://fermatmind.com/en/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
24,en,https://fermatmind.com/en/articles/how-personality-shapes-attitude-toward-ai,related_article,article,27,en,https://fermatmind.com/en/articles/best-valentines-date-by-personality-and-relationship-science,继续了解MBTI,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
24,en,https://fermatmind.com/en/articles/how-personality-shapes-attitude-toward-ai,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
24,en,https://fermatmind.com/en/articles/how-personality-shapes-attitude-toward-ai,related_personality,personality_hub,personality,en,https://fermatmind.com/en/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
195,en,https://fermatmind.com/en/articles/iq-test-growth-guide,related_article,article,196,en,https://fermatmind.com/en/articles/iq-test-narrative-portrait,继续了解IQ,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,excluded_by_authority,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
195,en,https://fermatmind.com/en/articles/iq-test-growth-guide,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
196,en,https://fermatmind.com/en/articles/iq-test-narrative-portrait,related_article,article,195,en,https://fermatmind.com/en/articles/iq-test-growth-guide,继续了解IQ,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,excluded_by_authority,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
196,en,https://fermatmind.com/en/articles/iq-test-narrative-portrait,take_assessment,assessment_landing,mbti-personality-test-16-personality-types,en,https://fermatmind.com/en/tests/mbti-personality-test-16-personality-types,Take the test,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
