locale,query_cluster,intent,funnel_stage,primary_owner,owner_canonical,owner_surface,parent_page,parent_canonical,next_step_type,next_step_target,next_step_canonical,supporting_pages,competing_pages,required_visible_edge,current_edge_present,edge_authority,publication_eligibility,measurement_event,blocker,status,evidence
zh,career_interest_test_generic,transactional,consideration,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,assessment_landing,tests_hub,https://fermatmind.com/zh/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,https://www.fermatmind.com/zh/tests/category/career,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,MAINTAIN,window-03-assessment-seo/assessment_query_ownership.csv
zh,riasec_model_explanation,informational,awareness,ARTICLE_OR_TOPIC_AUTHORITY,UNKNOWN,UNKNOWN,tests_hub,https://fermatmind.com/zh/tests,UNKNOWN,UNKNOWN,UNKNOWN,RIASEC_landing,UNKNOWN,false,false,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01_and_Authority,PLANNED,window-03-assessment-seo/assessment_query_ownership.csv
en,riasec_transactional_free,transactional,decision,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,assessment_landing,tests_hub,https://fermatmind.com/en/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,RIASEC_article_and_Career_after_C06,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,EN_PILOT,window-03-assessment-seo/assessment_query_ownership.csv
en,holland_transactional,transactional,decision,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,https://fermatmind.com/en/tests/holland-career-interest-test-riasec,assessment_landing,tests_hub,https://fermatmind.com/en/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,https://www.fermatmind.com/en/tests/category/career,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,EN_PILOT,window-03-assessment-seo/assessment_query_ownership.csv
en,riasec_career_entity,informational,exploration,CAREER_AUTHORITY_OWNER,UNKNOWN,UNKNOWN,tests_hub,https://fermatmind.com/en/tests,UNKNOWN,UNKNOWN,UNKNOWN,RIASEC_landing,UNKNOWN,false,false,Assessment A01 report; final runtime edge authority remains backend/CMS,hold,M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,C06,WAITING_ON_C06,window-03-assessment-seo/assessment_query_ownership.csv
zh,big_five_transactional,transactional,decision,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,assessment_landing,tests_hub,https://fermatmind.com/zh/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,Big_Five_public_dimensions,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,REFRESH_AFTER_TRUTH,window-03-assessment-seo/assessment_query_ownership.csv
zh,big_five_model_or_test_mixed,mixed,consideration,ARTICLE_OR_TOPIC_AUTHORITY,UNKNOWN,UNKNOWN,tests_hub,https://fermatmind.com/zh/tests,UNKNOWN,UNKNOWN,UNKNOWN,Big_Five_landing_and_dimensions,UNKNOWN,false,false,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01_and_Personality,PLANNED,window-03-assessment-seo/assessment_query_ownership.csv
zh,big_five_ocean_transactional,transactional,decision,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,assessment_landing,tests_hub,https://fermatmind.com/zh/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,Big_Five_public_dimensions,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,REFRESH_AFTER_TRUTH,window-03-assessment-seo/assessment_query_ownership.csv
zh,big_five_dimension_entity,entity,exploration,PERSONALITY_BIG_FIVE_DIMENSION_OWNER,UNKNOWN,UNKNOWN,tests_hub,https://fermatmind.com/zh/tests,UNKNOWN,UNKNOWN,UNKNOWN,Big_Five_landing,UNKNOWN,false,false,Assessment A01 report; final runtime edge authority remains backend/CMS,hold,M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,Personality,OUT_OF_SCOPE,window-03-assessment-seo/assessment_query_ownership.csv
en,big_five_transactional_free,transactional,decision,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,assessment_landing,tests_hub,https://fermatmind.com/en/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,Big_Five_public_dimensions,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01_and_truth_convergence,REFRESH_AFTER_TRUTH,window-03-assessment-seo/assessment_query_ownership.csv
en,big_five_ocean_transactional,transactional,decision,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,assessment_landing,tests_hub,https://fermatmind.com/en/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,ARTICLE_OR_TOPIC_AUTHORITY,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,REFRESH_AFTER_TRUTH,window-03-assessment-seo/assessment_query_ownership.csv
en,big_five_model_explanation,informational,awareness,ARTICLE_OR_TOPIC_AUTHORITY,UNKNOWN,UNKNOWN,tests_hub,https://fermatmind.com/en/tests,UNKNOWN,UNKNOWN,UNKNOWN,Big_Five_landing_and_dimensions,UNKNOWN,false,false,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01_and_Authority,PLANNED,window-03-assessment-seo/assessment_query_ownership.csv
zh,enneagram_transactional,transactional,decision,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,assessment_landing,tests_hub,https://fermatmind.com/zh/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,Window4_Enneagram_public_graph,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,MAINTAIN_WINDOW4_OWNER_AVAILABLE,window-03-assessment-seo/assessment_query_ownership.csv
zh,enneagram_type_entity,entity,exploration,https://fermatmind.com/zh/personality/enneagram,https://fermatmind.com/zh/personality/enneagram,assessment_landing,tests_hub,https://fermatmind.com/zh/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,Enneagram_landing,UNKNOWN,true,false,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,Window4_route_taxonomy_and_M01,DESIGN_OWNER_AVAILABLE_M01_PENDING,window-03-assessment-seo/assessment_query_ownership.csv
zh,enneagram_wing_entity,entity,exploration,https://fermatmind.com/zh/personality/enneagram,https://fermatmind.com/zh/personality/enneagram,assessment_landing,tests_hub,https://fermatmind.com/zh/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,Enneagram_landing,UNKNOWN,true,false,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,Window4_route_taxonomy_and_M01,DESIGN_OWNER_AVAILABLE_M01_PENDING,window-03-assessment-seo/assessment_query_ownership.csv
en,enneagram_transactional_free,transactional,decision,https://fermatmind.com/en/tests/enneagram-personality-test-nine-types,https://fermatmind.com/en/tests/enneagram-personality-test-nine-types,assessment_landing,tests_hub,https://fermatmind.com/en/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,Window4_Enneagram_public_graph,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,MAINTAIN_WINDOW4_OWNER_AVAILABLE,window-03-assessment-seo/assessment_query_ownership.csv
en,enneagram_type_entity,entity,exploration,https://fermatmind.com/en/personality/enneagram/type-5,https://fermatmind.com/en/personality/enneagram/type-5,assessment_landing,tests_hub,https://fermatmind.com/en/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,Enneagram_landing,UNKNOWN,true,false,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,Window4_route_taxonomy_and_M01,DESIGN_OWNER_AVAILABLE_M01_PENDING,window-03-assessment-seo/assessment_query_ownership.csv
en,enneagram_wing_entity,informational,awareness,https://fermatmind.com/en/personality/enneagram,https://fermatmind.com/en/personality/enneagram,assessment_landing,tests_hub,https://fermatmind.com/en/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,Enneagram_landing,UNKNOWN,true,false,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,Window4_route_taxonomy_and_M01,DESIGN_OWNER_AVAILABLE_M01_PENDING,window-03-assessment-seo/assessment_query_ownership.csv
zh,iq_transactional,transactional,decision,https://fermatmind.com/zh/tests/iq-test-intelligence-quotient-assessment,https://fermatmind.com/zh/tests/iq-test-intelligence-quotient-assessment,assessment_landing,tests_hub,https://fermatmind.com/zh/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,IQ_method_article_after_repair,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,hold,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01_and_runtime_repair,STOP_EXPANSION,window-03-assessment-seo/assessment_query_ownership.csv
en,iq_transactional_free,transactional,decision,https://fermatmind.com/en/tests/iq-test-intelligence-quotient-assessment,https://fermatmind.com/en/tests/iq-test-intelligence-quotient-assessment,assessment_landing,tests_hub,https://fermatmind.com/en/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,IQ_method_article_after_repair,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,hold,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01_and_runtime_repair,STOP_EXPANSION,window-03-assessment-seo/assessment_query_ownership.csv
zh,eq_transactional,transactional,decision,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,https://fermatmind.com/zh/tests/eq-test-emotional-intelligence-assessment,assessment_landing,tests_hub,https://fermatmind.com/zh/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,EQ_method_article_after_repair,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,hold,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01_and_runtime_repair,STOP_EXPANSION,window-03-assessment-seo/assessment_query_ownership.csv
en,eq_transactional_free,transactional,decision,https://fermatmind.com/en/tests/eq-test-emotional-intelligence-assessment,https://fermatmind.com/en/tests/eq-test-emotional-intelligence-assessment,assessment_landing,tests_hub,https://fermatmind.com/en/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,EQ_method_article_after_repair,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,hold,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01_and_runtime_repair,STOP_EXPANSION,window-03-assessment-seo/assessment_query_ownership.csv
zh,assessment_collection_generic,mixed,consideration,https://fermatmind.com/zh/tests,https://fermatmind.com/zh/tests,assessment_landing,tests_hub,https://fermatmind.com/zh/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,personality_and_career_categories,UNKNOWN,true,true,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,MAINTAIN,window-03-assessment-seo/assessment_query_ownership.csv
en,personality_test_collection,mixed,consideration,https://fermatmind.com/en/tests/category/personality,https://fermatmind.com/en/tests/category/personality,assessment_landing,tests_hub,https://fermatmind.com/en/tests,take_assessment_private_flow,PRIVATE_FLOW_NOT_IN_PUBLIC_GRAPH,NOT_APPLICABLE_PRIVATE_FLOW,https://www.fermatmind.com/en/tests,UNKNOWN,true,false,Assessment A01 report; final runtime edge authority remains backend/CMS,existing_public_owner,test_start; public_edge_click M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,M01,MAINTAIN,window-03-assessment-seo/assessment_query_ownership.csv
en,personality framework navigation,entity_or_informational,exploration,https://fermatmind.com/en/personality,https://fermatmind.com/en/personality,personality,cross_framework_hub,https://fermatmind.com/en/personality,UNKNOWN,UNKNOWN,UNKNOWN,framework navigation and next step,UNKNOWN_WITHOUT_COMPLETE_M01,true,true,Personality P03-P05 design; runtime authority remains fap-api/CMS/public API,existing_public_owner,M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,Exact current query×page ownership requires M01 export and SERP review.,INFERRED_FROM_ROUTE_TAXONOMY,window-04-personality-seo/personality_query_ownership.csv
en,Big Five model overview,entity_or_informational,exploration,https://fermatmind.com/en/personality/big-five,https://fermatmind.com/en/personality/big-five,personality,big_five_hub,https://fermatmind.com/en/personality/big-five,take_assessment,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,framework navigation and next step,UNKNOWN_WITHOUT_COMPLETE_M01,true,true,Personality P03-P05 design; runtime authority remains fap-api/CMS/public API,existing_public_owner,M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,Exact current query×page ownership requires M01 export and SERP review.,INFERRED_FROM_ROUTE_TAXONOMY,window-04-personality-seo/personality_query_ownership.csv
en,agreeableness meaning and observable tendencies,entity_or_informational,exploration,https://fermatmind.com/en/personality/big-five/agreeableness,https://fermatmind.com/en/personality/big-five/agreeableness,personality,big_five_hub,https://fermatmind.com/en/personality/big-five,take_assessment,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,examples; limits; reflection; next step,UNKNOWN_WITHOUT_COMPLETE_M01,true,true,Personality P03-P05 design; runtime authority remains fap-api/CMS/public API,existing_public_owner,M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,Exact current query×page ownership requires M01 export and SERP review.,INFERRED_FROM_ROUTE_TAXONOMY,window-04-personality-seo/personality_query_ownership.csv
en,agreeableness high meaning and observable tendencies,entity_or_informational,exploration,https://fermatmind.com/en/personality/big-five/agreeableness-high,https://fermatmind.com/en/personality/big-five/agreeableness-high,personality,big_five_hub,https://fermatmind.com/en/personality/big-five,take_assessment,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,examples; limits; reflection; next step,UNKNOWN_WITHOUT_COMPLETE_M01,true,false,Personality P03-P05 design; runtime authority remains fap-api/CMS/public API,existing_public_owner,M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,Exact current query×page ownership requires M01 export and SERP review.,INFERRED_FROM_ROUTE_TAXONOMY,window-04-personality-seo/personality_query_ownership.csv
en,agreeableness low meaning and observable tendencies,entity_or_informational,exploration,https://fermatmind.com/en/personality/big-five/agreeableness-low,https://fermatmind.com/en/personality/big-five/agreeableness-low,personality,big_five_hub,https://fermatmind.com/en/personality/big-five,take_assessment,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,examples; limits; reflection; next step,UNKNOWN_WITHOUT_COMPLETE_M01,true,false,Personality P03-P05 design; runtime authority remains fap-api/CMS/public API,existing_public_owner,M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,Exact current query×page ownership requires M01 export and SERP review.,INFERRED_FROM_ROUTE_TAXONOMY,window-04-personality-seo/personality_query_ownership.csv
en,agreeableness mid meaning and observable tendencies,entity_or_informational,exploration,https://fermatmind.com/en/personality/big-five/agreeableness-mid,https://fermatmind.com/en/personality/big-five/agreeableness-mid,personality,big_five_hub,https://fermatmind.com/en/personality/big-five,take_assessment,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,examples; limits; reflection; next step,UNKNOWN_WITHOUT_COMPLETE_M01,true,false,Personality P03-P05 design; runtime authority remains fap-api/CMS/public API,existing_public_owner,M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,Exact current query×page ownership requires M01 export and SERP review.,INFERRED_FROM_ROUTE_TAXONOMY,window-04-personality-seo/personality_query_ownership.csv
en,conscientiousness meaning and observable tendencies,entity_or_informational,exploration,https://fermatmind.com/en/personality/big-five/conscientiousness,https://fermatmind.com/en/personality/big-five/conscientiousness,personality,big_five_hub,https://fermatmind.com/en/personality/big-five,take_assessment,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,https://fermatmind.com/en/tests/big-five-personality-test-ocean-model,examples; limits; reflection; next step,UNKNOWN_WITHOUT_COMPLETE_M01,true,true,Personality P03-P05 design; runtime authority remains fap-api/CMS/public API,existing_public_owner,M06_PROPOSAL_CONSUMED_WAITING_APPROVAL_NO_PUBLIC_EDGE_CLICK_EVENT,Exact current query×page ownership requires M01 export and SERP review.,INFERRED_FROM_ROUTE_TAXONOMY,window-04-personality-seo/personality_query_ownership.csv
