locale,code_a,code_b,similarity,url_a,url_b
en,high-openness,high-extraversion,1,https://www.fermatmind.com/en/personality/big-five/high-openness,https://www.fermatmind.com/en/personality/big-five/high-extraversion
en,high-openness,low-extraversion,1,https://www.fermatmind.com/en/personality/big-five/high-openness,https://www.fermatmind.com/en/personality/big-five/low-extraversion
en,high-openness,high-agreeableness,1,https://www.fermatmind.com/en/personality/big-five/high-openness,https://www.fermatmind.com/en/personality/big-five/high-agreeableness
en,high-openness,low-agreeableness,1,https://www.fermatmind.com/en/personality/big-five/high-openness,https://www.fermatmind.com/en/personality/big-five/low-agreeableness
en,high-openness,high-neuroticism,1,https://www.fermatmind.com/en/personality/big-five/high-openness,https://www.fermatmind.com/en/personality/big-five/high-neuroticism
en,high-openness,emotional-stability,1,https://www.fermatmind.com/en/personality/big-five/high-openness,https://www.fermatmind.com/en/personality/big-five/emotional-stability
en,low-openness,high-conscientiousness,1,https://www.fermatmind.com/en/personality/big-five/low-openness,https://www.fermatmind.com/en/personality/big-five/high-conscientiousness
en,low-openness,low-conscientiousness,1,https://www.fermatmind.com/en/personality/big-five/low-openness,https://www.fermatmind.com/en/personality/big-five/low-conscientiousness
en,low-openness,high-extraversion,1,https://www.fermatmind.com/en/personality/big-five/low-openness,https://www.fermatmind.com/en/personality/big-five/high-extraversion
en,low-openness,low-extraversion,1,https://www.fermatmind.com/en/personality/big-five/low-openness,https://www.fermatmind.com/en/personality/big-five/low-extraversion
en,low-openness,high-agreeableness,1,https://www.fermatmind.com/en/personality/big-five/low-openness,https://www.fermatmind.com/en/personality/big-five/high-agreeableness
en,low-openness,low-agreeableness,1,https://www.fermatmind.com/en/personality/big-five/low-openness,https://www.fermatmind.com/en/personality/big-five/low-agreeableness
en,low-openness,high-neuroticism,1,https://www.fermatmind.com/en/personality/big-five/low-openness,https://www.fermatmind.com/en/personality/big-five/high-neuroticism
en,low-openness,emotional-stability,1,https://www.fermatmind.com/en/personality/big-five/low-openness,https://www.fermatmind.com/en/personality/big-five/emotional-stability
en,high-conscientiousness,low-conscientiousness,1,https://www.fermatmind.com/en/personality/big-five/high-conscientiousness,https://www.fermatmind.com/en/personality/big-five/low-conscientiousness
en,high-conscientiousness,high-extraversion,1,https://www.fermatmind.com/en/personality/big-five/high-conscientiousness,https://www.fermatmind.com/en/personality/big-five/high-extraversion
en,high-conscientiousness,low-extraversion,1,https://www.fermatmind.com/en/personality/big-five/high-conscientiousness,https://www.fermatmind.com/en/personality/big-five/low-extraversion
en,high-conscientiousness,high-agreeableness,1,https://www.fermatmind.com/en/personality/big-five/high-conscientiousness,https://www.fermatmind.com/en/personality/big-five/high-agreeableness
en,high-conscientiousness,low-agreeableness,1,https://www.fermatmind.com/en/personality/big-five/high-conscientiousness,https://www.fermatmind.com/en/personality/big-five/low-agreeableness
en,high-conscientiousness,high-neuroticism,1,https://www.fermatmind.com/en/personality/big-five/high-conscientiousness,https://www.fermatmind.com/en/personality/big-five/high-neuroticism
en,high-conscientiousness,emotional-stability,1,https://www.fermatmind.com/en/personality/big-five/high-conscientiousness,https://www.fermatmind.com/en/personality/big-five/emotional-stability
en,low-conscientiousness,high-extraversion,1,https://www.fermatmind.com/en/personality/big-five/low-conscientiousness,https://www.fermatmind.com/en/personality/big-five/high-extraversion
en,low-conscientiousness,low-extraversion,1,https://www.fermatmind.com/en/personality/big-five/low-conscientiousness,https://www.fermatmind.com/en/personality/big-five/low-extraversion
en,low-conscientiousness,high-agreeableness,1,https://www.fermatmind.com/en/personality/big-five/low-conscientiousness,https://www.fermatmind.com/en/personality/big-five/high-agreeableness
en,low-conscientiousness,low-agreeableness,1,https://www.fermatmind.com/en/personality/big-five/low-conscientiousness,https://www.fermatmind.com/en/personality/big-five/low-agreeableness
en,low-conscientiousness,high-neuroticism,1,https://www.fermatmind.com/en/personality/big-five/low-conscientiousness,https://www.fermatmind.com/en/personality/big-five/high-neuroticism
en,low-conscientiousness,emotional-stability,1,https://www.fermatmind.com/en/personality/big-five/low-conscientiousness,https://www.fermatmind.com/en/personality/big-five/emotional-stability
en,high-extraversion,low-extraversion,1,https://www.fermatmind.com/en/personality/big-five/high-extraversion,https://www.fermatmind.com/en/personality/big-five/low-extraversion
en,high-extraversion,high-agreeableness,1,https://www.fermatmind.com/en/personality/big-five/high-extraversion,https://www.fermatmind.com/en/personality/big-five/high-agreeableness
en,high-extraversion,low-agreeableness,1,https://www.fermatmind.com/en/personality/big-five/high-extraversion,https://www.fermatmind.com/en/personality/big-five/low-agreeableness
en,high-extraversion,high-neuroticism,1,https://www.fermatmind.com/en/personality/big-five/high-extraversion,https://www.fermatmind.com/en/personality/big-five/high-neuroticism
en,high-extraversion,emotional-stability,1,https://www.fermatmind.com/en/personality/big-five/high-extraversion,https://www.fermatmind.com/en/personality/big-five/emotional-stability
en,low-extraversion,high-agreeableness,1,https://www.fermatmind.com/en/personality/big-five/low-extraversion,https://www.fermatmind.com/en/personality/big-five/high-agreeableness
en,low-extraversion,low-agreeableness,1,https://www.fermatmind.com/en/personality/big-five/low-extraversion,https://www.fermatmind.com/en/personality/big-five/low-agreeableness
en,low-extraversion,high-neuroticism,1,https://www.fermatmind.com/en/personality/big-five/low-extraversion,https://www.fermatmind.com/en/personality/big-five/high-neuroticism
en,low-extraversion,emotional-stability,1,https://www.fermatmind.com/en/personality/big-five/low-extraversion,https://www.fermatmind.com/en/personality/big-five/emotional-stability
en,high-agreeableness,low-agreeableness,1,https://www.fermatmind.com/en/personality/big-five/high-agreeableness,https://www.fermatmind.com/en/personality/big-five/low-agreeableness
en,high-agreeableness,high-neuroticism,1,https://www.fermatmind.com/en/personality/big-five/high-agreeableness,https://www.fermatmind.com/en/personality/big-five/high-neuroticism
en,high-agreeableness,emotional-stability,1,https://www.fermatmind.com/en/personality/big-five/high-agreeableness,https://www.fermatmind.com/en/personality/big-five/emotional-stability
en,low-agreeableness,high-neuroticism,1,https://www.fermatmind.com/en/personality/big-five/low-agreeableness,https://www.fermatmind.com/en/personality/big-five/high-neuroticism
en,low-agreeableness,emotional-stability,1,https://www.fermatmind.com/en/personality/big-five/low-agreeableness,https://www.fermatmind.com/en/personality/big-five/emotional-stability
en,high-neuroticism,emotional-stability,1,https://www.fermatmind.com/en/personality/big-five/high-neuroticism,https://www.fermatmind.com/en/personality/big-five/emotional-stability
