preview_index,slug,seed_ordinal,title_en,title_zh,soc_code,onet_code,score_1_to_10,confidence,exposure_type,micro_family,selection_roles,selection_reason,expected_locales,expected_endpoint_count
11,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,11,"Adult Basic Education, Adult Secondary Education, and English As A Second Language Instructors",成人基础教育、成人中等教育和英语作为第二语言教师,25-3011,25-3011.00,4,medium,augmentation,adult basic and ESL education,education_counseling,representative education counseling sample,"zh-CN,en",2
12,advanced-practice-psychiatric-nurses,12,Advanced Practice Psychiatric Nurses,高级执业精神科护士,29-1141,29-1141.02,4,medium,augmentation,advanced psychiatric nursing,medical_clinical,representative medical clinical sample,"zh-CN,en",2
13,advertising-and-promotions-managers,13,Advertising and Promotions Managers,广告和推广经理,11-2011,11-2011.00,7,medium,mixed,advertising and growth strategy,score_7_8_high,representative score 7 8 high sample,"zh-CN,en",2
14,advertising-sales-agents,14,Advertising Sales Agents,广告销售代理,41-3011,41-3011.00,7,medium,mixed,advertising and growth strategy,score_7_8_high,representative score 7 8 high sample,"zh-CN,en",2
15,advertising-promotions-and-marketing-managers,15,"Advertising, Promotions, and Marketing Managers",广告、推广和营销经理,11-2021,11-2021.00,7,medium,mixed,advertising and growth strategy,score_7_8_high,representative score 7 8 high sample,"zh-CN,en",2
16,aerospace-engineering-and-operations-technicians,16,Aerospace Engineering and Operations Technologists and Technicians,航空航天工程和运行技术员,17-3021,17-3021.00,4,medium,augmentation,aerospace operations and safety,aviation_transport_safety|engineering_architecture_validation,representative aviation transport safety sample,"zh-CN,en",2
17,aerospace-engineers,17,Aerospace Engineers,航空航天工程师,17-2011,17-2011.00,4,high,augmentation,aerospace operations and safety,aviation_transport_safety|engineering_architecture_validation,representative aviation transport safety sample,"zh-CN,en",2
18,agents-and-business-managers-of-artists-performers-and-athletes,18,"Agents and Business Managers of Artists, Performers, and Athletes",艺术家、表演者和运动员经纪人与商务经理,13-1011,13-1011.00,5,medium,augmentation,operations coordination and representation,fixed_50_regression|creative_performance|score_5_moderate,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
19,agricultural-and-food-science-technicians,19,Agricultural and Food Science Technicians,农业和食品科学技术员,19-4012,19-4012.00,5,medium,augmentation,"agriculture, food, and animal science",trade_service|engineering_architecture_validation|score_5_moderate,representative trade service sample,"zh-CN,en",2
20,agricultural-and-food-scientists,20,Agricultural and Food Scientists,农业和食品科学家,19-1012,19-1012.00,5,medium,augmentation,"agriculture, food, and animal science",trade_service|score_5_moderate,representative trade service sample,"zh-CN,en",2
21,agricultural-engineers,21,Agricultural Engineers,农业工程师,17-2021,17-2021.00,5,medium,augmentation,"agriculture, food, and animal science",trade_service|engineering_architecture_validation|score_5_moderate,representative trade service sample,"zh-CN,en",2
22,agricultural-equipment-operators,22,Agricultural Equipment Operators,农业设备操作员,45-2091,45-2091.00,5,medium,augmentation,"agriculture, food, and animal science",trade_service|score_5_moderate,representative trade service sample,"zh-CN,en",2
23,agricultural-inspectors,23,Agricultural Inspectors,农业检查员,45-2011,45-2011.00,5,medium,augmentation,"agriculture, food, and animal science",trade_service|score_5_moderate,representative trade service sample,"zh-CN,en",2
24,agricultural-sciences-teachers-postsecondary,24,"Agricultural Sciences Teachers, Postsecondary",高等教育农业科学教师,25-1041,25-1041.00,5,medium,augmentation,"agriculture, food, and animal science",education_counseling|trade_service|score_5_moderate,representative education counseling sample,"zh-CN,en",2
25,agricultural-technicians,25,Agricultural Technicians,农业技术员,19-4012,19-4012.00,5,medium,augmentation,"agriculture, food, and animal science",trade_service|engineering_architecture_validation|score_5_moderate,representative trade service sample,"zh-CN,en",2
26,agricultural-workers,26,Agricultural Workers,农业工人,45-2092,45-2092.00,5,medium,augmentation,"agriculture, food, and animal science",trade_service|score_5_moderate,representative trade service sample,"zh-CN,en",2
27,air-crew-members,27,Air Crew Members,航空机组成员,55-3011,55-3011.00,4,medium,augmentation,aerospace operations and safety,aviation_transport_safety,representative aviation transport safety sample,"zh-CN,en",2
28,air-crew-officers,28,Air Crew Officers,航空机组军官,55-1011,55-1011.00,4,medium,augmentation,aerospace operations and safety,aviation_transport_safety,representative aviation transport safety sample,"zh-CN,en",2
29,air-traffic-controllers,29,Air Traffic Controllers,空中交通管制员,53-2021,53-2021.00,3,high,augmentation,aerospace operations and safety,fixed_50_regression|aviation_transport_safety,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
30,aircraft-and-avionics-equipment-mechanics-and-technicians,30,Aircraft and Avionics Equipment Mechanics and Technicians,飞机和航空电子设备机械师与技术员,49-3011,49-3011.00,4,medium,augmentation,aerospace operations and safety,fixed_50_regression|aviation_transport_safety|trade_service|engineering_architecture_validation,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
31,aircraft-cargo-handling-supervisors,31,Aircraft Cargo Handling Supervisors,航空货运装卸主管,53-1041,53-1041.00,4,medium,augmentation,aerospace operations and safety,aviation_transport_safety,representative aviation transport safety sample,"zh-CN,en",2
32,aircraft-launch-and-recovery-officers,32,Aircraft Launch and Recovery Officers,飞机起降回收军官,55-1012,55-1012.00,4,medium,augmentation,aerospace operations and safety,aviation_transport_safety,representative aviation transport safety sample,"zh-CN,en",2
33,aircraft-launch-and-recovery-specialists,33,Aircraft Launch and Recovery Specialists,飞机起降回收专家,55-3012,55-3012.00,4,medium,augmentation,aerospace operations and safety,aviation_transport_safety,representative aviation transport safety sample,"zh-CN,en",2
34,aircraft-mechanics-and-service-technicians,34,Aircraft Mechanics and Service Technicians,飞机机械师和维修技术员,49-3011,49-3011.00,4,medium,augmentation,aerospace operations and safety,aviation_transport_safety|trade_service|engineering_architecture_validation,representative aviation transport safety sample,"zh-CN,en",2
35,aircraft-service-attendants,35,Aircraft Service Attendants,航空器服务员,53-6032,53-6032.00,4,medium,augmentation,aerospace operations and safety,aviation_transport_safety,representative aviation transport safety sample,"zh-CN,en",2
36,aircraft-structure-surfaces-rigging-and-systems-assemblers,36,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",飞机结构、表面、索具和系统装配工,51-2011,51-2011.00,4,medium,augmentation,aerospace operations and safety,aviation_transport_safety,representative aviation transport safety sample,"zh-CN,en",2
37,airfield-operations-specialists,37,Airfield Operations Specialists,机场运行专员,53-2022,53-2022.00,4,medium,augmentation,aerospace operations and safety,ordinal_fill,seed-order fill to reach expanded 150-slug coverage,"zh-CN,en",2
38,airline-and-commercial-pilots,38,Airline and Commercial Pilots,航空公司和商业飞行员,53-2011,53-2011.00,3,high,augmentation,aerospace operations and safety,ordinal_fill,seed-order fill to reach expanded 150-slug coverage,"zh-CN,en",2
39,airline-pilots-copilots-and-flight-engineers,39,"Airline Pilots, Copilots, and Flight Engineers",航空公司飞行员、副驾驶和飞行工程师,53-2011,53-2011.00,3,medium,augmentation,aerospace operations and safety,fixed_50_regression|engineering_architecture_validation,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
40,allergists-and-immunologists,40,Allergists and Immunologists,过敏与免疫科医生,29-1229,29-1229.01,4,high,augmentation,clinical specialty and emergency care,medical_clinical,representative medical clinical sample,"zh-CN,en",2
41,ambulance-drivers-and-attendants-except-emergency-medical-technicians,41,"Ambulance Drivers and Attendants, except Emergency Medical Technicians",救护车驾驶员和随车护理员（不含急救医疗技术员）,53-3011,53-3011.00,4,medium,augmentation,clinical specialty and emergency care,medical_clinical|engineering_architecture_validation,representative medical clinical sample,"zh-CN,en",2
42,amusement-and-recreation-attendants,42,Amusement and Recreation Attendants,游乐和休闲服务员,39-3091,39-3091.00,4,medium,augmentation,recreation and guest service,ordinal_fill,seed-order fill to reach expanded 150-slug coverage,"zh-CN,en",2
43,anesthesiologist-assistants,43,Anesthesiologist Assistants,麻醉医师助理,29-1071,29-1071.01,4,medium,augmentation,clinical specialty and emergency care,medical_clinical,representative medical clinical sample,"zh-CN,en",2
44,anesthesiologists,44,Anesthesiologists,麻醉科医生,29-1211,29-1211.00,4,high,augmentation,clinical specialty and emergency care,medical_clinical,representative medical clinical sample,"zh-CN,en",2
45,animal-breeders,45,Animal Breeders,动物育种员,45-2021,45-2021.00,5,medium,augmentation,"agriculture, food, and animal science",score_5_moderate,representative score 5 moderate sample,"zh-CN,en",2
46,animal-care-and-service-workers,46,Animal Care and Service Workers,动物照护和服务人员,39-2021,39-2021.00,3,medium,augmentation,"agriculture, food, and animal science",ordinal_fill,seed-order fill to reach expanded 150-slug coverage,"zh-CN,en",2
47,animal-caretakers,47,Animal Caretakers,动物照护员,39-2021,39-2021.00,3,medium,augmentation,"agriculture, food, and animal science",ordinal_fill,seed-order fill to reach expanded 150-slug coverage,"zh-CN,en",2
48,animal-control-workers,48,Animal Control Workers,动物管控人员,33-9011,33-9011.00,5,medium,augmentation,"agriculture, food, and animal science",ordinal_fill,seed-order fill to reach expanded 150-slug coverage,"zh-CN,en",2
49,animal-scientists,49,Animal Scientists,动物科学家,19-1011,19-1011.00,5,medium,augmentation,"agriculture, food, and animal science",ordinal_fill,seed-order fill to reach expanded 150-slug coverage,"zh-CN,en",2
50,announcers,51,Broadcast Announcers And Radio Disc Jockeys,广播主持人和电台 DJ,27-3011,27-3011.00,6,high,augmentation,broadcast announcing and live media,creative_performance,representative creative performance sample,"zh-CN,en",2
51,anthropology-and-archeology-teachers-postsecondary,53,"Anthropology And Archeology Teachers, Postsecondary",高等教育人类学和考古学教师,25-1061,25-1061.00,5,medium,augmentation,anthropology and archaeology research,education_counseling,representative education counseling sample,"zh-CN,en",2
52,arbitrators-mediators-and-conciliators,55,"Arbitrators, Mediators, And Conciliators",仲裁员、调解员和和解员,23-1022,23-1022.00,5,high,augmentation,"arbitration, mediation, and dispute resolution",legal_regulatory|creative_performance,representative legal regulatory sample,"zh-CN,en",2
53,architects,56,"Architects, Except Landscape and Naval",建筑师,17-1011,17-1011.00,6,high,augmentation,architecture design and delivery,engineering_architecture_validation,representative engineering architecture validation sample,"zh-CN,en",2
54,architects-except-landscape-and-naval,57,"Architects, Except Landscape And Naval",建筑师（不含景观和船舶）,17-1011,17-1011.00,6,medium,augmentation,architecture design and delivery,engineering_architecture_validation,representative engineering architecture validation sample,"zh-CN,en",2
55,architectural-and-civil-drafters,58,Architectural And Civil Drafters,建筑和土木制图员,17-3011,17-3011.00,6,medium,augmentation,architecture design and delivery,engineering_architecture_validation,representative engineering architecture validation sample,"zh-CN,en",2
56,architecture-teachers-postsecondary,60,"Architecture Teachers, Postsecondary",高等教育建筑学教师,25-1031,25-1031.00,5,medium,augmentation,postsecondary teaching and academic mentoring,education_counseling,representative education counseling sample,"zh-CN,en",2
57,area-ethnic-and-cultural-studies-teachers-postsecondary,63,"Area, Ethnic, And Cultural Studies Teachers, Postsecondary",高等教育区域、民族和文化研究教师,25-1062,25-1062.00,5,medium,augmentation,postsecondary teaching and academic mentoring,education_counseling,representative education counseling sample,"zh-CN,en",2
58,armored-assault-vehicle-crew-members,64,Armored Assault Vehicle Crew Members,装甲突击车辆乘员,55-3013,55-3013.00,3,high,augmentation,"armored, artillery, and missile operations",military_command,representative military command sample,"zh-CN,en",2
59,armored-assault-vehicle-officers,65,Armored Assault Vehicle Officers,装甲突击车辆军官,55-1013,55-1013.00,3,medium,augmentation,"armored, artillery, and missile operations",military_command,representative military command sample,"zh-CN,en",2
60,art-directors,66,Art directors,艺术总监,27-1011,27-1011.00,7,medium,mixed,visual creative direction,score_7_8_high,representative score 7 8 high sample,"zh-CN,en",2
61,art-therapists,67,Art Therapists,艺术治疗师,29-1129,29-1129.01,4,high,augmentation,creative arts therapy,medical_clinical,representative medical clinical sample,"zh-CN,en",2
62,art-drama-and-music-teachers-postsecondary,68,"Art, Drama, And Music Teachers, Postsecondary",高等教育艺术、戏剧和音乐教师,25-1121,25-1121.00,5,medium,augmentation,postsecondary teaching and academic mentoring,education_counseling|creative_performance,representative education counseling sample,"zh-CN,en",2
63,artillery-and-missile-crew-members,69,Artillery And Missile Crew Members,火炮和导弹乘员,55-3014,55-3014.00,3,medium,augmentation,"armored, artillery, and missile operations",military_command,representative military command sample,"zh-CN,en",2
64,artillery-and-missile-officers,70,Artillery And Missile Officers,火炮和导弹军官,55-1014,55-1014.00,3,medium,augmentation,"armored, artillery, and missile operations",military_command,representative military command sample,"zh-CN,en",2
65,athletes-and-sports-competitors,73,Athletes And Sports Competitors,运动员和体育竞赛选手,27-2021,27-2021.00,3,medium,augmentation,competitive sports performance,fixed_50_regression|creative_performance,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
66,athletic-trainers,74,Athletic Trainers,运动防护师,29-9091,29-9091.00,4,medium,augmentation,athletic training and sports medicine support,education_counseling,representative education counseling sample,"zh-CN,en",2
67,atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,77,"Atmospheric, Earth, Marine, And Space Sciences Teachers, Postsecondary",高等教育大气、地球、海洋和空间科学教师,25-1051,25-1051.00,5,medium,augmentation,postsecondary teaching and academic mentoring,education_counseling,representative education counseling sample,"zh-CN,en",2
68,audiologists,79,Audiologists,听力学家,29-1181,29-1181.00,4,medium,augmentation,clinical audiology,medical_clinical,representative medical clinical sample,"zh-CN,en",2
69,aviation-inspectors,87,Aviation Inspectors,航空检查员,53-6051,53-6051.01,5,high,augmentation,aviation inspection and avionics maintenance,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
70,bill-and-account-collectors,97,Bill and account collectors,账单和账款催收员,43-3011,43-3011.00,7,medium,mixed,"billing, posting, and collections administration",score_7_8_high,representative score 7 8 high sample,"zh-CN,en",2
71,billing-and-posting-clerks,98,Billing And Posting Clerks,账单和过账文员,43-3021,43-3021.00,7,medium,mixed,"billing, posting, and collections administration",score_7_8_high,representative score 7 8 high sample,"zh-CN,en",2
72,biochemists-and-biophysicists,99,Biochemists and biophysicists,生物化学家和生物物理学家,19-1021,19-1021.00,6,medium,augmentation,biomedical research and engineering,medical_clinical,representative medical clinical sample,"zh-CN,en",2
73,biomedical-engineers,100,Bioengineers and biomedical engineers,生物工程师和生物医学工程师,17-2031,17-2031.00,6,medium,augmentation,biomedical research and engineering,fixed_50_regression|medical_clinical,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
74,bioinformatics-scientists,104,Bioinformatics Scientists,生物信息学科学家,19-1029,19-1029.01,8,high,mixed,bioinformatics and computational biology,score_7_8_high,representative score 7 8 high sample,"zh-CN,en",2
75,bioinformatics-technicians,105,Bioinformatics Technicians,生物信息技术员,15-2099,15-2099.01,8,medium,mixed,bioinformatics and computational biology,score_7_8_high,representative score 7 8 high sample,"zh-CN,en",2
76,biological-science-teachers-postsecondary,106,"Biological Science Teachers, Postsecondary",高等教育生物科学教师,25-1042,25-1042.00,5,medium,augmentation,"biological research, lab work, and teaching",education_counseling,representative education counseling sample,"zh-CN,en",2
77,biostatisticians,111,Biostatisticians,生物统计学家,15-2041,15-2041.01,8,medium,mixed,biostatistics and health data analysis,medical_clinical|score_7_8_high,representative medical clinical sample,"zh-CN,en",2
78,blockchain-engineers,112,Blockchain Engineers,区块链工程师,15-1299,15-1299.07,8,high,mixed,blockchain engineering and smart contracts,score_7_8_high,representative score 7 8 high sample,"zh-CN,en",2
79,bus-and-truck-mechanics-and-diesel-engine-specialists,123,Bus And Truck Mechanics And Diesel Engine Specialists,公交、卡车机械师和柴油发动机专员,49-3031,49-3031.00,4,medium,augmentation,"bus, school transport, and diesel fleet operations",education_counseling,representative education counseling sample,"zh-CN,en",2
80,camera-and-photographic-equipment-repairers,134,Camera And Photographic Equipment Repairers,相机和摄影设备维修工,49-9061,49-9061.00,5,medium,augmentation,precision calibration and equipment repair,creative_performance,representative creative performance sample,"zh-CN,en",2
81,captains-mates-and-pilots-of-water-vessels,136,"Captains, Mates, And Pilots Of Water Vessels",船长、大副和船舶领航员,53-5021,53-5021.00,4,medium,augmentation,marine vessel navigation and command,military_command,representative military command sample,"zh-CN,en",2
82,cardiovascular-technologists-and-technicians,137,Cardiovascular technologists and technicians,心血管技术员,29-2031,29-2031.00,5,high,augmentation,cardiovascular clinical technology,medical_clinical,representative medical clinical sample,"zh-CN,en",2
83,chiropractors,160,Chiropractors,整脊医师,29-1011,29-1011.00,3,medium,augmentation,performance and embodied expression,creative_performance,representative creative performance sample,"zh-CN,en",2
84,choreographers,161,Choreographers,编舞师,27-2032,27-2032.00,4,medium,augmentation,"choreography, coaching, and performance development",creative_performance,representative creative performance sample,"zh-CN,en",2
85,civil-engineers,163,Civil engineers,土木工程师,17-2051,17-2051.00,6,medium,augmentation,civil engineering and infrastructure delivery,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
86,claims-adjusters-appraisers-examiners-and-investigators,164,"Claims Adjusters, Examiners, And Investigators",理赔核损员、评估师、审查员和调查员,13-1031,13-1031.00,7,medium,mixed,insurance claims adjusting and investigation,legal_regulatory,representative legal regulatory sample,"zh-CN,en",2
87,coaches-and-scouts,175,Coaches And Scouts,教练和球探,27-2022,27-2022.00,4,medium,augmentation,"choreography, coaching, and performance development",creative_performance,representative creative performance sample,"zh-CN,en",2
88,command-and-control-center-officers,179,Command And Control Center Officers,指挥控制中心军官,55-1015,55-1015.00,3,high,augmentation,command and control center operations,fixed_50_regression|military_command,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
89,command-and-control-center-specialists,180,Command And Control Center Specialists,指挥控制中心专员,55-3015,55-3015.00,3,medium,augmentation,command and control center operations,military_command,representative military command sample,"zh-CN,en",2
90,commercial-and-industrial-designers,181,Commercial And Industrial Designers,商业与工业设计师,27-1021,27-1021.00,7,medium,mixed,commercial and industrial product design,creative_performance,representative creative performance sample,"zh-CN,en",2
91,commercial-pilots,183,Commercial Pilots,商业飞行员,53-2012,53-2012.00,4,high,augmentation,high-risk field operations in diving and aviation,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
92,communications-teachers-postsecondary,184,"Communications Teachers, Postsecondary",高等教育传播学教师,25-1122,25-1122.00,5,medium,augmentation,communications and media teaching,creative_performance,representative creative performance sample,"zh-CN,en",2
93,compensation-and-benefits-managers,186,Compensation and benefits managers,薪酬与福利经理,11-3111,11-3111.00,7,medium,mixed,"compensation, job analysis, and compliance management",legal_regulatory,representative legal regulatory sample,"zh-CN,en",2
94,compensation-benefits-and-job-analysis-specialists,187,"Compensation, benefits, and job analysis specialists",薪酬、福利与岗位分析专员,13-1141,13-1141.00,7,medium,mixed,"compensation, job analysis, and compliance management",legal_regulatory,representative legal regulatory sample,"zh-CN,en",2
95,compliance-managers,188,Compliance Managers,合规经理,11-9199,11-9199.02,7,medium,mixed,"compensation, job analysis, and compliance management",legal_regulatory,representative legal regulatory sample,"zh-CN,en",2
96,compliance-officers,189,Compliance officers,合规专员,,,7,high,mixed,"compensation, job analysis, and compliance management",legal_regulatory,representative legal regulatory sample,"zh-CN,en",2
97,computer-programmers,197,Computer programmers,计算机程序员,,,8,high,mixed,"computer research, systems, networks, and software work",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
98,computer-systems-engineers-architects,201,Computer Systems Engineers/Architects,计算机系统工程师和架构师,15-1299,15-1299.08,8,high,mixed,systems engineering and architecture,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
99,construction-and-building-inspectors,205,Construction and building inspectors,建筑与施工检查员,47-4011,47-4011.00,6,high,augmentation,"construction inspection, management, and estimating",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
100,criminal-justice-and-law-enforcement-teachers-postsecondary,236,"Criminal Justice And Law Enforcement Teachers, Postsecondary",高等教育刑事司法与执法教师,25-1111,25-1111.00,5,medium,augmentation,"forensic, corrections, court-record, and criminal-justice instruction",legal_regulatory,representative legal regulatory sample,"zh-CN,en",2
101,dancers-and-choreographers,250,Dancers,舞者和编舞师,27-2031,27-2031.00,5,medium,augmentation,"costume, visual art, curation, and dance expression",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
102,data-scientists,252,Data scientists,数据科学家,15-2051,15-2051.00,8,high,mixed,"data operations, data science, and database architecture",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
103,diagnostic-medical-sonographers,269,Diagnostic medical sonographers,诊断医学超声技师,29-2032,29-2032.00,4,high,augmentation,diagnostic medical sonography and imaging capture,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
104,electricians,306,Electricians,电工,47-2111,47-2111.00,4,medium,augmentation,"electrical trades, mechatronics, and equipment assembly",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
105,elementary-school-teachers-except-special-education,311,"Elementary School Teachers, Except Special Education",小学教师（不含特殊教育）,25-2021,25-2021.00,5,high,augmentation,"school teaching, higher education instruction, and education leadership",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
106,emergency-medicine-physicians,318,Emergency Medicine Physicians,急诊医学医生,29-1214,29-1214.00,5,high,augmentation,"emergency management, emergency medical response, and endoscopy support",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
107,environmental-compliance-inspectors,328,Environmental Compliance Inspectors,环境合规检查员,13-1041,13-1041.01,7,high,mixed,"energy auditing, environmental engineering/science, and epidemiology",legal_regulatory,representative legal regulatory sample,"zh-CN,en",2
108,firefighters,377,Firefighters,消防员,33-2011,33-2011.00,4,high,augmentation,"fire inspection, suppression, rescue, and prevention supervision",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
109,first-line-supervisors-of-air-crew-members,378,First Line Supervisors Of Air Crew Members,航空机组一线主管,55-2011,55-2011.00,5,medium,augmentation,"military tactical, air-crew, and weapons-specialist supervision",fixed_50_regression|military_command,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
110,first-line-supervisors-of-all-other-tactical-operations-specialists,379,First Line Supervisors Of All Other Tactical Operations Specialists,其他战术行动专员一线主管,55-2013,55-2013.00,5,medium,augmentation,"military tactical, air-crew, and weapons-specialist supervision",military_command,representative military command sample,"zh-CN,en",2
111,first-line-supervisors-of-correctional-officers,381,First Line Supervisors Of Correctional Officers,惩教官一线主管,33-1011,33-1011.00,5,medium,augmentation,"corrections, law enforcement, and police supervision",legal_regulatory,representative legal regulatory sample,"zh-CN,en",2
112,first-line-supervisors-of-farming-fishing-and-forestry-workers,383,"First Line Supervisors Of Farming, Fishing, And Forestry Workers",农业、渔业和林业工人一线主管,45-1011,45-1011.00,4,medium,augmentation,"farming, fishing, forestry, landscaping, lawn-service, and grounds supervision",legal_regulatory,representative legal regulatory sample,"zh-CN,en",2
113,first-line-supervisors-of-landscaping-lawn-service-and-groundskeeping-workers,389,"First Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers",景观、草坪和场地维护人员一线主管,37-1012,37-1012.00,4,medium,augmentation,"farming, fishing, forestry, landscaping, lawn-service, and grounds supervision",legal_regulatory,representative legal regulatory sample,"zh-CN,en",2
114,first-line-supervisors-of-weapons-specialists-crew-members,400,First Line Supervisors Of Weapons Specialists/Crew Members,武器专员和机组成员一线主管,55-2012,55-2012.00,5,high,augmentation,"military tactical, air-crew, and weapons-specialist supervision",fixed_50_regression|military_command,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
115,genetic-counselors,453,Genetic counselors,遗传咨询师,29-9092,29-9092.00,6,high,augmentation,"genetic counseling, genetics research, and risk interpretation",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
116,heavy-and-tractor-trailer-truck-drivers,485,Heavy And Tractor Trailer Truck Drivers,重型和半挂卡车司机,53-3032,53-3032.00,4,high,augmentation,"HVAC/R, heavy equipment service, and heavy-truck operations",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
117,infantry,526,Infantry,步兵,55-3016,55-3016.00,3,medium,augmentation,"infantry operations, tactical execution, and chain-of-command coordination",military_command,representative military command sample,"zh-CN,en",2
118,infantry-officers,527,Infantry Officers,步兵军官,55-1016,55-1016.00,3,medium,augmentation,"infantry operations, tactical execution, and chain-of-command coordination",military_command,representative military command sample,"zh-CN,en",2
119,information-security-analysts,529,Information Security Analysts,信息安全分析师,15-1212,15-1212.00,8,high,mixed,cybersecurity analysis and intelligence assessment,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
120,judges-magistrate-judges-and-magistrates,551,"Judges, Magistrate Judges, And Magistrates",法官、地方法官和治安法官,23-1023,23-1023.00,7,high,mixed,"judicial decision, legal research, legislation, and procedural accountability",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
121,judicial-law-clerks,552,Judicial Law Clerks,司法法律文员,23-1012,23-1012.00,7,medium,mixed,"judicial decision, legal research, legislation, and procedural accountability",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
122,lawyers,562,Lawyers,律师,23-1011,23-1011.00,7,high,mixed,"judicial decision, legal research, legislation, and procedural accountability",fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
123,medical-and-clinical-laboratory-technologists,626,Medical And Clinical Laboratory Technologists,医学和临床实验室技师,29-2011,29-2011.00,7,high,mixed,clinical lab diagnostics and health records,fixed_50_regression,included in the previously PASS 50-slug staging page QA plan,"zh-CN,en",2
