rank,framework,locale,url,entity_type,entity_code,owned_query_clusters,current28_clicks,current28_impressions,current28_ctr_percent,current28_position,prev28_clicks,prev28_impressions,prev28_ctr_percent,prev28_position,day90_clicks,day90_impressions,day90_ctr_percent,day90_position,impressions_delta_vs_prev28,clicks_delta_vs_prev28,ctr_pp_delta_vs_prev28,selection_score,selection_rule,current_title,current_description,current_h1,query_cannibalization,recommended_action,expected_metric,risk_dependency,evidence_status,page_indexing_state
11,enneagram,en,https://fermatmind.com/en/personality/enneagram/wings/7w8,wing,7w8,enneagram 7w8 traits assertive adventurous source; 7w8; enneagram 7w8 traits adventurous assertive source,0,12,0,14.75,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,12,0,14.75,UNKNOWN,UNKNOWN,UNKNOWN,2.564949,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,"7w8: a core-first hypothesis about options, leverage, and direct pursuit","7w8 is an evidence-limited wing hypothesis in which Type Seven possibility stays primary while Eight may add leverage, autonomy, direct pursuit, and decisive action. Speed or assertiveness does not establish 7w8 because leadership, ownership, crisis authority, negotiation training, privilege, and unequal power can produce the same surface pattern.","7w8: a core-first hypothesis about options, leverage, and direct pursuit",0,HOLD_LOW_EVIDENCE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
12,big_five,en,https://fermatmind.com/en/personality/big-five/facets/warmth,facet_detail,warmth,warm meaning personality; warmth meaning in a person; warm personality meaning,0,12,0,11.5,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,12,0,11.5,UNKNOWN,UNKNOWN,UNKNOWN,2.564949,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,Warmth: Readiness for Friendly Connection,"Warmth concerns readiness to approach others with visible friendliness and connection. It is not kindness, morality, people pleasing, trust, or proof of relationship quality.",Warmth: Readiness for Friendly Connection,0,HOLD_LOW_EVIDENCE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
13,enneagram,en,https://fermatmind.com/en/personality/enneagram/type-5/instincts/self-preservation,instinctual_subtype,type-5/self-preservation,self preservation 5; self preservation instinct enneagram; self preservation five,1,14,7.142857,9,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,1,14,7.142857,9,UNKNOWN,UNKNOWN,UNKNOWN,2.514618,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,Type Five self-preservation: a space and resource boundary hypothesis,"Type Five self-preservation is a traditional subtype hypothesis about attention to space, resources, low-demand arrangements, and protecting usable capacity. A private room, stocked supplies, or reduced contact does not establish subtype because scarcity, housing, disability access, caregiving, remote work, confidentiality, and safety may explain the same choices.",Type Five self-preservation: a space and resource boundary hypothesis,0,PROTECT_AND_MONITOR,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
14,mbti,en,https://fermatmind.com/en/personality/enfj-a-vs-enfj-t,at_comparison,enfj-a-vs-enfj-t,enfj-t vs enfj-a differences; enfj-a vs enfj-t differences; enfj-t,0,11,0,10,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,11,0,10,UNKNOWN,UNKNOWN,UNKNOWN,2.484907,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,"ENFJ-A vs ENFJ-T: Confidence, Stress and Work Style | FermatMind","Compare ENFJ-A and ENFJ-T through people leadership, encouragement and shared direction, confidence, stress recovery, feedback style, work rhythm and relationships.",ENFJ-A vs ENFJ-T: Key Differences,0,HOLD_LOW_EVIDENCE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
15,enneagram,en,https://fermatmind.com/en/personality/enneagram/type-2/instincts/social,instinctual_subtype,type-2/social,social 2 enneagram; social 2; social two enneagram,0,10,0,10.4,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,10,0,10.4,UNKNOWN,UNKNOWN,UNKNOWN,2.397895,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,Social Type Two: group usefulness as a provisional subtype hypothesis,"Social Type Two is a traditional type-by-instinct hypothesis in which Two attention to needs and connection may appear through group roles, networks, contribution, and being useful to a wider circle. Two group usefulness is observable, but position, leadership duty, or community incentives may explain it.",Social Type Two: group usefulness as a provisional subtype hypothesis,0,HOLD_LOW_EVIDENCE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
16,big_five,en,https://fermatmind.com/en/personality/big-five/extraversion-high,polarity,extraversion-high,high extraversion; high extraversion meaning; high in extraversion,0,10,0,7.9,0,4,0,10,0,14,0,8.5,6,0,0,2.397895,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,High Extraversion: Social Initiative and Stimulation,"High Extraversion may suggest social initiative, visible expression, and appetite for stimulation. It does not mean constant happiness, impulsivity, or inability to work alone.",High Extraversion: Social Initiative and Stimulation,0,HOLD_LOW_EVIDENCE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
17,big_five,en,https://fermatmind.com/en/personality/big-five/facets/tender-mindedness,facet_detail,tender-mindedness,tender minded meaning; tender mindedness meaning; tender-mindedness,0,8,0,6.625,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,8,0,6.625,UNKNOWN,UNKNOWN,UNKNOWN,2.197225,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,Tender-Mindedness: Sympathetic Concern for Others,"Tender-Mindedness concerns how readily sympathetic concern enters attention and judgment. It is not weakness, empathy skill, pity, or proof that a decision is correct.",Tender-Mindedness: Sympathetic Concern for Others,0,HOLD_LOW_EVIDENCE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
18,big_five,en,https://fermatmind.com/en/personality/big-five/facets/excitement-seeking,facet_detail,excitement-seeking,intense stimulation meaning; excitement seeking; intense preferences definition,0,8,0,9.375,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,8,0,9.375,UNKNOWN,UNKNOWN,UNKNOWN,2.197225,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,Excitement Seeking: Preference for Intense Stimulation,"Excitement Seeking concerns preference for intense, vivid, or high-arousal stimulation. It is not recklessness, substance use, courage, impulsivity, or guaranteed risk taking.",Excitement Seeking: Preference for Intense Stimulation,0,HOLD_LOW_EVIDENCE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
19,mbti,en,https://fermatmind.com/en/personality/infp-t,variant,INFP-T,infp-t; infp-t meaning; infp t meaning,1,10,10,7.2,0,6,0,6.666667,1,16,6.25,7,4,1,10,2.158106,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,"INFP-T Personality: Traits, Turbulent Pattern, Work and Relationships | FermatMind","Understand INFP-T: core traits, Turbulent stress pattern, work style, relationships, common misreads, strengths, watch-outs, and safe self-understanding boundaries.",INFP-T Personality,0,PROTECT_AND_MONITOR,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
20,enneagram,en,https://fermatmind.com/en/personality/enneagram/wings/7w6,wing,7w6,7w6; 7w6 meaning,0,7,0,8.714286,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,7,0,8.714286,UNKNOWN,UNKNOWN,UNKNOWN,2.079442,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,"7w6: a core-first hypothesis about options, consultation, and contingency","7w6 is an evidence-limited wing hypothesis in which Type Seven options and possibility remain primary while Six may add consultation, contingency, reassurance, and shared planning. Sociability or backup plans do not establish 7w6 because facilitation, incident response, team norms, precarious resources, and accountable coordination can require the same behavior.","7w6: a core-first hypothesis about options, consultation, and contingency",0,HOLD_LOW_EVIDENCE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
1,mbti,zh-CN,https://fermatmind.com/zh/personality/intp-a-vs-intp-t,at_comparison,intp-a-vs-intp-t,intp-a; intp-t; intp a,8,300,2.666667,6.373333,0,55,0,8.090909,8,355,2.253521,6.639437,245,8,2.666667,5.554921,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,INTP-A 和 INTP-T 的区别：逻辑学家 A/T 对比 | FermatMind,对比 INTP-A 与 INTP-T 的最大区别、快速判断表、容易误判、工作、关系、压力场景、共同点、使用边界和 FAQ。,INTP-A 和 INTP-T 的区别,2,PROTECT_AND_MONITOR,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
2,mbti,zh-CN,https://fermatmind.com/zh/personality/intp-a,variant,INTP-A,intp-a; intp a; intp-a人格,1,114,0.877193,9.368421,8,138,5.797101,9.891304,9,270,3.333333,10.722222,'-24,'-7,'-4.919908,4.70331,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,INTP-A 人格特点：分析建模、可能性探索和独立解题 | FermatMind,了解 INTP-A 的分析建模、可能性探索和独立解题、适合与不适合的场景、A/T 差异、职业、关系、压力应对、常见误解与 FAQ。内容仅用于自我理解和成长复盘。,INTP-A 人格特点,2,METADATA_INTENT_EXPERIMENT_CANDIDATE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
3,mbti,zh-CN,https://fermatmind.com/zh/personality/intj-vs-intp,cross_type_comparison,intj-vs-intp,intp和intj的区别; intj和intp的区别; intp 和 intj 的 区别,1,80,1.25,7.2625,0,1,0,1,1,81,1.234568,7.185185,79,1,1.25,4.339519,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,INTJ 和 INTP 的区别：战略收敛与模型探索 | FermatMind,INTJ 和 INTP 有什么区别？用最大区别、快速判断表、容易误判、真实场景和 FAQ 快速判断。,INTJ 和 INTP 的区别：战略收敛与模型探索,0,SNIPPET_AND_INTENT_REVIEW,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
4,mbti,zh-CN,https://fermatmind.com/zh/personality/isfp-a,variant,ISFP-A,isfp-a; 探险家人格; isfp a,1,52,1.923077,12.269231,1,7,14.285714,4.857143,2,62,3.225806,11.274194,45,0,'-12.362637,3.89394,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,ISFP-A 探险家人格：特点、职业、关系与 A/T 差异 | FermatMind,ISFP-A 是什么？了解 探险家 的核心特点、适合谁、不适合谁、常见误解、A/T 差异、职业关系压力场景和 FAQ。,ISFP-A 探险家人格：特点、职业、关系与 A/T 差异 | FermatMind,0,SNIPPET_AND_INTENT_REVIEW,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
5,mbti,zh-CN,https://fermatmind.com/zh/personality/enfj-a-vs-enfj-t,at_comparison,enfj-a-vs-enfj-t,enfj-t; enfj-a; enfj t,1,45,2.222222,4.822222,0,20,0,10.3,1,65,1.538462,6.507692,25,1,2.222222,3.74356,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,ENFJ-A 和 ENFJ-T 的区别：主人公 A/T 对比 | FermatMind,UNKNOWN,ENFJ-A 和 ENFJ-T 的区别：主人公 A/T 对比 | FermatMind,0,PROTECT_AND_MONITOR,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
6,enneagram,zh-CN,https://fermatmind.com/zh/personality/enneagram/wings/5w6,wing,5w6,5w6; 5w6 人格,0,36,0,14.055556,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,36,0,14.055556,UNKNOWN,UNKNOWN,UNKNOWN,3.610918,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,5w6：以第五型为主、关注验证与可靠方法的翼型假设,5w6 是证据有限的翼型假设：第五型的知识、胜任准备、隐私与精力边界仍是核心，第六型只可能修饰为验证、可靠方法与风险核对。谨慎流程不能证明 5w6，因为合规工作、质量保证、安全岗位、团队规范与问责结构都可能要求同样行为。本页直接比较知识胜任准备精力如何保持核心、验证可靠方法风险如何作为修饰，以及合规质量保证安全岗位如何形成替代解释。,5w6：以第五型为主、关注验证与可靠方法的翼型假设,0,METADATA_INTENT_EXPERIMENT_CANDIDATE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
7,big_five,zh-CN,https://fermatmind.com/zh/personality/big-five/facets/straightforwardness,facet_detail,straightforwardness,坦率,0,35,0,13.114286,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,35,0,13.114286,UNKNOWN,UNKNOWN,UNKNOWN,3.583519,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,坦率（宜人性）：清楚、非操纵地表达,坦率反映一个人倾向清楚、非操纵地表达——不等于说出一切、生硬表达或放弃隐私。,坦率（宜人性）：清楚、非操纵地表达,0,METADATA_INTENT_EXPERIMENT_CANDIDATE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
8,enneagram,zh-CN,https://fermatmind.com/zh/personality/enneagram/wings/3w4,wing,3w4,3w4,0,33,0,10.090909,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,33,0,10.090909,UNKNOWN,UNKNOWN,UNKNOWN,3.526361,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,3w4：以成果为核心、以独特作品为修饰的翼型假设,3w4 是证据有限、以第三型为核心的传统翼型假设：对可见成果的关注，可能受到第四型相邻主题中的独特性、个人表达和理想比较所修饰。作品有辨识度不能证明翼型，专业分工、作品集要求和审美训练也会产生相似结果。,3w4：以成果为核心、以独特作品为修饰的翼型假设,0,METADATA_INTENT_EXPERIMENT_CANDIDATE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
9,enneagram,zh-CN,https://fermatmind.com/zh/personality/enneagram/wings/9w8,wing,9w8,9w8,0,30,0,7.233333,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,30,0,7.233333,UNKNOWN,UNKNOWN,UNKNOWN,3.433987,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,9w8：以九号稳定为核心的边界发力观察,9w8是证据有限的翼型观察假设，应先确认九号对稳定与连接的关注，再把八号式扎根抵抗、边界发力和保护倾向作为次要修饰。安静后变得强硬不能单独证明9w8；岗位授权、财产责任、危险、训练、反复侵害或权力不平等都可能产生相同顺序。,9w8：以九号稳定为核心的边界发力观察,0,METADATA_INTENT_EXPERIMENT_CANDIDATE,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
10,enneagram,zh-CN,https://fermatmind.com/zh/personality/enneagram/wings/1w2,wing,1w2,1w2,1,33,3.030303,6.575758,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,1,33,3.030303,6.575758,UNKNOWN,UNKNOWN,UNKNOWN,3.419501,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,1w2 观察页：直接帮助如何改变修订方式,1w2 是以一号标准与修订关注为核心、用二号相邻特征解释直接参与和关系修复的传统次级假设。观察1w2参与改善，不能只看是否热心，还要记录帮助是否受邀、标准是否清楚，以及被拒绝后能否把决定权交还对方。,1w2 观察页：直接帮助如何改变修订方式,0,PROTECT_AND_MONITOR,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
11,big_five,zh-CN,https://fermatmind.com/zh/personality/big-five/neuroticism,domain,neuroticism,neuroticism 中文; 神经质; 神经质意思,0,29,0,13.137931,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,NOT_RETURNED,0,29,0,13.137931,UNKNOWN,UNKNOWN,UNKNOWN,3.401197,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,神经质（Neuroticism）：情绪敏感度与压力反应的维度,神经质描述你对压力和负面情绪的敏感程度。这是人格维度的技术术语，不是心理疾病诊断。高神经质不等于情绪不稳定的人，低神经质也不等于无情。,神经质（Neuroticism）：情绪敏感度与压力反应的维度,0,SNIPPET_AND_INTENT_REVIEW,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
12,mbti,zh-CN,https://fermatmind.com/zh/personality/esfj-a,variant,ESFJ-A,esfj-a; 执政官人格; esfj-a 性格,1,32,3.125,10.375,0,2,0,6.5,1,36,2.777778,10,30,1,3.125,3.387242,ln(1+impressions) × position_weight × (1-CTR); weight=1 at positions 4-15 else 0.35,ESFJ-A 执政官人格：特点、职业、关系与 A/T 差异 | FermatMind,ESFJ-A 是什么？了解 执政官 的核心特点、适合谁、不适合谁、常见误解、A/T 差异、职业关系压力场景和 FAQ。,ESFJ-A 执政官人格：特点、职业、关系与 A/T 差异 | FermatMind,0,PROTECT_AND_MONITOR,current28 CTR and clicks; compare against same route locale and query intent,CMS-authoritative one-change experiment only; no publication/indexability action in this scope,VERIFIED_M01_CURRENT28,UNKNOWN_PAGE_LEVEL
