priority,url_path,locale,page_type,type_code,variant,current_title,current_description,current_h1,current_h2_count,current_issues,gsc_impressions_24h_screenshot,gsc_clicks_24h_screenshot,recommended_target_depth,required_sections,must_link_to,do_not_write,method_boundary_required
P1,/en/personality/entp-t,en,variant,ENTP,T,"ENTP-T Debater Personality: Traits, Careers & Relationships | FermatMind","Explore the ENTP-T Debater personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ENTP-T Debater Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/entp-a-vs-entp-t,en,comparison,ENTP,A_vs_T,"ENTP-A vs ENTP-T: Traits, Careers, Love & Rarity | FermatMind","Compare ENTP-A and ENTP-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","ENTP-A vs ENTP-T: Traits, Careers, Love & Rarity",7,,,,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/infj-a,en,variant,INFJ,A,"INFJ-A Advocate Personality: Traits, Careers & Relationships | FermatMind","Explore the INFJ-A Advocate personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",INFJ-A Advocate Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/infj-t,en,variant,INFJ,T,"INFJ-T Advocate Personality: Traits, Careers & Relationships | FermatMind","Explore the INFJ-T Advocate personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",INFJ-T Advocate Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/infj-a-vs-infj-t,en,comparison,INFJ,A_vs_T,"INFJ-A vs INFJ-T: Traits, Careers, Love & Rarity | FermatMind","Compare INFJ-A and INFJ-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","INFJ-A vs INFJ-T: Traits, Careers, Love & Rarity",7,,,,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/infp-a,en,variant,INFP,A,"INFP-A Mediator Personality: Traits, Careers & Relationships | FermatMind","Explore the INFP-A Mediator personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",INFP-A Mediator Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/infp-t,en,variant,INFP,T,"INFP-T Mediator Personality: Traits, Careers & Relationships | FermatMind","Explore the INFP-T Mediator personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",INFP-T Mediator Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/infp-a-vs-infp-t,en,comparison,INFP,A_vs_T,"INFP-A vs INFP-T: Traits, Careers, Love & Rarity | FermatMind","Compare INFP-A and INFP-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","INFP-A vs INFP-T: Traits, Careers, Love & Rarity",7,,,,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/en/personality/enfj-a,en,variant,ENFJ,A,"ENFJ-A Protagonist Personality: Traits, Careers & Relationships | FermatMind","Explore the ENFJ-A Protagonist personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ENFJ-A Protagonist Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/en/personality/enfj-t,en,variant,ENFJ,T,"ENFJ-T Protagonist Personality: Traits, Careers & Relationships | FermatMind","Explore the ENFJ-T Protagonist personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ENFJ-T Protagonist Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/enfj-a-vs-enfj-t,en,comparison,ENFJ,A_vs_T,"ENFJ-A vs ENFJ-T: Traits, Careers, Love & Rarity | FermatMind","Compare ENFJ-A and ENFJ-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","ENFJ-A vs ENFJ-T: Traits, Careers, Love & Rarity",7,,,,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/enfp-a,en,variant,ENFP,A,"ENFP-A Campaigner Personality: Traits, Careers & Relationships | FermatMind","Explore the ENFP-A Campaigner personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ENFP-A Campaigner Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/enfp-t,en,variant,ENFP,T,"ENFP-T Campaigner Personality: Traits, Careers & Relationships | FermatMind","Explore the ENFP-T Campaigner personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ENFP-T Campaigner Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/enfp-a-vs-enfp-t,en,comparison,ENFP,A_vs_T,"ENFP-A vs ENFP-T: Traits, Careers, Love & Rarity | FermatMind","Compare ENFP-A and ENFP-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","ENFP-A vs ENFP-T: Traits, Careers, Love & Rarity",7,,,,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/istj-a,en,variant,ISTJ,A,"ISTJ-A Logistician Personality: Traits, Careers & Relationships | FermatMind","Explore the ISTJ-A Logistician personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ISTJ-A Logistician Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/istj-t,en,variant,ISTJ,T,"ISTJ-T Logistician Personality: Traits, Careers & Relationships | FermatMind","Explore the ISTJ-T Logistician personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ISTJ-T Logistician Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/istj-a-vs-istj-t,en,comparison,ISTJ,A_vs_T,"ISTJ-A vs ISTJ-T: Traits, Careers, Love & Rarity | FermatMind","Compare ISTJ-A and ISTJ-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","ISTJ-A vs ISTJ-T: Traits, Careers, Love & Rarity",7,,,,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/en/personality/isfj-a,en,variant,ISFJ,A,"ISFJ-A Defender Personality: Traits, Careers & Relationships | FermatMind","Explore the ISFJ-A Defender personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ISFJ-A Defender Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/en/personality/isfj-t,en,variant,ISFJ,T,"ISFJ-T Defender Personality: Traits, Careers & Relationships | FermatMind","Explore the ISFJ-T Defender personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ISFJ-T Defender Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/isfj-a-vs-isfj-t,en,comparison,ISFJ,A_vs_T,"ISFJ-A vs ISFJ-T: Traits, Careers, Love & Rarity | FermatMind","Compare ISFJ-A and ISFJ-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","ISFJ-A vs ISFJ-T: Traits, Careers, Love & Rarity",7,,,,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/en/personality/estj-a,en,variant,ESTJ,A,"ESTJ-A Executive Personality: Traits, Careers & Relationships | FermatMind","Explore the ESTJ-A Executive personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ESTJ-A Executive Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/en/personality/estj-t,en,variant,ESTJ,T,"ESTJ-T Executive Personality: Traits, Careers & Relationships | FermatMind","Explore the ESTJ-T Executive personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ESTJ-T Executive Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P1,/en/personality/estj-a-vs-estj-t,en,comparison,ESTJ,A_vs_T,"ESTJ-A vs ESTJ-T: Traits, Careers, Love & Rarity | FermatMind","Compare ESTJ-A and ESTJ-T traits, A/T differences, strengths, blind spots, relationships, career fit, rarity, and how to confirm your type with an MBTI test.","ESTJ-A vs ESTJ-T: Traits, Careers, Love & Rarity",7,,,,1400-2200 English words,quick_answer;side_by_side_summary;core_traits_comparison;stress_confidence;career_work_style;relationships_love;rarity_identification_cues;which_one_fits;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
P2,/en/personality/esfj-a,en,variant,ESFJ,A,"ESFJ-A Consul Personality: Traits, Careers & Relationships | FermatMind","Explore the ESFJ-A Consul personality type, including traits, strengths, blind spots, relationships, career fit, and how to confirm your type with an MBTI test.",ESFJ-A Consul Personality,1,thin_h2_structure|weak_personality_internal_links,,,1200-1800 English words,quick_answer;meaning;at_difference;core_traits;strengths_blind_spots;careers_work_style;relationships_communication;common_misreads;similar_types;faq;method_boundary;internal_links,MBTI test; personality hub; sibling A/T page; A-vs-T comparison page; relevant career recommendations or career hub; related articles where contextually relevant,official MBTI claim; official 32 type claim; deterministic career advice; clinical diagnosis; copied competitor wording; private result-page wording,"Educational MBTI-like 16-type + A/T content. A/T is not official MBTI native. Not clinical, hiring, or deterministic career advice."
