slug,locale,candidate_index,faq_candidate,candidate_only,runtime_approved
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,2,成人基础教育、成人中等教育、英语作为第二语言需要哪些技能和准备？,true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,3,成人基础教育、成人中等教育、英语作为第二语言在 AI 时代哪些工作更容易被加速？,true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,1,"What does a Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors do?",true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,2,"What skills and preparation matter for Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors?",true,false
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,3,"How does AI affect Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors work?",true,false
advanced-practice-psychiatric-nurses,zh-CN,1,精神科护士主要做什么？,true,false
advanced-practice-psychiatric-nurses,zh-CN,2,精神科护士需要哪些技能和准备？,true,false
advanced-practice-psychiatric-nurses,zh-CN,3,精神科护士在 AI 时代哪些工作更容易被加速？,true,false
advanced-practice-psychiatric-nurses,en,1,What does a Advanced Practice Psychiatric Nurses do?,true,false
advanced-practice-psychiatric-nurses,en,2,What skills and preparation matter for Advanced Practice Psychiatric Nurses?,true,false
advanced-practice-psychiatric-nurses,en,3,How does AI affect Advanced Practice Psychiatric Nurses work?,true,false
advertising-and-promotions-managers,zh-CN,1,广告与促销经理主要做什么？,true,false
advertising-and-promotions-managers,zh-CN,2,广告与促销经理需要哪些技能和准备？,true,false
advertising-and-promotions-managers,zh-CN,3,广告与促销经理在 AI 时代哪些工作更容易被加速？,true,false
advertising-and-promotions-managers,en,1,What does a Advertising And Promotions Managers do?,true,false
advertising-and-promotions-managers,en,2,What skills and preparation matter for Advertising And Promotions Managers?,true,false
advertising-and-promotions-managers,en,3,How does AI affect Advertising And Promotions Managers work?,true,false
advertising-sales-agents,zh-CN,1,广告销售代表适合谁？主要做什么？,true,false
advertising-sales-agents,zh-CN,2,广告销售代表适合谁？需要哪些技能和准备？,true,false
advertising-sales-agents,zh-CN,3,广告销售代表适合谁？在 AI 时代哪些工作更容易被加速？,true,false
advertising-sales-agents,en,1,What does a Advertising Sales Agents do?,true,false
advertising-sales-agents,en,2,What skills and preparation matter for Advertising Sales Agents?,true,false
advertising-sales-agents,en,3,How does AI affect Advertising Sales Agents work?,true,false
advertising-promotions-and-marketing-managers,zh-CN,1,广告、促销与市场经理适合谁？主要做什么？,true,false
advertising-promotions-and-marketing-managers,zh-CN,2,广告、促销与市场经理适合谁？需要哪些技能和准备？,true,false
advertising-promotions-and-marketing-managers,zh-CN,3,广告、促销与市场经理适合谁？在 AI 时代哪些工作更容易被加速？,true,false
advertising-promotions-and-marketing-managers,en,1,"What does a Advertising, Promotions, and Marketing Managers do?",true,false
advertising-promotions-and-marketing-managers,en,2,"What skills and preparation matter for Advertising, Promotions, and Marketing Managers?",true,false
advertising-promotions-and-marketing-managers,en,3,"How does AI affect Advertising, Promotions, and Marketing Managers work?",true,false
aerospace-engineering-and-operations-technicians,zh-CN,1,航空航天工程与运营技术员适合谁？主要做什么？,true,false
aerospace-engineering-and-operations-technicians,zh-CN,2,航空航天工程与运营技术员适合谁？需要哪些技能和准备？,true,false
aerospace-engineering-and-operations-technicians,zh-CN,3,航空航天工程与运营技术员适合谁？在 AI 时代哪些工作更容易被加速？,true,false
aerospace-engineering-and-operations-technicians,en,1,What does a Aerospace Engineering and Operations Technologists and Technicians do?,true,false
aerospace-engineering-and-operations-technicians,en,2,What skills and preparation matter for Aerospace Engineering and Operations Technologists and Technicians?,true,false
aerospace-engineering-and-operations-technicians,en,3,How does AI affect Aerospace Engineering and Operations Technologists and Technicians work?,true,false
aerospace-engineers,zh-CN,1,航空航天工程师主要做什么？,true,false
aerospace-engineers,zh-CN,2,航空航天工程师需要哪些技能和准备？,true,false
aerospace-engineers,zh-CN,3,航空航天工程师在 AI 时代哪些工作更容易被加速？,true,false
aerospace-engineers,en,1,What does a Aerospace Engineers do?,true,false
aerospace-engineers,en,2,What skills and preparation matter for Aerospace Engineers?,true,false
aerospace-engineers,en,3,How does AI affect Aerospace Engineers work?,true,false
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,1,经理商业主要做什么？,true,false
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,2,经理商业需要哪些技能和准备？,true,false
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,3,经理商业在 AI 时代哪些工作更容易被加速？,true,false
agents-and-business-managers-of-artists-performers-and-athletes,en,1,"What does a Agents And Business Managers Of Artists, Performers, And Athletes do?",true,false
agents-and-business-managers-of-artists-performers-and-athletes,en,2,"What skills and preparation matter for Agents And Business Managers Of Artists, Performers, And Athletes?",true,false
agents-and-business-managers-of-artists-performers-and-athletes,en,3,"How does AI affect Agents And Business Managers Of Artists, Performers, And Athletes work?",true,false
agricultural-and-food-science-technicians,zh-CN,1,农业与食品科学技术员适合谁？主要做什么？,true,false
agricultural-and-food-science-technicians,zh-CN,2,农业与食品科学技术员适合谁？需要哪些技能和准备？,true,false
agricultural-and-food-science-technicians,zh-CN,3,农业与食品科学技术员适合谁？在 AI 时代哪些工作更容易被加速？,true,false
agricultural-and-food-science-technicians,en,1,What does a Agricultural and Food Science Technicians do?,true,false
agricultural-and-food-science-technicians,en,2,What skills and preparation matter for Agricultural and Food Science Technicians?,true,false
agricultural-and-food-science-technicians,en,3,How does AI affect Agricultural and Food Science Technicians work?,true,false
agricultural-and-food-scientists,zh-CN,1,农业与食品科学家主要做什么？,true,false
agricultural-and-food-scientists,zh-CN,2,农业与食品科学家需要哪些技能和准备？,true,false
agricultural-and-food-scientists,zh-CN,3,农业与食品科学家在 AI 时代哪些工作更容易被加速？,true,false
agricultural-and-food-scientists,en,1,What does a Agricultural And Food Scientists do?,true,false
agricultural-and-food-scientists,en,2,What skills and preparation matter for Agricultural And Food Scientists?,true,false
agricultural-and-food-scientists,en,3,How does AI affect Agricultural And Food Scientists work?,true,false
agricultural-engineers,zh-CN,1,农业工程师适合谁？主要做什么？,true,false
agricultural-engineers,zh-CN,2,农业工程师适合谁？需要哪些技能和准备？,true,false
agricultural-engineers,zh-CN,3,农业工程师适合谁？在 AI 时代哪些工作更容易被加速？,true,false
agricultural-engineers,en,1,What does a Agricultural Engineers do?,true,false
agricultural-engineers,en,2,What skills and preparation matter for Agricultural Engineers?,true,false
agricultural-engineers,en,3,How does AI affect Agricultural Engineers work?,true,false
agricultural-equipment-operators,zh-CN,1,农业操作员主要做什么？,true,false
agricultural-equipment-operators,zh-CN,2,农业操作员需要哪些技能和准备？,true,false
agricultural-equipment-operators,zh-CN,3,农业操作员在 AI 时代哪些工作更容易被加速？,true,false
agricultural-equipment-operators,en,1,What does a Agricultural Equipment Operators do?,true,false
agricultural-equipment-operators,en,2,What skills and preparation matter for Agricultural Equipment Operators?,true,false
agricultural-equipment-operators,en,3,How does AI affect Agricultural Equipment Operators work?,true,false
agricultural-inspectors,zh-CN,1,农业检查员主要做什么？,true,false
agricultural-inspectors,zh-CN,2,农业检查员需要哪些技能和准备？,true,false
agricultural-inspectors,zh-CN,3,农业检查员在 AI 时代哪些工作更容易被加速？,true,false
agricultural-inspectors,en,1,What does a Agricultural Inspectors do?,true,false
agricultural-inspectors,en,2,What skills and preparation matter for Agricultural Inspectors?,true,false
agricultural-inspectors,en,3,How does AI affect Agricultural Inspectors work?,true,false
agricultural-sciences-teachers-postsecondary,zh-CN,1,农业教师主要做什么？,true,false
agricultural-sciences-teachers-postsecondary,zh-CN,2,农业教师需要哪些技能和准备？,true,false
agricultural-sciences-teachers-postsecondary,zh-CN,3,农业教师在 AI 时代哪些工作更容易被加速？,true,false
agricultural-sciences-teachers-postsecondary,en,1,"What does a Agricultural Sciences Teachers, Postsecondary do?",true,false
agricultural-sciences-teachers-postsecondary,en,2,"What skills and preparation matter for Agricultural Sciences Teachers, Postsecondary?",true,false
agricultural-sciences-teachers-postsecondary,en,3,"How does AI affect Agricultural Sciences Teachers, Postsecondary work?",true,false
agricultural-technicians,zh-CN,1,农业技术员主要做什么？,true,false
agricultural-technicians,zh-CN,2,农业技术员需要哪些技能和准备？,true,false
agricultural-technicians,zh-CN,3,农业技术员在 AI 时代哪些工作更容易被加速？,true,false
agricultural-technicians,en,1,What does a Agricultural Technicians do?,true,false
agricultural-technicians,en,2,What skills and preparation matter for Agricultural Technicians?,true,false
agricultural-technicians,en,3,How does AI affect Agricultural Technicians work?,true,false
agricultural-workers,zh-CN,1,农业从业人员主要做什么？,true,false
agricultural-workers,zh-CN,2,农业从业人员需要哪些技能和准备？,true,false
agricultural-workers,zh-CN,3,农业从业人员在 AI 时代哪些工作更容易被加速？,true,false
agricultural-workers,en,1,What does a Agricultural Workers do?,true,false
agricultural-workers,en,2,What skills and preparation matter for Agricultural Workers?,true,false
agricultural-workers,en,3,How does AI affect Agricultural Workers work?,true,false
air-crew-members,zh-CN,1,机组成员主要做什么？,true,false
air-crew-members,zh-CN,2,机组成员需要哪些技能和准备？,true,false
air-crew-members,zh-CN,3,机组成员在 AI 时代哪些工作更容易被加速？,true,false
air-crew-members,en,1,What does a Air Crew Members do?,true,false
air-crew-members,en,2,What skills and preparation matter for Air Crew Members?,true,false
air-crew-members,en,3,How does AI affect Air Crew Members work?,true,false
air-crew-officers,zh-CN,1,空勤军官主要做什么？,true,false
air-crew-officers,zh-CN,2,空勤军官需要哪些技能和准备？,true,false
air-crew-officers,zh-CN,3,空勤军官在 AI 时代哪些工作更容易被加速？,true,false
air-crew-officers,en,1,What does a Air Crew Officers do?,true,false
air-crew-officers,en,2,What skills and preparation matter for Air Crew Officers?,true,false
air-crew-officers,en,3,How does AI affect Air Crew Officers work?,true,false
air-traffic-controllers,zh-CN,1,空中交通管制员职业诊断主要做什么？,true,false
air-traffic-controllers,zh-CN,2,空中交通管制员职业诊断需要哪些技能和准备？,true,false
air-traffic-controllers,zh-CN,3,空中交通管制员职业诊断在 AI 时代哪些工作更容易被加速？,true,false
air-traffic-controllers,en,1,What does a Air Traffic Controllers do?,true,false
air-traffic-controllers,en,2,What skills and preparation matter for Air Traffic Controllers?,true,false
air-traffic-controllers,en,3,How does AI affect Air Traffic Controllers work?,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,1,飞机与航空电子设备维修技师适合谁？主要做什么？,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,2,飞机与航空电子设备维修技师适合谁？需要哪些技能和准备？,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,3,飞机与航空电子设备维修技师适合谁？在 AI 时代哪些工作更容易被加速？,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,en,1,What does a Aircraft and Avionics Equipment Mechanics and Technicians do?,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,en,2,What skills and preparation matter for Aircraft and Avionics Equipment Mechanics and Technicians?,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,en,3,How does AI affect Aircraft and Avionics Equipment Mechanics and Technicians work?,true,false
aircraft-cargo-handling-supervisors,zh-CN,1,飞机货物装卸主管主要做什么？,true,false
aircraft-cargo-handling-supervisors,zh-CN,2,飞机货物装卸主管需要哪些技能和准备？,true,false
aircraft-cargo-handling-supervisors,zh-CN,3,飞机货物装卸主管在 AI 时代哪些工作更容易被加速？,true,false
aircraft-cargo-handling-supervisors,en,1,What does a Aircraft Cargo Handling Supervisors do?,true,false
aircraft-cargo-handling-supervisors,en,2,What skills and preparation matter for Aircraft Cargo Handling Supervisors?,true,false
aircraft-cargo-handling-supervisors,en,3,How does AI affect Aircraft Cargo Handling Supervisors work?,true,false
aircraft-launch-and-recovery-officers,zh-CN,1,飞机官主要做什么？,true,false
aircraft-launch-and-recovery-officers,zh-CN,2,飞机官需要哪些技能和准备？,true,false
aircraft-launch-and-recovery-officers,zh-CN,3,飞机官在 AI 时代哪些工作更容易被加速？,true,false
aircraft-launch-and-recovery-officers,en,1,What does a Aircraft Launch And Recovery Officers do?,true,false
aircraft-launch-and-recovery-officers,en,2,What skills and preparation matter for Aircraft Launch And Recovery Officers?,true,false
aircraft-launch-and-recovery-officers,en,3,How does AI affect Aircraft Launch And Recovery Officers work?,true,false
aircraft-launch-and-recovery-specialists,zh-CN,1,飞机专员主要做什么？,true,false
aircraft-launch-and-recovery-specialists,zh-CN,2,飞机专员需要哪些技能和准备？,true,false
aircraft-launch-and-recovery-specialists,zh-CN,3,飞机专员在 AI 时代哪些工作更容易被加速？,true,false
aircraft-launch-and-recovery-specialists,en,1,What does a Aircraft Launch And Recovery Specialists do?,true,false
aircraft-launch-and-recovery-specialists,en,2,What skills and preparation matter for Aircraft Launch And Recovery Specialists?,true,false
aircraft-launch-and-recovery-specialists,en,3,How does AI affect Aircraft Launch And Recovery Specialists work?,true,false
aircraft-mechanics-and-service-technicians,zh-CN,1,飞机机械师技术员主要做什么？,true,false
aircraft-mechanics-and-service-technicians,zh-CN,2,飞机机械师技术员需要哪些技能和准备？,true,false
aircraft-mechanics-and-service-technicians,zh-CN,3,飞机机械师技术员在 AI 时代哪些工作更容易被加速？,true,false
aircraft-mechanics-and-service-technicians,en,1,What does a Aircraft Mechanics And Service Technicians do?,true,false
aircraft-mechanics-and-service-technicians,en,2,What skills and preparation matter for Aircraft Mechanics And Service Technicians?,true,false
aircraft-mechanics-and-service-technicians,en,3,How does AI affect Aircraft Mechanics And Service Technicians work?,true,false
aircraft-service-attendants,zh-CN,1,飞机服务服务员主要做什么？,true,false
aircraft-service-attendants,zh-CN,2,飞机服务服务员需要哪些技能和准备？,true,false
aircraft-service-attendants,zh-CN,3,飞机服务服务员在 AI 时代哪些工作更容易被加速？,true,false
aircraft-service-attendants,en,1,What does a Aircraft Service Attendants do?,true,false
aircraft-service-attendants,en,2,What skills and preparation matter for Aircraft Service Attendants?,true,false
aircraft-service-attendants,en,3,How does AI affect Aircraft Service Attendants work?,true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,1,飞机结构、表面、索具、系统装配工主要做什么？,true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,2,飞机结构、表面、索具、系统装配工需要哪些技能和准备？,true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,3,飞机结构、表面、索具、系统装配工在 AI 时代哪些工作更容易被加速？,true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,1,"What does a Aircraft Structure, Surfaces, Rigging, And Systems Assemblers do?",true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,2,"What skills and preparation matter for Aircraft Structure, Surfaces, Rigging, And Systems Assemblers?",true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,3,"How does AI affect Aircraft Structure, Surfaces, Rigging, And Systems Assemblers work?",true,false
airfield-operations-specialists,zh-CN,1,机场运行专员主要做什么？,true,false
airfield-operations-specialists,zh-CN,2,机场运行专员需要哪些技能和准备？,true,false
airfield-operations-specialists,zh-CN,3,机场运行专员在 AI 时代哪些工作更容易被加速？,true,false
airfield-operations-specialists,en,1,What does a Airfield Operations Specialists do?,true,false
airfield-operations-specialists,en,2,What skills and preparation matter for Airfield Operations Specialists?,true,false
airfield-operations-specialists,en,3,How does AI affect Airfield Operations Specialists work?,true,false
airline-and-commercial-pilots,zh-CN,1,航空公司与商业飞行员职业诊断主要做什么？,true,false
airline-and-commercial-pilots,zh-CN,2,航空公司与商业飞行员职业诊断需要哪些技能和准备？,true,false
airline-and-commercial-pilots,zh-CN,3,航空公司与商业飞行员职业诊断在 AI 时代哪些工作更容易被加速？,true,false
airline-and-commercial-pilots,en,1,What does a Airline and Commercial Pilots do?,true,false
airline-and-commercial-pilots,en,2,What skills and preparation matter for Airline and Commercial Pilots?,true,false
airline-and-commercial-pilots,en,3,How does AI affect Airline and Commercial Pilots work?,true,false
airline-pilots-copilots-and-flight-engineers,zh-CN,1,工程师主要做什么？,true,false
airline-pilots-copilots-and-flight-engineers,zh-CN,2,工程师需要哪些技能和准备？,true,false
airline-pilots-copilots-and-flight-engineers,zh-CN,3,工程师在 AI 时代哪些工作更容易被加速？,true,false
airline-pilots-copilots-and-flight-engineers,en,1,"What does a Airline Pilots, Copilots, And Flight Engineers do?",true,false
airline-pilots-copilots-and-flight-engineers,en,2,"What skills and preparation matter for Airline Pilots, Copilots, And Flight Engineers?",true,false
airline-pilots-copilots-and-flight-engineers,en,3,"How does AI affect Airline Pilots, Copilots, And Flight Engineers work?",true,false
allergists-and-immunologists,zh-CN,1,过敏专科医师免疫学医师主要做什么？,true,false
allergists-and-immunologists,zh-CN,2,过敏专科医师免疫学医师需要哪些技能和准备？,true,false
allergists-and-immunologists,zh-CN,3,过敏专科医师免疫学医师在 AI 时代哪些工作更容易被加速？,true,false
allergists-and-immunologists,en,1,What does a Allergists And Immunologists do?,true,false
allergists-and-immunologists,en,2,What skills and preparation matter for Allergists And Immunologists?,true,false
allergists-and-immunologists,en,3,How does AI affect Allergists And Immunologists work?,true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,1,救护车司机服务员、急诊医疗技术员主要做什么？,true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,2,救护车司机服务员、急诊医疗技术员需要哪些技能和准备？,true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,3,救护车司机服务员、急诊医疗技术员在 AI 时代哪些工作更容易被加速？,true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,1,"What does a Ambulance Drivers And Attendants, Except Emergency Medical Technicians do?",true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,2,"What skills and preparation matter for Ambulance Drivers And Attendants, Except Emergency Medical Technicians?",true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,3,"How does AI affect Ambulance Drivers And Attendants, Except Emergency Medical Technicians work?",true,false
amusement-and-recreation-attendants,zh-CN,1,娱乐与休闲服务员主要做什么？,true,false
amusement-and-recreation-attendants,zh-CN,2,娱乐与休闲服务员需要哪些技能和准备？,true,false
amusement-and-recreation-attendants,zh-CN,3,娱乐与休闲服务员在 AI 时代哪些工作更容易被加速？,true,false
amusement-and-recreation-attendants,en,1,What does a Amusement And Recreation Attendants do?,true,false
amusement-and-recreation-attendants,en,2,What skills and preparation matter for Amusement And Recreation Attendants?,true,false
amusement-and-recreation-attendants,en,3,How does AI affect Amusement And Recreation Attendants work?,true,false
anesthesiologist-assistants,zh-CN,1,麻醉医师助理主要做什么？,true,false
anesthesiologist-assistants,zh-CN,2,麻醉医师助理需要哪些技能和准备？,true,false
anesthesiologist-assistants,zh-CN,3,麻醉医师助理在 AI 时代哪些工作更容易被加速？,true,false
anesthesiologist-assistants,en,1,What does a Anesthesiologist Assistants do?,true,false
anesthesiologist-assistants,en,2,What skills and preparation matter for Anesthesiologist Assistants?,true,false
anesthesiologist-assistants,en,3,How does AI affect Anesthesiologist Assistants work?,true,false
anesthesiologists,zh-CN,1,麻醉医师主要做什么？,true,false
anesthesiologists,zh-CN,2,麻醉医师需要哪些技能和准备？,true,false
anesthesiologists,zh-CN,3,麻醉医师在 AI 时代哪些工作更容易被加速？,true,false
anesthesiologists,en,1,What does a Anesthesiologists do?,true,false
anesthesiologists,en,2,What skills and preparation matter for Anesthesiologists?,true,false
anesthesiologists,en,3,How does AI affect Anesthesiologists work?,true,false
animal-breeders,zh-CN,1,动物饲养员主要做什么？,true,false
animal-breeders,zh-CN,2,动物饲养员需要哪些技能和准备？,true,false
animal-breeders,zh-CN,3,动物饲养员在 AI 时代哪些工作更容易被加速？,true,false
animal-breeders,en,1,What does a Animal Breeders do?,true,false
animal-breeders,en,2,What skills and preparation matter for Animal Breeders?,true,false
animal-breeders,en,3,How does AI affect Animal Breeders work?,true,false
animal-care-and-service-workers,zh-CN,1,动物照护与服务人员适合谁？主要做什么？,true,false
animal-care-and-service-workers,zh-CN,2,动物照护与服务人员适合谁？需要哪些技能和准备？,true,false
animal-care-and-service-workers,zh-CN,3,动物照护与服务人员适合谁？在 AI 时代哪些工作更容易被加速？,true,false
animal-care-and-service-workers,en,1,What does a Animal Care and Service Workers do?,true,false
animal-care-and-service-workers,en,2,What skills and preparation matter for Animal Care and Service Workers?,true,false
animal-care-and-service-workers,en,3,How does AI affect Animal Care and Service Workers work?,true,false
animal-caretakers,zh-CN,1,动物照护员主要做什么？,true,false
animal-caretakers,zh-CN,2,动物照护员需要哪些技能和准备？,true,false
animal-caretakers,zh-CN,3,动物照护员在 AI 时代哪些工作更容易被加速？,true,false
animal-caretakers,en,1,What does a Animal Caretakers do?,true,false
animal-caretakers,en,2,What skills and preparation matter for Animal Caretakers?,true,false
animal-caretakers,en,3,How does AI affect Animal Caretakers work?,true,false
animal-control-workers,zh-CN,1,动物工人主要做什么？,true,false
animal-control-workers,zh-CN,2,动物工人需要哪些技能和准备？,true,false
animal-control-workers,zh-CN,3,动物工人在 AI 时代哪些工作更容易被加速？,true,false
animal-control-workers,en,1,What does a Animal Control Workers do?,true,false
animal-control-workers,en,2,What skills and preparation matter for Animal Control Workers?,true,false
animal-control-workers,en,3,How does AI affect Animal Control Workers work?,true,false
animal-scientists,zh-CN,1,动物科学家主要做什么？,true,false
animal-scientists,zh-CN,2,动物科学家需要哪些技能和准备？,true,false
animal-scientists,zh-CN,3,动物科学家在 AI 时代哪些工作更容易被加速？,true,false
animal-scientists,en,1,What does a Animal Scientists do?,true,false
animal-scientists,en,2,What skills and preparation matter for Animal Scientists?,true,false
animal-scientists,en,3,How does AI affect Animal Scientists work?,true,false
animal-trainers,zh-CN,1,动物训练师主要做什么？,true,false
animal-trainers,zh-CN,2,动物训练师需要哪些技能和准备？,true,false
animal-trainers,zh-CN,3,动物训练师在 AI 时代哪些工作更容易被加速？,true,false
animal-trainers,en,1,What does a Animal Trainers do?,true,false
animal-trainers,en,2,What skills and preparation matter for Animal Trainers?,true,false
animal-trainers,en,3,How does AI affect Animal Trainers work?,true,false
announcers,zh-CN,1,广播主持人与电台DJ主要做什么？,true,false
announcers,zh-CN,2,广播主持人与电台DJ需要哪些技能和准备？,true,false
announcers,zh-CN,3,广播主持人与电台DJ在 AI 时代哪些工作更容易被加速？,true,false
announcers,en,1,What does a Broadcast Announcers And Radio Disc Jockeys do?,true,false
announcers,en,2,What skills and preparation matter for Broadcast Announcers And Radio Disc Jockeys?,true,false
