slug,locale,snippet_candidate,primary_query_intent,candidate_only,runtime_approved
aircraft-cargo-handling-supervisors,zh-CN,飞机货物装卸主管页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“飞机货物装卸主管适不适合我”的候选搜索摘要。,what-is,true,false
aircraft-cargo-handling-supervisors,en,"Aircraft Cargo Handling Supervisors covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
aircraft-launch-and-recovery-officers,zh-CN,飞机官页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“飞机官适不适合我”的候选搜索摘要。,what-is,true,false
aircraft-launch-and-recovery-officers,en,"Aircraft Launch And Recovery Officers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
aircraft-launch-and-recovery-specialists,zh-CN,飞机专员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“飞机专员适不适合我”的候选搜索摘要。,what-is,true,false
aircraft-launch-and-recovery-specialists,en,"Aircraft Launch And Recovery Specialists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
aircraft-mechanics-and-service-technicians,zh-CN,飞机机械师技术员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“飞机机械师技术员适不适合我”的候选搜索摘要。,what-is,true,false
aircraft-mechanics-and-service-technicians,en,"Aircraft Mechanics And Service Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
aircraft-service-attendants,zh-CN,飞机服务服务员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“飞机服务服务员适不适合我”的候选搜索摘要。,what-is,true,false
aircraft-service-attendants,en,"Aircraft Service Attendants covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,飞机结构、表面、索具、系统装配工页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“飞机结构、表面、索具、系统装配工适不适合我”的候选搜索摘要。,what-is,true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,"Aircraft Structure, Surfaces, Rigging, And Systems Assemblers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
airfield-operations-specialists,zh-CN,机场运行专员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“机场运行专员适不适合我”的候选搜索摘要。,what-is,true,false
airfield-operations-specialists,en,"Airfield Operations Specialists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
airline-and-commercial-pilots,zh-CN,航空公司与商业飞行员职业诊断页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“航空公司与商业飞行员职业诊断适不适合我”的候选搜索摘要。,what-is,true,false
airline-and-commercial-pilots,en,"Airline and Commercial Pilots covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
airline-pilots-copilots-and-flight-engineers,zh-CN,工程师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“工程师适不适合我”的候选搜索摘要。,what-is,true,false
airline-pilots-copilots-and-flight-engineers,en,"Airline Pilots, Copilots, And Flight Engineers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
allergists-and-immunologists,zh-CN,过敏专科医师免疫学医师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“过敏专科医师免疫学医师适不适合我”的候选搜索摘要。,what-is,true,false
allergists-and-immunologists,en,"Allergists And Immunologists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,救护车司机服务员、急诊医疗技术员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“救护车司机服务员、急诊医疗技术员适不适合我”的候选搜索摘要。,what-is,true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,"Ambulance Drivers And Attendants, Except Emergency Medical Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
amusement-and-recreation-attendants,zh-CN,娱乐与休闲服务员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“娱乐与休闲服务员适不适合我”的候选搜索摘要。,what-is,true,false
amusement-and-recreation-attendants,en,"Amusement And Recreation Attendants covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
anesthesiologist-assistants,zh-CN,麻醉医师助理页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“麻醉医师助理适不适合我”的候选搜索摘要。,what-is,true,false
anesthesiologist-assistants,en,"Anesthesiologist Assistants covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
anesthesiologists,zh-CN,麻醉医师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“麻醉医师适不适合我”的候选搜索摘要。,what-is,true,false
anesthesiologists,en,"Anesthesiologists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
animal-breeders,zh-CN,动物饲养员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“动物饲养员适不适合我”的候选搜索摘要。,what-is,true,false
animal-breeders,en,"Animal Breeders covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
animal-care-and-service-workers,zh-CN,动物照护与服务人员适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“动物照护与服务人员适合谁？适不适合我”的候选搜索摘要。,what-is,true,false
animal-care-and-service-workers,en,"Animal Care and Service Workers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
animal-caretakers,zh-CN,动物照护员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“动物照护员适不适合我”的候选搜索摘要。,what-is,true,false
animal-caretakers,en,"Animal Caretakers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
animal-control-workers,zh-CN,动物工人页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“动物工人适不适合我”的候选搜索摘要。,what-is,true,false
animal-control-workers,en,"Animal Control Workers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
animal-scientists,zh-CN,动物科学家页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“动物科学家适不适合我”的候选搜索摘要。,what-is,true,false
animal-scientists,en,"Animal Scientists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
animal-trainers,zh-CN,动物训练师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“动物训练师适不适合我”的候选搜索摘要。,what-is,true,false
animal-trainers,en,"Animal Trainers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
announcers,zh-CN,广播主持人与电台DJ页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“广播主持人与电台DJ适不适合我”的候选搜索摘要。,what-is,true,false
announcers,en,"Broadcast Announcers And Radio Disc Jockeys covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
anthropologists-and-archeologists,zh-CN,人类学家与考古学家页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“人类学家与考古学家适不适合我”的候选搜索摘要。,what-is,true,false
anthropologists-and-archeologists,en,"Anthropologists And Archeologists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
anthropology-and-archeology-teachers-postsecondary,zh-CN,教师、高等教育页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“教师、高等教育适不适合我”的候选搜索摘要。,what-is,true,false
anthropology-and-archeology-teachers-postsecondary,en,"Anthropology And Archeology Teachers, Postsecondary covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
appraisers-of-personal-and-business-property,zh-CN,个人与商业财产评估师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“个人与商业财产评估师适不适合我”的候选搜索摘要。,what-is,true,false
appraisers-of-personal-and-business-property,en,"Appraisers Of Personal And Business Property covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
arbitrators-mediators-and-conciliators,zh-CN,仲裁员、调解员与和解员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“仲裁员、调解员与和解员适不适合我”的候选搜索摘要。,what-is,true,false
arbitrators-mediators-and-conciliators,en,"Arbitrators, Mediators, And Conciliators covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
architects,zh-CN,建筑师（不含景观与船舶）职业诊断页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“建筑师（不含景观与船舶）职业诊断适不适合我”的候选搜索摘要。,what-is,true,false
architects,en,"Architects, Except Landscape and Naval covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
architects-except-landscape-and-naval,zh-CN,建筑师、景观船舶页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“建筑师、景观船舶适不适合我”的候选搜索摘要。,what-is,true,false
architects-except-landscape-and-naval,en,"Architects, Except Landscape And Naval covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
architectural-and-civil-drafters,zh-CN,建筑土木制图员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“建筑土木制图员适不适合我”的候选搜索摘要。,what-is,true,false
architectural-and-civil-drafters,en,"Architectural And Civil Drafters covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
architectural-and-engineering-managers,zh-CN,建筑与工程经理职业诊断页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“建筑与工程经理职业诊断适不适合我”的候选搜索摘要。,what-is,true,false
architectural-and-engineering-managers,en,"Architectural and engineering managers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
architecture-teachers-postsecondary,zh-CN,建筑教师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“建筑教师适不适合我”的候选搜索摘要。,what-is,true,false
architecture-teachers-postsecondary,en,"Architecture Teachers, Postsecondary covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
archivists,zh-CN,档案管理员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“档案管理员适不适合我”的候选搜索摘要。,what-is,true,false
archivists,en,"Archivists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
curators-museum-technicians-and-conservators,zh-CN,策展人页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“策展人适不适合我”的候选搜索摘要。,what-is,true,false
curators-museum-technicians-and-conservators,en,"Curators covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
area-ethnic-and-cultural-studies-teachers-postsecondary,zh-CN,教师、高等教育页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“教师、高等教育适不适合我”的候选搜索摘要。,what-is,true,false
area-ethnic-and-cultural-studies-teachers-postsecondary,en,"Area, Ethnic, And Cultural Studies Teachers, Postsecondary covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
armored-assault-vehicle-crew-members,zh-CN,装甲突击车辆成员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“装甲突击车辆成员适不适合我”的候选搜索摘要。,what-is,true,false
armored-assault-vehicle-crew-members,en,"Armored Assault Vehicle Crew Members covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
armored-assault-vehicle-officers,zh-CN,装甲突击车辆官页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“装甲突击车辆官适不适合我”的候选搜索摘要。,what-is,true,false
armored-assault-vehicle-officers,en,"Armored Assault Vehicle Officers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
art-directors,zh-CN,艺术总监适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“艺术总监适合谁？适不适合我”的候选搜索摘要。,what-is,true,false
art-directors,en,"Art directors covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
art-therapists,zh-CN,治疗师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“治疗师适不适合我”的候选搜索摘要。,what-is,true,false
art-therapists,en,"Art Therapists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
art-drama-and-music-teachers-postsecondary,zh-CN,教师、高等教育页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“教师、高等教育适不适合我”的候选搜索摘要。,what-is,true,false
art-drama-and-music-teachers-postsecondary,en,"Art, Drama, And Music Teachers, Postsecondary covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
artillery-and-missile-crew-members,zh-CN,火炮导弹成员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“火炮导弹成员适不适合我”的候选搜索摘要。,what-is,true,false
artillery-and-missile-crew-members,en,"Artillery And Missile Crew Members covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
artillery-and-missile-officers,zh-CN,火炮导弹官页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“火炮导弹官适不适合我”的候选搜索摘要。,what-is,true,false
artillery-and-missile-officers,en,"Artillery And Missile Officers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
assemblers-and-fabricators,zh-CN,团队装配工页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“团队装配工适不适合我”的候选搜索摘要。,what-is,true,false
assemblers-and-fabricators,en,"Team Assemblers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
astronomers,zh-CN,其他职业页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“其他职业适不适合我”的候选搜索摘要。,what-is,true,false
astronomers,en,"Astronomers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
athletes-and-sports-competitors,zh-CN,运动员与体育竞赛选手页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“运动员与体育竞赛选手适不适合我”的候选搜索摘要。,what-is,true,false
athletes-and-sports-competitors,en,"Athletes And Sports Competitors covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
athletic-trainers,zh-CN,运动训练师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“运动训练师适不适合我”的候选搜索摘要。,what-is,true,false
athletic-trainers,en,"Athletic Trainers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
atmospheric-and-space-scientists,zh-CN,大气与空间科学家页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“大气与空间科学家适不适合我”的候选搜索摘要。,what-is,true,false
atmospheric-and-space-scientists,en,"Atmospheric And Space Scientists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
atmospheric-scientists-including-meteorologists,zh-CN,大气科学家（含气象学家）页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“大气科学家（含气象学家）适不适合我”的候选搜索摘要。,what-is,true,false
atmospheric-scientists-including-meteorologists,en,"Atmospheric Scientists, Including Meteorologists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,zh-CN,土方、船舶、教师、高等教育页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“土方、船舶、教师、高等教育适不适合我”的候选搜索摘要。,what-is,true,false
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,en,"Atmospheric, Earth, Marine, And Space Sciences Teachers, Postsecondary covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
audio-and-video-technicians,zh-CN,音频视频技术员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“音频视频技术员适不适合我”的候选搜索摘要。,what-is,true,false
audio-and-video-technicians,en,"Audio And Video Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
audiologists,zh-CN,听力学家页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“听力学家适不适合我”的候选搜索摘要。,what-is,true,false
audiologists,en,"Audiologists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
audiovisual-equipment-installers-and-repairers,zh-CN,设备安装工页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“设备安装工适不适合我”的候选搜索摘要。,what-is,true,false
audiovisual-equipment-installers-and-repairers,en,"Audiovisual Equipment Installers And Repairers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
automotive-and-watercraft-service-attendants,zh-CN,汽车与船艇服务员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“汽车与船艇服务员适不适合我”的候选搜索摘要。,what-is,true,false
automotive-and-watercraft-service-attendants,en,"Automotive And Watercraft Service Attendants covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
automotive-body-and-glass-repairers,zh-CN,汽车车身及相关维修工适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“汽车车身及相关维修工适合谁？适不适合我”的候选搜索摘要。,what-is,true,false
automotive-body-and-glass-repairers,en,"Automotive Body and Related Repairers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
automotive-engineering-technicians,zh-CN,技术员工程页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“技术员工程适不适合我”的候选搜索摘要。,what-is,true,false
automotive-engineering-technicians,en,"Automotive Engineering Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",what-is,true,false
automotive-engineers,zh-CN,工程师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“工程师适不适合我”的候选搜索摘要。,what-is,true,false
