slug,locale,primary_query_intent,secondary_query_intents,snippet_candidate,faq_candidates,internal_link_anchor_candidates,candidate_only,runtime_approved,validation_findings
administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,what-is,,行政法官、官页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“行政法官、官适不适合我”的候选搜索摘要。,行政法官、官主要做什么？|行政法官、官需要哪些技能和准备？|行政法官、官在 AI 时代哪些工作更容易被加速？,行政法官、官职业介绍|行政法官、官技能与入行路径|行政法官、官AI 影响与职业匹配,true,false,
administrative-law-judges-adjudicators-and-hearing-officers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Administrative Law Judges, Adjudicators, And Hearing Officers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.","What does a Administrative Law Judges, Adjudicators, And Hearing Officers do?|What skills and preparation matter for Administrative Law Judges, Adjudicators, And Hearing Officers?|How does AI affect Administrative Law Judges, Adjudicators, And Hearing Officers work?","Administrative Law Judges, Adjudicators, And Hearing Officers career overview|Administrative Law Judges, Adjudicators, And Hearing Officers skills and entry path|Administrative Law Judges, Adjudicators, And Hearing Officers AI impact and fit",true,false,
administrative-services-managers,zh-CN,what-is,,行政服务经理页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“行政服务经理适不适合我”的候选搜索摘要。,行政服务经理主要做什么？|行政服务经理需要哪些技能和准备？|行政服务经理在 AI 时代哪些工作更容易被加速？,行政服务经理职业介绍|行政服务经理技能与入行路径|行政服务经理AI 影响与职业匹配,true,false,
administrative-services-managers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Administrative Services Managers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Administrative Services Managers do?|What skills and preparation matter for Administrative Services Managers?|How does AI affect Administrative Services Managers work?,Administrative Services Managers career overview|Administrative Services Managers skills and entry path|Administrative Services Managers AI impact and fit,true,false,
adult-literacy-and-ged-teachers,zh-CN,what-is,,成人基础与中等教育及ESL教师适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“成人基础与中等教育及ESL教师适合谁？适不适合我”的候选搜索摘要。,成人基础与中等教育及ESL教师适合谁？主要做什么？|成人基础与中等教育及ESL教师适合谁？需要哪些技能和准备？|成人基础与中等教育及ESL教师适合谁？在 AI 时代哪些工作更容易被加速？,成人基础与中等教育及ESL教师适合谁？职业介绍|成人基础与中等教育及ESL教师适合谁？技能与入行路径|成人基础与中等教育及ESL教师适合谁？AI 影响与职业匹配,true,false,
adult-literacy-and-ged-teachers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Adult Basic and Secondary Education and ESL Teachers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Adult Basic and Secondary Education and ESL Teachers do?|What skills and preparation matter for Adult Basic and Secondary Education and ESL Teachers?|How does AI affect Adult Basic and Secondary Education and ESL Teachers work?,Adult Basic and Secondary Education and ESL Teachers career overview|Adult Basic and Secondary Education and ESL Teachers skills and entry path|Adult Basic and Secondary Education and ESL Teachers AI impact and fit,true,false,
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,成人基础教育、成人中等教育、英语作为第二语言页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“成人基础教育、成人中等教育、英语作为第二语言适不适合我”的候选搜索摘要。,成人基础教育、成人中等教育、英语作为第二语言主要做什么？|成人基础教育、成人中等教育、英语作为第二语言需要哪些技能和准备？|成人基础教育、成人中等教育、英语作为第二语言在 AI 时代哪些工作更容易被加速？,成人基础教育、成人中等教育、英语作为第二语言职业介绍|成人基础教育、成人中等教育、英语作为第二语言技能与入行路径|成人基础教育、成人中等教育、英语作为第二语言AI 影响与职业匹配,true,false,
adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.","What does a Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors do?|What skills and preparation matter for Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors?|How does AI affect Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors work?","Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors career overview|Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors skills and entry path|Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors AI impact and fit",true,false,
advanced-practice-psychiatric-nurses,zh-CN,what-is,,精神科护士页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“精神科护士适不适合我”的候选搜索摘要。,精神科护士主要做什么？|精神科护士需要哪些技能和准备？|精神科护士在 AI 时代哪些工作更容易被加速？,精神科护士职业介绍|精神科护士技能与入行路径|精神科护士AI 影响与职业匹配,true,false,
advanced-practice-psychiatric-nurses,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Advanced Practice Psychiatric Nurses covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Advanced Practice Psychiatric Nurses do?|What skills and preparation matter for Advanced Practice Psychiatric Nurses?|How does AI affect Advanced Practice Psychiatric Nurses work?,Advanced Practice Psychiatric Nurses career overview|Advanced Practice Psychiatric Nurses skills and entry path|Advanced Practice Psychiatric Nurses AI impact and fit,true,false,
advertising-and-promotions-managers,zh-CN,what-is,,广告与促销经理页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“广告与促销经理适不适合我”的候选搜索摘要。,广告与促销经理主要做什么？|广告与促销经理需要哪些技能和准备？|广告与促销经理在 AI 时代哪些工作更容易被加速？,广告与促销经理职业介绍|广告与促销经理技能与入行路径|广告与促销经理AI 影响与职业匹配,true,false,
advertising-and-promotions-managers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Advertising And Promotions Managers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Advertising And Promotions Managers do?|What skills and preparation matter for Advertising And Promotions Managers?|How does AI affect Advertising And Promotions Managers work?,Advertising And Promotions Managers career overview|Advertising And Promotions Managers skills and entry path|Advertising And Promotions Managers AI impact and fit,true,false,
advertising-sales-agents,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,广告销售代表适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“广告销售代表适合谁？适不适合我”的候选搜索摘要。,广告销售代表适合谁？主要做什么？|广告销售代表适合谁？需要哪些技能和准备？|广告销售代表适合谁？在 AI 时代哪些工作更容易被加速？,广告销售代表适合谁？职业介绍|广告销售代表适合谁？技能与入行路径|广告销售代表适合谁？AI 影响与职业匹配,true,false,
advertising-sales-agents,en,what-is,,"Advertising Sales Agents covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Advertising Sales Agents do?|What skills and preparation matter for Advertising Sales Agents?|How does AI affect Advertising Sales Agents work?,Advertising Sales Agents career overview|Advertising Sales Agents skills and entry path|Advertising Sales Agents AI impact and fit,true,false,
advertising-promotions-and-marketing-managers,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,广告、促销与市场经理适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“广告、促销与市场经理适合谁？适不适合我”的候选搜索摘要。,广告、促销与市场经理适合谁？主要做什么？|广告、促销与市场经理适合谁？需要哪些技能和准备？|广告、促销与市场经理适合谁？在 AI 时代哪些工作更容易被加速？,广告、促销与市场经理适合谁？职业介绍|广告、促销与市场经理适合谁？技能与入行路径|广告、促销与市场经理适合谁？AI 影响与职业匹配,true,false,
advertising-promotions-and-marketing-managers,en,what-is,,"Advertising, Promotions, and Marketing Managers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.","What does a Advertising, Promotions, and Marketing Managers do?|What skills and preparation matter for Advertising, Promotions, and Marketing Managers?|How does AI affect Advertising, Promotions, and Marketing Managers work?","Advertising, Promotions, and Marketing Managers career overview|Advertising, Promotions, and Marketing Managers skills and entry path|Advertising, Promotions, and Marketing Managers AI impact and fit",true,false,
aerospace-engineering-and-operations-technicians,zh-CN,what-is,,航空航天工程与运营技术员适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“航空航天工程与运营技术员适合谁？适不适合我”的候选搜索摘要。,航空航天工程与运营技术员适合谁？主要做什么？|航空航天工程与运营技术员适合谁？需要哪些技能和准备？|航空航天工程与运营技术员适合谁？在 AI 时代哪些工作更容易被加速？,航空航天工程与运营技术员适合谁？职业介绍|航空航天工程与运营技术员适合谁？技能与入行路径|航空航天工程与运营技术员适合谁？AI 影响与职业匹配,true,false,
aerospace-engineering-and-operations-technicians,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Aerospace Engineering and Operations Technologists and Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Aerospace Engineering and Operations Technologists and Technicians do?|What skills and preparation matter for Aerospace Engineering and Operations Technologists and Technicians?|How does AI affect Aerospace Engineering and Operations Technologists and Technicians work?,Aerospace Engineering and Operations Technologists and Technicians career overview|Aerospace Engineering and Operations Technologists and Technicians skills and entry path|Aerospace Engineering and Operations Technologists and Technicians AI impact and fit,true,false,
aerospace-engineers,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,航空航天工程师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“航空航天工程师适不适合我”的候选搜索摘要。,航空航天工程师主要做什么？|航空航天工程师需要哪些技能和准备？|航空航天工程师在 AI 时代哪些工作更容易被加速？,航空航天工程师职业介绍|航空航天工程师技能与入行路径|航空航天工程师AI 影响与职业匹配,true,false,
aerospace-engineers,en,what-is,,"Aerospace Engineers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Aerospace Engineers do?|What skills and preparation matter for Aerospace Engineers?|How does AI affect Aerospace Engineers work?,Aerospace Engineers career overview|Aerospace Engineers skills and entry path|Aerospace Engineers AI impact and fit,true,false,
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,what-is,,经理商业页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“经理商业适不适合我”的候选搜索摘要。,经理商业主要做什么？|经理商业需要哪些技能和准备？|经理商业在 AI 时代哪些工作更容易被加速？,经理商业职业介绍|经理商业技能与入行路径|经理商业AI 影响与职业匹配,true,false,
agents-and-business-managers-of-artists-performers-and-athletes,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Agents And Business Managers Of Artists, Performers, And Athletes covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.","What does a Agents And Business Managers Of Artists, Performers, And Athletes do?|What skills and preparation matter for Agents And Business Managers Of Artists, Performers, And Athletes?|How does AI affect Agents And Business Managers Of Artists, Performers, And Athletes work?","Agents And Business Managers Of Artists, Performers, And Athletes career overview|Agents And Business Managers Of Artists, Performers, And Athletes skills and entry path|Agents And Business Managers Of Artists, Performers, And Athletes AI impact and fit",true,false,
agricultural-and-food-science-technicians,zh-CN,what-is,,农业与食品科学技术员适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业与食品科学技术员适合谁？适不适合我”的候选搜索摘要。,农业与食品科学技术员适合谁？主要做什么？|农业与食品科学技术员适合谁？需要哪些技能和准备？|农业与食品科学技术员适合谁？在 AI 时代哪些工作更容易被加速？,农业与食品科学技术员适合谁？职业介绍|农业与食品科学技术员适合谁？技能与入行路径|农业与食品科学技术员适合谁？AI 影响与职业匹配,true,false,
agricultural-and-food-science-technicians,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Agricultural and Food Science Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Agricultural and Food Science Technicians do?|What skills and preparation matter for Agricultural and Food Science Technicians?|How does AI affect Agricultural and Food Science Technicians work?,Agricultural and Food Science Technicians career overview|Agricultural and Food Science Technicians skills and entry path|Agricultural and Food Science Technicians AI impact and fit,true,false,
agricultural-and-food-scientists,zh-CN,what-is,,农业与食品科学家页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业与食品科学家适不适合我”的候选搜索摘要。,农业与食品科学家主要做什么？|农业与食品科学家需要哪些技能和准备？|农业与食品科学家在 AI 时代哪些工作更容易被加速？,农业与食品科学家职业介绍|农业与食品科学家技能与入行路径|农业与食品科学家AI 影响与职业匹配,true,false,
agricultural-and-food-scientists,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Agricultural And Food Scientists covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Agricultural And Food Scientists do?|What skills and preparation matter for Agricultural And Food Scientists?|How does AI affect Agricultural And Food Scientists work?,Agricultural And Food Scientists career overview|Agricultural And Food Scientists skills and entry path|Agricultural And Food Scientists AI impact and fit,true,false,
agricultural-engineers,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,农业工程师适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业工程师适合谁？适不适合我”的候选搜索摘要。,农业工程师适合谁？主要做什么？|农业工程师适合谁？需要哪些技能和准备？|农业工程师适合谁？在 AI 时代哪些工作更容易被加速？,农业工程师适合谁？职业介绍|农业工程师适合谁？技能与入行路径|农业工程师适合谁？AI 影响与职业匹配,true,false,
agricultural-engineers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Agricultural Engineers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Agricultural Engineers do?|What skills and preparation matter for Agricultural Engineers?|How does AI affect Agricultural Engineers work?,Agricultural Engineers career overview|Agricultural Engineers skills and entry path|Agricultural Engineers AI impact and fit,true,false,
agricultural-equipment-operators,zh-CN,what-is,,农业操作员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业操作员适不适合我”的候选搜索摘要。,农业操作员主要做什么？|农业操作员需要哪些技能和准备？|农业操作员在 AI 时代哪些工作更容易被加速？,农业操作员职业介绍|农业操作员技能与入行路径|农业操作员AI 影响与职业匹配,true,false,
agricultural-equipment-operators,en,what-is,,"Agricultural Equipment Operators covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Agricultural Equipment Operators do?|What skills and preparation matter for Agricultural Equipment Operators?|How does AI affect Agricultural Equipment Operators work?,Agricultural Equipment Operators career overview|Agricultural Equipment Operators skills and entry path|Agricultural Equipment Operators AI impact and fit,true,false,
agricultural-inspectors,zh-CN,what-is,,农业检查员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业检查员适不适合我”的候选搜索摘要。,农业检查员主要做什么？|农业检查员需要哪些技能和准备？|农业检查员在 AI 时代哪些工作更容易被加速？,农业检查员职业介绍|农业检查员技能与入行路径|农业检查员AI 影响与职业匹配,true,false,
agricultural-inspectors,en,what-is,,"Agricultural Inspectors covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Agricultural Inspectors do?|What skills and preparation matter for Agricultural Inspectors?|How does AI affect Agricultural Inspectors work?,Agricultural Inspectors career overview|Agricultural Inspectors skills and entry path|Agricultural Inspectors AI impact and fit,true,false,
agricultural-sciences-teachers-postsecondary,zh-CN,what-is,,农业教师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业教师适不适合我”的候选搜索摘要。,农业教师主要做什么？|农业教师需要哪些技能和准备？|农业教师在 AI 时代哪些工作更容易被加速？,农业教师职业介绍|农业教师技能与入行路径|农业教师AI 影响与职业匹配,true,false,
agricultural-sciences-teachers-postsecondary,en,what-is,,"Agricultural Sciences Teachers, Postsecondary covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.","What does a Agricultural Sciences Teachers, Postsecondary do?|What skills and preparation matter for Agricultural Sciences Teachers, Postsecondary?|How does AI affect Agricultural Sciences Teachers, Postsecondary work?","Agricultural Sciences Teachers, Postsecondary career overview|Agricultural Sciences Teachers, Postsecondary skills and entry path|Agricultural Sciences Teachers, Postsecondary AI impact and fit",true,false,
agricultural-technicians,zh-CN,what-is,,农业技术员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业技术员适不适合我”的候选搜索摘要。,农业技术员主要做什么？|农业技术员需要哪些技能和准备？|农业技术员在 AI 时代哪些工作更容易被加速？,农业技术员职业介绍|农业技术员技能与入行路径|农业技术员AI 影响与职业匹配,true,false,
agricultural-technicians,en,what-is,,"Agricultural Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Agricultural Technicians do?|What skills and preparation matter for Agricultural Technicians?|How does AI affect Agricultural Technicians work?,Agricultural Technicians career overview|Agricultural Technicians skills and entry path|Agricultural Technicians AI impact and fit,true,false,
agricultural-workers,zh-CN,what-is,,农业从业人员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业从业人员适不适合我”的候选搜索摘要。,农业从业人员主要做什么？|农业从业人员需要哪些技能和准备？|农业从业人员在 AI 时代哪些工作更容易被加速？,农业从业人员职业介绍|农业从业人员技能与入行路径|农业从业人员AI 影响与职业匹配,true,false,
agricultural-workers,en,what-is,,"Agricultural Workers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Agricultural Workers do?|What skills and preparation matter for Agricultural Workers?|How does AI affect Agricultural Workers work?,Agricultural Workers career overview|Agricultural Workers skills and entry path|Agricultural Workers AI impact and fit,true,false,
air-crew-members,zh-CN,what-is,,机组成员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“机组成员适不适合我”的候选搜索摘要。,机组成员主要做什么？|机组成员需要哪些技能和准备？|机组成员在 AI 时代哪些工作更容易被加速？,机组成员职业介绍|机组成员技能与入行路径|机组成员AI 影响与职业匹配,true,false,
air-crew-members,en,what-is,,"Air Crew Members covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Air Crew Members do?|What skills and preparation matter for Air Crew Members?|How does AI affect Air Crew Members work?,Air Crew Members career overview|Air Crew Members skills and entry path|Air Crew Members AI impact and fit,true,false,
air-crew-officers,zh-CN,what-is,,空勤军官页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“空勤军官适不适合我”的候选搜索摘要。,空勤军官主要做什么？|空勤军官需要哪些技能和准备？|空勤军官在 AI 时代哪些工作更容易被加速？,空勤军官职业介绍|空勤军官技能与入行路径|空勤军官AI 影响与职业匹配,true,false,
air-crew-officers,en,what-is,,"Air Crew Officers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Air Crew Officers do?|What skills and preparation matter for Air Crew Officers?|How does AI affect Air Crew Officers work?,Air Crew Officers career overview|Air Crew Officers skills and entry path|Air Crew Officers AI impact and fit,true,false,
air-traffic-controllers,zh-CN,what-is,,空中交通管制员职业诊断页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“空中交通管制员职业诊断适不适合我”的候选搜索摘要。,空中交通管制员职业诊断主要做什么？|空中交通管制员职业诊断需要哪些技能和准备？|空中交通管制员职业诊断在 AI 时代哪些工作更容易被加速？,空中交通管制员职业诊断职业介绍|空中交通管制员职业诊断技能与入行路径|空中交通管制员职业诊断AI 影响与职业匹配,true,false,
air-traffic-controllers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Air Traffic Controllers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Air Traffic Controllers do?|What skills and preparation matter for Air Traffic Controllers?|How does AI affect Air Traffic Controllers work?,Air Traffic Controllers career overview|Air Traffic Controllers skills and entry path|Air Traffic Controllers AI impact and fit,true,false,
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,what-is,,飞机与航空电子设备维修技师适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“飞机与航空电子设备维修技师适合谁？适不适合我”的候选搜索摘要。,飞机与航空电子设备维修技师适合谁？主要做什么？|飞机与航空电子设备维修技师适合谁？需要哪些技能和准备？|飞机与航空电子设备维修技师适合谁？在 AI 时代哪些工作更容易被加速？,飞机与航空电子设备维修技师适合谁？职业介绍|飞机与航空电子设备维修技师适合谁？技能与入行路径|飞机与航空电子设备维修技师适合谁？AI 影响与职业匹配,true,false,
aircraft-and-avionics-equipment-mechanics-and-technicians,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Aircraft and Avionics Equipment Mechanics and Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Aircraft and Avionics Equipment Mechanics and Technicians do?|What skills and preparation matter for Aircraft and Avionics Equipment Mechanics and Technicians?|How does AI affect Aircraft and Avionics Equipment Mechanics and Technicians work?,Aircraft and Avionics Equipment Mechanics and Technicians career overview|Aircraft and Avionics Equipment Mechanics and Technicians skills and entry path|Aircraft and Avionics Equipment Mechanics and Technicians AI impact and fit,true,false,
aircraft-cargo-handling-supervisors,zh-CN,what-is,,飞机货物装卸主管页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“飞机货物装卸主管适不适合我”的候选搜索摘要。,飞机货物装卸主管主要做什么？|飞机货物装卸主管需要哪些技能和准备？|飞机货物装卸主管在 AI 时代哪些工作更容易被加速？,飞机货物装卸主管职业介绍|飞机货物装卸主管技能与入行路径|飞机货物装卸主管AI 影响与职业匹配,true,false,
aircraft-cargo-handling-supervisors,en,what-is,,"Aircraft Cargo Handling Supervisors covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.",What does a Aircraft Cargo Handling Supervisors do?|What skills and preparation matter for Aircraft Cargo Handling Supervisors?|How does AI affect Aircraft Cargo Handling Supervisors work?,Aircraft Cargo Handling Supervisors career overview|Aircraft Cargo Handling Supervisors skills and entry path|Aircraft Cargo Handling Supervisors AI impact and fit,true,false,
aircraft-launch-and-recovery-officers,zh-CN,what-is,,飞机官页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“飞机官适不适合我”的候选搜索摘要。,飞机官主要做什么？|飞机官需要哪些技能和准备？|飞机官在 AI 时代哪些工作更容易被加速？,飞机官职业介绍|飞机官技能与入行路径|飞机官AI 影响与职业匹配,true,false,
