repo,number,title,merged_date,merge_commit_short,url
fap-api,2110,Career salary 1046 production import readiness runbook,2026-06-17,cc95a2805bf1,https://github.com/fermatmind/fap-api/pull/2110
fap-api,2111,Career salary 1046 production import ops gate,2026-06-18,9f9943dc84f7,https://github.com/fermatmind/fap-api/pull/2111
fap-api,2128,Add AI Impact asset preview contract,2026-06-19,e2b2ea22a331,https://github.com/fermatmind/fap-api/pull/2128
fap-api,2130,Add AI Impact staging preview write support,2026-06-19,aec4e8ee7b13,https://github.com/fermatmind/fap-api/pull/2130
fap-api,2132,Sanitize AI Impact preview projection,2026-06-19,2fe2c8da251a,https://github.com/fermatmind/fap-api/pull/2132
fap-api,2134,AI Impact v5 1046 dry-run importer report,2026-06-19,38bd4ffd9443,https://github.com/fermatmind/fap-api/pull/2134
fap-api,2135,Enable full AI Impact staging preview contract,2026-06-19,db25ab4b6736,https://github.com/fermatmind/fap-api/pull/2135
fap-api,2137,Fix AI impact preview locale fail-closed,2026-06-19,c5de88c49e9a,https://github.com/fermatmind/fap-api/pull/2137
fap-api,2142,Add AI Impact v5 approved transition gate,2026-06-20,1a729e01d39e,https://github.com/fermatmind/fap-api/pull/2142
fap-api,2144,Enable AI Impact v5 production import ops gate,2026-06-20,e1b1cf2c72d7,https://github.com/fermatmind/fap-api/pull/2144
fap-api,2146,Fix AI Impact production reader projection,2026-06-20,dca3f04260db,https://github.com/fermatmind/fap-api/pull/2146
fap-api,2148,Record AI Impact v5 production import ops report,2026-06-20,0b20f39e407c,https://github.com/fermatmind/fap-api/pull/2148
fap-api,2245,Add career page assembly staging preview importer,2026-06-21,bf665575e1e9,https://github.com/fermatmind/fap-api/pull/2245
fap-api,2262,Fix AI impact boundary projection wording,2026-06-22,4a7adeee1813,https://github.com/fermatmind/fap-api/pull/2262
fap-api,2323,Enable AI Impact preview detail shell fallback,2026-06-22,aa0a96a79762,https://github.com/fermatmind/fap-api/pull/2323
fap-api,2344,Fix AI Impact preview projection wording,2026-06-22,20db67e1da9e,https://github.com/fermatmind/fap-api/pull/2344
fap-api,2348,Repair wind AI impact preview projection,2026-06-23,e84a7e78aefb,https://github.com/fermatmind/fap-api/pull/2348
fap-api,2365,Fix career content staging preview projection leaks,2026-06-23,853f0f2a6de1,https://github.com/fermatmind/fap-api/pull/2365
fap-api,2366,Fix remaining career AI Impact projection context leaks,2026-06-23,00c20dc8869d,https://github.com/fermatmind/fap-api/pull/2366
fap-api,2368,Add page assembly approved transition gate,2026-06-23,2eda84de3907,https://github.com/fermatmind/fap-api/pull/2368
fap-api,2370,Add page assembly production import gate,2026-06-23,43fd32d46386,https://github.com/fermatmind/fap-api/pull/2370
fap-api,2372,Add career content production readiness dry-run workflow,2026-06-24,4885444b1a89,https://github.com/fermatmind/fap-api/pull/2372
fap-api,2373,Add AI Impact production import dry-run gate,2026-06-24,4c0011688e31,https://github.com/fermatmind/fap-api/pull/2373
fap-api,2376,Add career content production import workflow,2026-06-24,6b8956facd50,https://github.com/fermatmind/fap-api/pull/2376
fap-api,2378,Allow staging artifact transfer for career production import,2026-06-24,31e23f01c296,https://github.com/fermatmind/fap-api/pull/2378
fap-api,2379,Stage approved rows before career content production import,2026-06-24,5a58cdfa5a30,https://github.com/fermatmind/fap-api/pull/2379
fap-api,2380,Run full state machine before career content production import,2026-06-24,751a273550e4,https://github.com/fermatmind/fap-api/pull/2380
fap-api,2381,Make career content production import workflow retry-safe,2026-06-24,427447409ab7,https://github.com/fermatmind/fap-api/pull/2381
fap-api,2382,Sanitize career detail source refs,2026-06-24,b645278de987,https://github.com/fermatmind/fap-api/pull/2382
fap-api,2387,Sanitize career detail source lineage payload,2026-06-24,e773650a75ec,https://github.com/fermatmind/fap-api/pull/2387
fap-api,2391,Sanitize career detail raw enum projection,2026-06-24,0f92307a0ba7,https://github.com/fermatmind/fap-api/pull/2391
