batch_index,seed_ordinal,slug,title_en,title_zh_seed,soc_code_seed,onet_code_seed,batch_role,expected_locales
20,47,animal-caretakers,Animal Caretakers,动物照护员,39-2021,39-2021.00,control_200,zh-CN|en
21,57,architects-except-landscape-and-naval,"Architects, Except Landscape And Naval",建筑师、景观船舶,17-1011,17-1011.00,control_200,zh-CN|en
22,39,airline-pilots-copilots-and-flight-engineers,"Airline Pilots, Copilots, And Flight Engineers",工程师,53-2011,53-2011.00,control_200,zh-CN|en
23,29,air-traffic-controllers,Air Traffic Controllers,空中交通管制员职业诊断,53-2021,53-2021.00,control_200,zh-CN|en
24,669,music-therapists,Music Therapists,治疗师,29-1129,29-1129.02,control_200,zh-CN|en
25,955,surgical-technologists,Surgical Technologists,技术专家,29-2055,29-2055.00,control_200,zh-CN|en
26,163,civil-engineers,Civil engineers,土木工程师职业诊断,17-2051,17-2051.00,control_200,zh-CN|en
27,621,mechanical-engineers,Mechanical engineers,机械工程师,,,control_200,zh-CN|en
28,311,elementary-school-teachers-except-special-education,"Elementary School Teachers, Except Special Education",教育教师,25-2021,25-2021.00,control_200,zh-CN|en
29,880,sales-representatives-wholesale-and-manufacturing-except-technical-and-scientific-products,"Sales Representatives, Wholesale And Manufacturing, Except Technical And Scientific Products",销售代表、批发制造、产品,41-4012,41-4012.00,control_200,zh-CN|en
30,148,chefs-and-head-cooks,Chefs and head cooks,主厨与厨师长适合谁？,35-1011,35-1011.00,control_200,zh-CN|en
31,3,actuaries,Actuaries,精算师职业诊断,15-2011,15-2011.00,control_200,zh-CN|en
32,4,acupuncturists,Acupuncturists,针灸师,29-1291,29-1291.00,control_200,zh-CN|en
33,5,acute-care-nurses,Acute Care Nurses,急症护理护士,29-1141,29-1141.01,control_200,zh-CN|en
34,6,adapted-physical-education-specialists,Adapted Physical Education Specialists,专家教育,25-2059,25-2059.01,control_200,zh-CN|en
35,7,adhesive-bonding-machine-operators-and-tenders,Adhesive Bonding Machine Operators And Tenders,机器操作员看护员,51-9191,51-9191.00,control_200,zh-CN|en
36,8,administrative-law-judges-adjudicators-and-hearing-officers,"Administrative Law Judges, Adjudicators, And Hearing Officers",行政法官、官,23-1021,23-1021.00,control_200,zh-CN|en
37,10,adult-literacy-and-ged-teachers,Adult Basic and Secondary Education and ESL Teachers,成人基础与中等教育及ESL教师适合谁？,25-3011,25-3011.00,control_200,zh-CN|en
38,11,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,"Adult Basic Education, Adult Secondary Education, And English As A Second Language Instructors",成人基础教育、成人中等教育、英语作为第二语言,25-3011,25-3011.00,control_200,zh-CN|en
39,12,advanced-practice-psychiatric-nurses,Advanced Practice Psychiatric Nurses,精神科护士,29-1141,29-1141.02,control_200,zh-CN|en
40,13,advertising-and-promotions-managers,Advertising And Promotions Managers,广告与促销经理,11-2011,11-2011.00,control_200,zh-CN|en
41,15,advertising-promotions-and-marketing-managers,"Advertising, Promotions, and Marketing Managers",广告、促销与市场经理适合谁？,11-2021,11-2021.00,control_200,zh-CN|en
42,16,aerospace-engineering-and-operations-technicians,Aerospace Engineering and Operations Technologists and Technicians,航空航天工程与运营技术员适合谁？,17-3021,17-3021.00,control_200,zh-CN|en
43,18,agents-and-business-managers-of-artists-performers-and-athletes,"Agents And Business Managers Of Artists, Performers, And Athletes",经理商业,13-1011,13-1011.00,control_200,zh-CN|en
44,19,agricultural-and-food-science-technicians,Agricultural and Food Science Technicians,农业与食品科学技术员适合谁？,19-4012,19-4012.00,control_200,zh-CN|en
45,20,agricultural-and-food-scientists,Agricultural And Food Scientists,农业与食品科学家,19-1012,19-1012.00,control_200,zh-CN|en
46,22,agricultural-equipment-operators,Agricultural Equipment Operators,农业操作员,45-2091,45-2091.00,control_200,zh-CN|en
47,23,agricultural-inspectors,Agricultural Inspectors,农业检查员,45-2011,45-2011.00,control_200,zh-CN|en
48,24,agricultural-sciences-teachers-postsecondary,"Agricultural Sciences Teachers, Postsecondary",农业教师,25-1041,25-1041.00,control_200,zh-CN|en
49,25,agricultural-technicians,Agricultural Technicians,农业技术员,19-4012,19-4012.00,control_200,zh-CN|en
50,27,air-crew-members,Air Crew Members,机组成员,55-3011,55-3011.00,control_200,zh-CN|en
51,28,air-crew-officers,Air Crew Officers,空勤军官,55-1011,55-1011.00,control_200,zh-CN|en
52,30,aircraft-and-avionics-equipment-mechanics-and-technicians,Aircraft and Avionics Equipment Mechanics and Technicians,飞机与航空电子设备维修技师适合谁？,49-3011,49-3011.00,control_200,zh-CN|en
53,31,aircraft-cargo-handling-supervisors,Aircraft Cargo Handling Supervisors,飞机货物装卸主管,53-1041,53-1041.00,control_200,zh-CN|en
54,32,aircraft-launch-and-recovery-officers,Aircraft Launch And Recovery Officers,飞机官,55-1012,55-1012.00,control_200,zh-CN|en
55,33,aircraft-launch-and-recovery-specialists,Aircraft Launch And Recovery Specialists,飞机专员,55-3012,55-3012.00,control_200,zh-CN|en
56,35,aircraft-service-attendants,Aircraft Service Attendants,飞机服务服务员,53-6032,53-6032.00,control_200,zh-CN|en
57,36,aircraft-structure-surfaces-rigging-and-systems-assemblers,"Aircraft Structure, Surfaces, Rigging, And Systems Assemblers",飞机结构、表面、索具、系统装配工,51-2011,51-2011.00,control_200,zh-CN|en
58,37,airfield-operations-specialists,Airfield Operations Specialists,机场运行专员,53-2022,53-2022.00,control_200,zh-CN|en
59,38,airline-and-commercial-pilots,Airline and Commercial Pilots,航空公司与商业飞行员职业诊断,53-2011,53-2011.00,control_200,zh-CN|en
60,40,allergists-and-immunologists,Allergists And Immunologists,过敏专科医师免疫学医师,29-1229,29-1229.01,control_200,zh-CN|en
61,41,ambulance-drivers-and-attendants-except-emergency-medical-technicians,"Ambulance Drivers And Attendants, Except Emergency Medical Technicians",救护车司机服务员、急诊医疗技术员,53-3011,53-3011.00,control_200,zh-CN|en
62,42,amusement-and-recreation-attendants,Amusement And Recreation Attendants,娱乐与休闲服务员,39-3091,39-3091.00,control_200,zh-CN|en
63,43,anesthesiologist-assistants,Anesthesiologist Assistants,麻醉医师助理,29-1071,29-1071.01,control_200,zh-CN|en
64,45,animal-breeders,Animal Breeders,动物饲养员,45-2021,45-2021.00,control_200,zh-CN|en
65,46,animal-care-and-service-workers,Animal Care and Service Workers,动物照护与服务人员适合谁？,39-2021,39-2021.00,control_200,zh-CN|en
66,48,animal-control-workers,Animal Control Workers,动物工人,33-9011,33-9011.00,control_200,zh-CN|en
67,49,animal-scientists,Animal Scientists,动物科学家,19-1011,19-1011.00,control_200,zh-CN|en
68,50,animal-trainers,Animal Trainers,动物训练师,39-2011,39-2011.00,control_200,zh-CN|en
69,51,announcers,Broadcast Announcers And Radio Disc Jockeys,广播主持人与电台DJ,27-3011,27-3011.00,control_200,zh-CN|en
70,52,anthropologists-and-archeologists,Anthropologists And Archeologists,人类学家与考古学家,19-3091,19-3091.00,control_200,zh-CN|en
71,53,anthropology-and-archeology-teachers-postsecondary,"Anthropology And Archeology Teachers, Postsecondary",教师、高等教育,25-1061,25-1061.00,control_200,zh-CN|en
72,54,appraisers-of-personal-and-business-property,Appraisers Of Personal And Business Property,个人与商业财产评估师,13-2022,13-2022.00,control_200,zh-CN|en
73,55,arbitrators-mediators-and-conciliators,"Arbitrators, Mediators, And Conciliators",仲裁员、调解员与和解员,23-1022,23-1022.00,control_200,zh-CN|en
74,56,architects,"Architects, Except Landscape and Naval",建筑师（不含景观与船舶）职业诊断,17-1011,17-1011.00,control_200,zh-CN|en
75,58,architectural-and-civil-drafters,Architectural And Civil Drafters,建筑土木制图员,17-3011,17-3011.00,control_200,zh-CN|en
76,59,architectural-and-engineering-managers,Architectural and engineering managers,建筑与工程经理职业诊断,11-9041,11-9041.00,control_200,zh-CN|en
77,60,architecture-teachers-postsecondary,"Architecture Teachers, Postsecondary",建筑教师,25-1031,25-1031.00,control_200,zh-CN|en
78,61,archivists,Archivists,档案管理员,25-4011,25-4011.00,control_200,zh-CN|en
79,62,curators-museum-technicians-and-conservators,Curators,策展人,25-4012,25-4012.00,control_200,zh-CN|en
80,63,area-ethnic-and-cultural-studies-teachers-postsecondary,"Area, Ethnic, And Cultural Studies Teachers, Postsecondary",教师、高等教育,25-1062,25-1062.00,control_200,zh-CN|en
81,64,armored-assault-vehicle-crew-members,Armored Assault Vehicle Crew Members,装甲突击车辆成员,55-3013,55-3013.00,control_200,zh-CN|en
82,65,armored-assault-vehicle-officers,Armored Assault Vehicle Officers,装甲突击车辆官,55-1013,55-1013.00,control_200,zh-CN|en
83,67,art-therapists,Art Therapists,治疗师,29-1129,29-1129.01,control_200,zh-CN|en
84,68,art-drama-and-music-teachers-postsecondary,"Art, Drama, And Music Teachers, Postsecondary",教师、高等教育,25-1121,25-1121.00,control_200,zh-CN|en
85,69,artillery-and-missile-crew-members,Artillery And Missile Crew Members,火炮导弹成员,55-3014,55-3014.00,control_200,zh-CN|en
86,70,artillery-and-missile-officers,Artillery And Missile Officers,火炮导弹官,55-1014,55-1014.00,control_200,zh-CN|en
87,71,assemblers-and-fabricators,Team Assemblers,团队装配工,51-2092,51-2092.00,control_200,zh-CN|en
88,72,astronomers,Astronomers,其他职业,19-2011,19-2011.00,control_200,zh-CN|en
89,73,athletes-and-sports-competitors,Athletes And Sports Competitors,运动员与体育竞赛选手,27-2021,27-2021.00,control_200,zh-CN|en
90,74,athletic-trainers,Athletic Trainers,运动训练师,29-9091,29-9091.00,control_200,zh-CN|en
91,75,atmospheric-and-space-scientists,Atmospheric And Space Scientists,大气与空间科学家,19-2021,19-2021.00,control_200,zh-CN|en
92,76,atmospheric-scientists-including-meteorologists,"Atmospheric Scientists, Including Meteorologists",大气科学家（含气象学家）,19-2021,19-2021.00,control_200,zh-CN|en
93,77,atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,"Atmospheric, Earth, Marine, And Space Sciences Teachers, Postsecondary",土方、船舶、教师、高等教育,25-1051,25-1051.00,control_200,zh-CN|en
94,78,audio-and-video-technicians,Audio And Video Technicians,音频视频技术员,27-4011,27-4011.00,control_200,zh-CN|en
95,79,audiologists,Audiologists,听力学家,29-1181,29-1181.00,control_200,zh-CN|en
96,80,audiovisual-equipment-installers-and-repairers,Audiovisual Equipment Installers And Repairers,设备安装工,49-2097,49-2097.00,control_200,zh-CN|en
97,81,automotive-and-watercraft-service-attendants,Automotive And Watercraft Service Attendants,汽车与船艇服务员,53-6031,53-6031.00,control_200,zh-CN|en
98,82,automotive-body-and-glass-repairers,Automotive Body and Related Repairers,汽车车身及相关维修工适合谁？,49-3021,49-3021.00,control_200,zh-CN|en
99,83,automotive-engineering-technicians,Automotive Engineering Technicians,技术员工程,17-3027,17-3027.01,control_200,zh-CN|en
100,84,automotive-engineers,Automotive Engineers,工程师,17-2141,17-2141.02,control_200,zh-CN|en
101,85,automotive-glass-installers-and-repairers,Automotive Glass Installers And Repairers,汽车玻璃安装工,49-3022,49-3022.00,control_200,zh-CN|en
102,86,automotive-service-technicians-and-mechanics,Automotive Service Technicians And Mechanics,汽车维修技师与机械师,49-3023,49-3023.00,control_200,zh-CN|en
103,87,aviation-inspectors,Aviation Inspectors,航空检查员,53-6051,53-6051.01,control_200,zh-CN|en
104,88,avionics-technicians,Avionics Technicians,航空电子技术员,49-2091,49-2091.00,control_200,zh-CN|en
105,89,baggage-porters-and-bellhops,Baggage Porters And Bellhops,行李搬运员行李员,39-6011,39-6011.00,control_200,zh-CN|en
106,90,bailiffs,Bailiffs,法警,33-3011,33-3011.00,control_200,zh-CN|en
107,91,bakers,Bakers,面包师,51-3011,51-3011.00,control_200,zh-CN|en
108,92,barbers,Barbers,理发师,39-5011,39-5011.00,control_200,zh-CN|en
109,93,barbers-hairstylists-and-cosmetologists,"Hairdressers, Hairstylists, And Cosmetologists",美发师、发型师与美容师,39-5012,39-5012.00,control_200,zh-CN|en
110,94,baristas,Baristas,咖啡师,35-3023,35-3023.01,control_200,zh-CN|en
111,95,bartenders,Bartenders,调酒师,35-3011,35-3011.00,control_200,zh-CN|en
112,96,bicycle-repairers,Bicycle Repairers,自行车修理工,49-3091,49-3091.00,control_200,zh-CN|en
113,97,bill-and-account-collectors,Bill and account collectors,账单与账款催收员适合谁？,43-3011,43-3011.00,control_200,zh-CN|en
114,98,billing-and-posting-clerks,Billing And Posting Clerks,账单过账文员,43-3021,43-3021.00,control_200,zh-CN|en
115,99,biochemists-and-biophysicists,Biochemists and biophysicists,生物化学家与生物物理学家适合谁？,19-1021,19-1021.00,control_200,zh-CN|en
116,100,biomedical-engineers,Bioengineers and biomedical engineers,生物工程师与生物医学工程师职业诊断,17-2031,17-2031.00,control_200,zh-CN|en
117,101,biofuels-processing-technicians,Biofuels Processing Technicians,生物燃料加工技术员,51-8099,51-8099.01,control_200,zh-CN|en
118,102,biofuels-production-managers,Biofuels Production Managers,生产经理,11-3051,11-3051.03,control_200,zh-CN|en
119,103,biofuels-biodiesel-technology-and-product-development-managers,Biofuels/Biodiesel Technology And Product Development Managers,经理,11-9041,11-9041.01,control_200,zh-CN|en
120,104,bioinformatics-scientists,Bioinformatics Scientists,生物信息学科学家,19-1029,19-1029.01,control_200,zh-CN|en
121,105,bioinformatics-technicians,Bioinformatics Technicians,生物信息技术员,15-2099,15-2099.01,control_200,zh-CN|en
122,106,biological-science-teachers-postsecondary,"Biological Science Teachers, Postsecondary",高校生物科学教师,25-1042,25-1042.00,control_200,zh-CN|en
123,107,biological-technicians,Biological Technicians,生物技术员,19-4021,19-4021.00,control_200,zh-CN|en
124,108,biologists,Biologists,生物学家,19-1029,19-1029.04,control_200,zh-CN|en
125,109,biomass-plant-technicians,Biomass Plant Technicians,生物质电厂技术员,51-8013,51-8013.03,control_200,zh-CN|en
126,110,biomass-power-plant-managers,Biomass Power Plant Managers,电力经理,11-3051,11-3051.04,control_200,zh-CN|en
127,111,biostatisticians,Biostatisticians,生物统计学家,15-2041,15-2041.01,control_200,zh-CN|en
128,112,blockchain-engineers,Blockchain Engineers,工程师,15-1299,15-1299.07,control_200,zh-CN|en
129,113,boilermakers,Boilermakers,锅炉制造与安装工,47-2011,47-2011.00,control_200,zh-CN|en
130,114,bookkeeping-accounting-and-auditing-clerks,"Bookkeeping, accounting, and auditing clerks",簿记、会计与审计文员适合谁？,43-3031,43-3031.00,control_200,zh-CN|en
131,115,brickmasons-and-blockmasons,Brickmasons And Blockmasons,砖石与砌块工,47-2021,47-2021.00,control_200,zh-CN|en
132,116,bridge-and-lock-tenders,Bridge And Lock Tenders,桥梁与船闸操作员,53-6011,53-6011.00,control_200,zh-CN|en
133,117,broadcast-announcers-and-radio-disc-jockeys,Broadcast Announcers And Radio Disc Jockeys,广播主持人电台唱片唱片骑师,27-3011,27-3011.00,control_200,zh-CN|en
134,118,broadcast-technicians,Broadcast Technicians,广播技术员,27-4012,27-4012.00,control_200,zh-CN|en
135,119,broadcast-and-sound-engineering-technicians,Audio And Video Technicians,音频与视频技术员,27-4011,27-4011.00,control_200,zh-CN|en
136,120,brokerage-clerks,Brokerage Clerks,经纪文员,43-4011,43-4011.00,control_200,zh-CN|en
137,121,brownfield-redevelopment-specialists-and-site-managers,Brownfield Redevelopment Specialists And Site Managers,专家经理,11-9199,11-9199.11,control_200,zh-CN|en
138,122,budget-analysts,Budget analysts,预算分析师职业诊断,13-2031,13-2031.00,control_200,zh-CN|en
139,123,bus-and-truck-mechanics-and-diesel-engine-specialists,Bus And Truck Mechanics And Diesel Engine Specialists,公交卡车机械师发动机专员,49-3031,49-3031.00,control_200,zh-CN|en
140,124,bus-drivers,"Bus Drivers, Transit And Intercity",公交与城际巴士司机,53-3052,53-3052.00,control_200,zh-CN|en
141,125,bus-drivers-school,"Bus Drivers, School",公交司机,53-3051,53-3051.00,control_200,zh-CN|en
142,126,bus-drivers-transit-and-intercity,"Bus Drivers, Transit And Intercity",公交司机、公交,53-3052,53-3052.00,control_200,zh-CN|en
143,127,business-continuity-planners,Business Continuity Planners,业务连续性规划师,13-1199,13-1199.04,control_200,zh-CN|en
144,128,business-intelligence-analysts,Business Intelligence Analysts,分析师商业,15-2051,15-2051.01,control_200,zh-CN|en
145,129,business-teachers-postsecondary,"Business Teachers, Postsecondary",教师商业,25-1011,25-1011.00,control_200,zh-CN|en
146,130,butchers-and-meat-cutters,Butchers And Meat Cutters,屠宰工肉类切割工,51-3021,51-3021.00,control_200,zh-CN|en
147,131,buyers-and-purchasing-agents-farm-products,"Buyers And Purchasing Agents, Farm Products",采购员采购、农场产品,13-1021,13-1021.00,control_200,zh-CN|en
148,132,cabinetmakers-and-bench-carpenters,Cabinetmakers And Bench Carpenters,橱柜制造工台架木工,51-7011,51-7011.00,control_200,zh-CN|en
149,133,calibration-technologists-and-technicians,Calibration Technologists And Technicians,校准技术员,17-3028,17-3028.00,control_200,zh-CN|en
150,134,camera-and-photographic-equipment-repairers,Camera And Photographic Equipment Repairers,摄像设备,49-9061,49-9061.00,control_200,zh-CN|en
151,135,camera-operators-television-video-and-film,"Camera Operators, Television, Video, And Film",摄像操作员、电视、视频、电影,27-4031,27-4031.00,control_200,zh-CN|en
152,136,captains-mates-and-pilots-of-water-vessels,"Captains, Mates, And Pilots Of Water Vessels",大副、船舶,53-5021,53-5021.00,control_200,zh-CN|en
153,137,cardiovascular-technologists-and-technicians,Cardiovascular technologists and technicians,心血管技术员适合谁？,29-2031,29-2031.00,control_200,zh-CN|en
154,138,career-and-technical-education-teachers,"Career/Technical Education Teachers, Secondary School",中学职业/技术教育教师职业诊断,25-2032,25-2032.00,control_200,zh-CN|en
155,139,career-technical-education-teachers-middle-school,"Career/Technical Education Teachers, Middle School",教育教师,25-2023,25-2023.00,control_200,zh-CN|en
156,140,career-technical-education-teachers-postsecondary,"Career/Technical Education Teachers, Postsecondary",教育教师,25-1194,25-1194.00,control_200,zh-CN|en
157,141,career-technical-education-teachers-secondary-school,"Career/Technical Education Teachers, Secondary School",教育教师,25-2032,25-2032.00,control_200,zh-CN|en
158,142,cargo-and-freight-agents,Cargo And Freight Agents,货物与货运,43-5011,43-5011.00,control_200,zh-CN|en
159,143,carpenters,Carpenters,木工适合谁？,47-2031,47-2031.00,control_200,zh-CN|en
160,144,carpet-installers,Carpet Installers,地毯安装工,47-2041,47-2041.00,control_200,zh-CN|en
161,145,cartographers-and-photogrammetrists,Cartographers And Photogrammetrists,制图师与摄影测量师,17-1021,17-1021.00,control_200,zh-CN|en
162,147,cement-masons-and-concrete-finishers,Cement Masons And Concrete Finishers,水泥泥瓦工混凝土修整工,47-2051,47-2051.00,control_200,zh-CN|en
163,149,chemical-engineers,Chemical Engineers,化学工程师,17-2041,17-2041.00,control_200,zh-CN|en
164,150,chemical-equipment-operators-and-tenders,Chemical Equipment Operators And Tenders,设备操作员看护员,51-9011,51-9011.00,control_200,zh-CN|en
165,151,chemical-plant-and-system-operators,Chemical Plant And System Operators,操作员,51-8091,51-8091.00,control_200,zh-CN|en
166,152,chemical-technicians,Chemical Technicians,化学技术员,19-4031,19-4031.00,control_200,zh-CN|en
167,153,chemistry-teachers-postsecondary,"Chemistry Teachers, Postsecondary",高校化学教师,25-1052,25-1052.00,control_200,zh-CN|en
168,154,chemists,Chemists,化学家,19-2031,19-2031.00,control_200,zh-CN|en
169,155,chemists-and-materials-scientists,Chemists,化学家职业诊断,19-2031,19-2031.00,control_200,zh-CN|en
170,156,chief-executives,Chief Executives,首席执行官,11-1011,11-1011.00,control_200,zh-CN|en
171,157,chief-sustainability-officers,Chief Sustainability Officers,首席可持续发展官,11-1011,11-1011.03,control_200,zh-CN|en
172,158,child-family-and-school-social-workers,"Child, Family, And School Social Workers",儿童、家庭与学校社会工作者,21-1021,21-1021.00,control_200,zh-CN|en
173,159,childcare-workers,Childcare Workers,儿童照护人员,39-9011,39-9011.00,control_200,zh-CN|en
174,160,chiropractors,Chiropractors,整脊医师适合谁？,29-1011,29-1011.00,control_200,zh-CN|en
175,161,choreographers,Choreographers,编舞师,27-2032,27-2032.00,control_200,zh-CN|en
176,162,civil-engineering-technicians,Civil Engineering Technologists And Technicians,土木工程技师与技术员,17-3022,17-3022.00,control_200,zh-CN|en
177,164,claims-adjusters-appraisers-examiners-and-investigators,"Claims Adjusters, Examiners, And Investigators",理赔核损员、审查员与调查员,13-1031,13-1031.00,control_200,zh-CN|en
178,165,cleaners-of-vehicles-and-equipment,Cleaners Of Vehicles And Equipment,清洁工设备,53-7061,53-7061.00,control_200,zh-CN|en
179,166,cleaning-washing-and-metal-pickling-equipment-operators-and-tenders,"Cleaning, Washing, And Metal Pickling Equipment Operators And Tenders",金属设备操作员看护员,51-9192,51-9192.00,control_200,zh-CN|en
180,167,clergy,Clergy,神职人员,21-2011,21-2011.00,control_200,zh-CN|en
181,168,climate-change-policy-analysts,Climate Change Policy Analysts,气候变化政策分析师,19-2041,19-2041.01,control_200,zh-CN|en
182,169,clinical-and-counseling-psychologists,Clinical And Counseling Psychologists,临床与咨询心理学家,19-3033,19-3033.00,control_200,zh-CN|en
183,170,clinical-data-managers,Clinical Data Managers,临床数据经理,15-2051,15-2051.02,control_200,zh-CN|en
184,171,clinical-laboratory-technologists-and-technicians,Medical and Clinical Laboratory Technologists,医学与临床实验室技师职业诊断,29-2011,29-2011.00,control_200,zh-CN|en
185,172,clinical-neuropsychologists,Clinical Neuropsychologists,临床神经心理学家,19-3039,19-3039.03,control_200,zh-CN|en
186,173,clinical-nurse-specialists,Clinical Nurse Specialists,临床护士专员,29-1141,29-1141.04,control_200,zh-CN|en
187,174,clinical-research-coordinators,Clinical Research Coordinators,临床研究协调员,11-9121,11-9121.01,control_200,zh-CN|en
188,175,coaches-and-scouts,Coaches And Scouts,教练与球探,27-2022,27-2022.00,control_200,zh-CN|en
189,176,coating-painting-and-spraying-machine-setters-operators-and-tenders,"Coating, Painting, And Spraying Machine Setters, Operators, And Tenders",机器铺设工、操作员、看护员,51-9124,51-9124.00,control_200,zh-CN|en
190,177,coil-winders-tapers-and-finishers,"Coil Winders, Tapers, And Finishers",线圈绕线工、包扎工、修整工,51-2021,51-2021.00,control_200,zh-CN|en
191,178,coin-vending-and-amusement-machine-servicers-and-repairers,"Coin, Vending, And Amusement Machine Servicers And Repairers",自动售货、机器维修员,49-9091,49-9091.00,control_200,zh-CN|en
192,179,command-and-control-center-officers,Command And Control Center Officers,官,55-1015,55-1015.00,control_200,zh-CN|en
193,180,command-and-control-center-specialists,Command And Control Center Specialists,专员,55-3015,55-3015.00,control_200,zh-CN|en
194,181,commercial-and-industrial-designers,Commercial And Industrial Designers,商业与工业设计师,27-1021,27-1021.00,control_200,zh-CN|en
195,182,commercial-divers,Commercial Divers,商业潜水员,49-9092,49-9092.00,control_200,zh-CN|en
196,183,commercial-pilots,Commercial Pilots,商业飞行员,53-2012,53-2012.00,control_200,zh-CN|en
197,184,communications-teachers-postsecondary,"Communications Teachers, Postsecondary",传播教师,25-1122,25-1122.00,control_200,zh-CN|en
198,185,community-health-workers,Community health workers,社区健康工作者职业诊断,21-1094,21-1094.00,control_200,zh-CN|en
199,186,compensation-and-benefits-managers,Compensation and benefits managers,薪酬与福利经理职业诊断,11-3111,11-3111.00,control_200,zh-CN|en
200,187,compensation-benefits-and-job-analysis-specialists,"Compensation, benefits, and job analysis specialists",薪酬、福利与岗位分析专员适合谁？,13-1141,13-1141.00,control_200,zh-CN|en
201,188,compliance-managers,Compliance Managers,合规经理,11-9199,11-9199.02,new_50,zh-CN|en
202,189,compliance-officers,Compliance officers,合规专员,,,new_50,zh-CN|en
203,190,computer-and-information-research-scientists,Computer and information research scientists,计算机与信息研究科学家适合谁？,15-1221,15-1221.00,new_50,zh-CN|en
204,191,computer-and-information-systems-managers,Computer and information systems managers,计算机与信息系统经理适合谁？,11-3021,11-3021.00,new_50,zh-CN|en
205,192,computer-hardware-engineers,Computer hardware engineers,计算机硬件工程师,,,new_50,zh-CN|en
206,193,computer-network-architects,Computer Network Architects,计算机网络架构师,15-1241,15-1241.00,new_50,zh-CN|en
207,194,computer-network-support-specialists,Computer Network Support Specialists,专家计算机,15-1231,15-1231.00,new_50,zh-CN|en
208,195,computer-numerically-controlled-tool-operators,Computer Numerically Controlled Tool Operators,操作员计算机,51-9161,51-9161.00,new_50,zh-CN|en
209,196,computer-numerically-controlled-tool-programmers,Computer Numerically Controlled Tool Programmers,计算机,51-9162,51-9162.00,new_50,zh-CN|en
210,198,computer-science-teachers-postsecondary,"Computer Science Teachers, Postsecondary",教师计算机,25-1021,25-1021.00,new_50,zh-CN|en
211,199,computer-support-specialists,Computer support specialists,计算机支持专员适合谁？,15-1232,15-1232.00,new_50,zh-CN|en
212,200,computer-systems-analysts,Computer Systems Analysts,计算机系统分析师,15-1211,15-1211.00,new_50,zh-CN|en
213,201,computer-systems-engineers-architects,Computer Systems Engineers/Architects,工程师计算机,15-1299,15-1299.08,new_50,zh-CN|en
214,202,computer-automated-teller-and-office-machine-repairers,"Computer, Automated Teller, And Office Machine Repairers",计算机修理,49-2011,49-2011.00,new_50,zh-CN|en
215,203,concierges,Concierges,礼宾员,39-6012,39-6012.00,new_50,zh-CN|en
216,204,conservation-scientists,Conservation Scientists,其他职业,19-1031,19-1031.00,new_50,zh-CN|en
217,205,construction-and-building-inspectors,Construction and building inspectors,建筑与施工检查员适合谁？,47-4011,47-4011.00,new_50,zh-CN|en
218,206,construction-equipment-operators,Operating Engineers And Other Construction Equipment Operators,操作工程师及其他工程设备操作员,47-2073,47-2073.00,new_50,zh-CN|en
219,207,construction-laborers,Construction Laborers,建筑施工,47-2061,47-2061.00,new_50,zh-CN|en
220,208,construction-laborers-and-helpers,Construction Laborers,建筑工人,47-2061,47-2061.00,new_50,zh-CN|en
