finding_id,severity,finding_type,slug,locale,field_path,excerpt,reason,repair_instruction,repair_allowed_without_source_change,requires_human_review
low_workflow_density:actuaries:zh-CN:27db634c6a4f,repair_required,low_workflow_density,actuaries,zh-CN,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:actuaries:zh-CN:0c2bf5afdfaf,warning,low_reader_usefulness,actuaries,zh-CN,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:actuaries:zh-CN:619685f52d24,repair_required,locale_naturalness_issue,actuaries,zh-CN,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:actuaries:zh-CN:0118aedaefea,warning,conversion_unclear,actuaries,zh-CN,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
weak_occupation_specificity:actuaries:en:30f0d48eec11,repair_required,weak_occupation_specificity,actuaries,en,$,,The row has limited occupation-specific workflow/tool/stakeholder detail.,Use existing block evidence to add concrete occupation-specific work context.,True,False
low_workflow_density:actuaries:en:27db634c6a4f,repair_required,low_workflow_density,actuaries,en,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:actuaries:en:0c2bf5afdfaf,warning,low_reader_usefulness,actuaries,en,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:actuaries:en:619685f52d24,repair_required,locale_naturalness_issue,actuaries,en,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:actuaries:en:0118aedaefea,warning,conversion_unclear,actuaries,en,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
weak_occupation_specificity:acupuncturists:zh-CN:30f0d48eec11,repair_required,weak_occupation_specificity,acupuncturists,zh-CN,$,,The row has limited occupation-specific workflow/tool/stakeholder detail.,Use existing block evidence to add concrete occupation-specific work context.,True,False
low_workflow_density:acupuncturists:zh-CN:27db634c6a4f,repair_required,low_workflow_density,acupuncturists,zh-CN,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:acupuncturists:zh-CN:0c2bf5afdfaf,warning,low_reader_usefulness,acupuncturists,zh-CN,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:acupuncturists:zh-CN:619685f52d24,repair_required,locale_naturalness_issue,acupuncturists,zh-CN,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:acupuncturists:zh-CN:0118aedaefea,warning,conversion_unclear,acupuncturists,zh-CN,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
weak_occupation_specificity:acupuncturists:en:30f0d48eec11,repair_required,weak_occupation_specificity,acupuncturists,en,$,,The row has limited occupation-specific workflow/tool/stakeholder detail.,Use existing block evidence to add concrete occupation-specific work context.,True,False
low_workflow_density:acupuncturists:en:27db634c6a4f,repair_required,low_workflow_density,acupuncturists,en,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:acupuncturists:en:0c2bf5afdfaf,warning,low_reader_usefulness,acupuncturists,en,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:acupuncturists:en:619685f52d24,repair_required,locale_naturalness_issue,acupuncturists,en,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:acupuncturists:en:0118aedaefea,warning,conversion_unclear,acupuncturists,en,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:acute-care-nurses:zh-CN:27db634c6a4f,repair_required,low_workflow_density,acute-care-nurses,zh-CN,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:acute-care-nurses:zh-CN:0c2bf5afdfaf,warning,low_reader_usefulness,acute-care-nurses,zh-CN,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:acute-care-nurses:zh-CN:619685f52d24,repair_required,locale_naturalness_issue,acute-care-nurses,zh-CN,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:acute-care-nurses:zh-CN:0118aedaefea,warning,conversion_unclear,acute-care-nurses,zh-CN,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
weak_occupation_specificity:acute-care-nurses:en:30f0d48eec11,repair_required,weak_occupation_specificity,acute-care-nurses,en,$,,The row has limited occupation-specific workflow/tool/stakeholder detail.,Use existing block evidence to add concrete occupation-specific work context.,True,False
low_workflow_density:acute-care-nurses:en:27db634c6a4f,repair_required,low_workflow_density,acute-care-nurses,en,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:acute-care-nurses:en:0c2bf5afdfaf,warning,low_reader_usefulness,acute-care-nurses,en,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:acute-care-nurses:en:619685f52d24,repair_required,locale_naturalness_issue,acute-care-nurses,en,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:acute-care-nurses:en:0118aedaefea,warning,conversion_unclear,acute-care-nurses,en,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:adapted-physical-education-specialists:zh-CN:27db634c6a4f,repair_required,low_workflow_density,adapted-physical-education-specialists,zh-CN,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:adapted-physical-education-specialists:zh-CN:0c2bf5afdfaf,warning,low_reader_usefulness,adapted-physical-education-specialists,zh-CN,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:adapted-physical-education-specialists:zh-CN:619685f52d24,repair_required,locale_naturalness_issue,adapted-physical-education-specialists,zh-CN,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:adapted-physical-education-specialists:zh-CN:0118aedaefea,warning,conversion_unclear,adapted-physical-education-specialists,zh-CN,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:adapted-physical-education-specialists:en:27db634c6a4f,repair_required,low_workflow_density,adapted-physical-education-specialists,en,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:adapted-physical-education-specialists:en:0c2bf5afdfaf,warning,low_reader_usefulness,adapted-physical-education-specialists,en,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:adapted-physical-education-specialists:en:619685f52d24,repair_required,locale_naturalness_issue,adapted-physical-education-specialists,en,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:adapted-physical-education-specialists:en:0118aedaefea,warning,conversion_unclear,adapted-physical-education-specialists,en,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:adhesive-bonding-machine-operators-and-tenders:zh-CN:27db634c6a4f,repair_required,low_workflow_density,adhesive-bonding-machine-operators-and-tenders,zh-CN,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
locale_naturalness_issue:adhesive-bonding-machine-operators-and-tenders:zh-CN:619685f52d24,repair_required,locale_naturalness_issue,adhesive-bonding-machine-operators-and-tenders,zh-CN,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:adhesive-bonding-machine-operators-and-tenders:zh-CN:0118aedaefea,warning,conversion_unclear,adhesive-bonding-machine-operators-and-tenders,zh-CN,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:adhesive-bonding-machine-operators-and-tenders:en:27db634c6a4f,repair_required,low_workflow_density,adhesive-bonding-machine-operators-and-tenders,en,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
locale_naturalness_issue:adhesive-bonding-machine-operators-and-tenders:en:619685f52d24,repair_required,locale_naturalness_issue,adhesive-bonding-machine-operators-and-tenders,en,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:adhesive-bonding-machine-operators-and-tenders:en:0118aedaefea,warning,conversion_unclear,adhesive-bonding-machine-operators-and-tenders,en,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:administrative-law-judges-adjudicators-and-hearing-officers:zh-CN:27db634c6a4f,repair_required,low_workflow_density,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:administrative-law-judges-adjudicators-and-hearing-officers:zh-CN:0c2bf5afdfaf,warning,low_reader_usefulness,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:administrative-law-judges-adjudicators-and-hearing-officers:zh-CN:619685f52d24,repair_required,locale_naturalness_issue,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:administrative-law-judges-adjudicators-and-hearing-officers:zh-CN:0118aedaefea,warning,conversion_unclear,administrative-law-judges-adjudicators-and-hearing-officers,zh-CN,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:administrative-law-judges-adjudicators-and-hearing-officers:en:27db634c6a4f,repair_required,low_workflow_density,administrative-law-judges-adjudicators-and-hearing-officers,en,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:administrative-law-judges-adjudicators-and-hearing-officers:en:0c2bf5afdfaf,warning,low_reader_usefulness,administrative-law-judges-adjudicators-and-hearing-officers,en,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:administrative-law-judges-adjudicators-and-hearing-officers:en:619685f52d24,repair_required,locale_naturalness_issue,administrative-law-judges-adjudicators-and-hearing-officers,en,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:administrative-law-judges-adjudicators-and-hearing-officers:en:0118aedaefea,warning,conversion_unclear,administrative-law-judges-adjudicators-and-hearing-officers,en,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:administrative-services-managers:zh-CN:27db634c6a4f,repair_required,low_workflow_density,administrative-services-managers,zh-CN,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:administrative-services-managers:zh-CN:0c2bf5afdfaf,warning,low_reader_usefulness,administrative-services-managers,zh-CN,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:administrative-services-managers:zh-CN:619685f52d24,repair_required,locale_naturalness_issue,administrative-services-managers,zh-CN,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:administrative-services-managers:zh-CN:0118aedaefea,warning,conversion_unclear,administrative-services-managers,zh-CN,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
weak_occupation_specificity:administrative-services-managers:en:30f0d48eec11,repair_required,weak_occupation_specificity,administrative-services-managers,en,$,,The row has limited occupation-specific workflow/tool/stakeholder detail.,Use existing block evidence to add concrete occupation-specific work context.,True,False
low_workflow_density:administrative-services-managers:en:27db634c6a4f,repair_required,low_workflow_density,administrative-services-managers,en,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:administrative-services-managers:en:0c2bf5afdfaf,warning,low_reader_usefulness,administrative-services-managers,en,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:administrative-services-managers:en:619685f52d24,repair_required,locale_naturalness_issue,administrative-services-managers,en,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:administrative-services-managers:en:0118aedaefea,warning,conversion_unclear,administrative-services-managers,en,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:adult-literacy-and-ged-teachers:zh-CN:27db634c6a4f,repair_required,low_workflow_density,adult-literacy-and-ged-teachers,zh-CN,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:adult-literacy-and-ged-teachers:zh-CN:0c2bf5afdfaf,warning,low_reader_usefulness,adult-literacy-and-ged-teachers,zh-CN,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:adult-literacy-and-ged-teachers:zh-CN:619685f52d24,repair_required,locale_naturalness_issue,adult-literacy-and-ged-teachers,zh-CN,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:adult-literacy-and-ged-teachers:zh-CN:0118aedaefea,warning,conversion_unclear,adult-literacy-and-ged-teachers,zh-CN,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:adult-literacy-and-ged-teachers:en:27db634c6a4f,repair_required,low_workflow_density,adult-literacy-and-ged-teachers,en,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:adult-literacy-and-ged-teachers:en:0c2bf5afdfaf,warning,low_reader_usefulness,adult-literacy-and-ged-teachers,en,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:adult-literacy-and-ged-teachers:en:619685f52d24,repair_required,locale_naturalness_issue,adult-literacy-and-ged-teachers,en,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:adult-literacy-and-ged-teachers:en:0118aedaefea,warning,conversion_unclear,adult-literacy-and-ged-teachers,en,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors:zh-CN:27db634c6a4f,repair_required,low_workflow_density,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors:zh-CN:0c2bf5afdfaf,warning,low_reader_usefulness,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors:zh-CN:619685f52d24,repair_required,locale_naturalness_issue,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors:zh-CN:0118aedaefea,warning,conversion_unclear,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,zh-CN,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors:en:27db634c6a4f,repair_required,low_workflow_density,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors:en:0c2bf5afdfaf,warning,low_reader_usefulness,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors:en:619685f52d24,repair_required,locale_naturalness_issue,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors:en:0118aedaefea,warning,conversion_unclear,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,en,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:advanced-practice-psychiatric-nurses:zh-CN:27db634c6a4f,repair_required,low_workflow_density,advanced-practice-psychiatric-nurses,zh-CN,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:advanced-practice-psychiatric-nurses:zh-CN:0c2bf5afdfaf,warning,low_reader_usefulness,advanced-practice-psychiatric-nurses,zh-CN,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:advanced-practice-psychiatric-nurses:zh-CN:619685f52d24,repair_required,locale_naturalness_issue,advanced-practice-psychiatric-nurses,zh-CN,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:advanced-practice-psychiatric-nurses:zh-CN:0118aedaefea,warning,conversion_unclear,advanced-practice-psychiatric-nurses,zh-CN,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:advanced-practice-psychiatric-nurses:en:27db634c6a4f,repair_required,low_workflow_density,advanced-practice-psychiatric-nurses,en,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:advanced-practice-psychiatric-nurses:en:0c2bf5afdfaf,warning,low_reader_usefulness,advanced-practice-psychiatric-nurses,en,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:advanced-practice-psychiatric-nurses:en:619685f52d24,repair_required,locale_naturalness_issue,advanced-practice-psychiatric-nurses,en,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:advanced-practice-psychiatric-nurses:en:0118aedaefea,warning,conversion_unclear,advanced-practice-psychiatric-nurses,en,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:advertising-and-promotions-managers:zh-CN:27db634c6a4f,repair_required,low_workflow_density,advertising-and-promotions-managers,zh-CN,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:advertising-and-promotions-managers:zh-CN:0c2bf5afdfaf,warning,low_reader_usefulness,advertising-and-promotions-managers,zh-CN,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:advertising-and-promotions-managers:zh-CN:619685f52d24,repair_required,locale_naturalness_issue,advertising-and-promotions-managers,zh-CN,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:advertising-and-promotions-managers:zh-CN:0118aedaefea,warning,conversion_unclear,advertising-and-promotions-managers,zh-CN,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:advertising-and-promotions-managers:en:27db634c6a4f,repair_required,low_workflow_density,advertising-and-promotions-managers,en,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:advertising-and-promotions-managers:en:0c2bf5afdfaf,warning,low_reader_usefulness,advertising-and-promotions-managers,en,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:advertising-and-promotions-managers:en:619685f52d24,repair_required,locale_naturalness_issue,advertising-and-promotions-managers,en,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:advertising-and-promotions-managers:en:0118aedaefea,warning,conversion_unclear,advertising-and-promotions-managers,en,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:advertising-promotions-and-marketing-managers:zh-CN:27db634c6a4f,repair_required,low_workflow_density,advertising-promotions-and-marketing-managers,zh-CN,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:advertising-promotions-and-marketing-managers:zh-CN:0c2bf5afdfaf,warning,low_reader_usefulness,advertising-promotions-and-marketing-managers,zh-CN,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:advertising-promotions-and-marketing-managers:zh-CN:619685f52d24,repair_required,locale_naturalness_issue,advertising-promotions-and-marketing-managers,zh-CN,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
conversion_unclear:advertising-promotions-and-marketing-managers:zh-CN:0118aedaefea,warning,conversion_unclear,advertising-promotions-and-marketing-managers,zh-CN,$,,The row does not clearly guide the reader's next decision.,Add or improve bounded next-step guidance without outcome promises.,True,False
low_workflow_density:advertising-promotions-and-marketing-managers:en:27db634c6a4f,repair_required,low_workflow_density,advertising-promotions-and-marketing-managers,en,$,,The row reads more like general advice than concrete work activity.,"Strengthen task sequence, tool, artifact, setting, or decision detail from source-backed blocks.",True,False
low_reader_usefulness:advertising-promotions-and-marketing-managers:en:0c2bf5afdfaf,warning,low_reader_usefulness,advertising-promotions-and-marketing-managers,en,$,,The row may not help a reader make a better career exploration decision.,"Clarify what the reader can inspect, compare, or do next.",True,False
locale_naturalness_issue:advertising-promotions-and-marketing-managers:en:619685f52d24,repair_required,locale_naturalness_issue,advertising-promotions-and-marketing-managers,en,$,,Locale writing appears mixed or translation-like.,Rewrite in natural locale-specific language without adding facts.,True,False
