slug,locale,finding_count,findings,status
agricultural-workers,en,1,en_contains_chinese,repair_required
air-crew-members,zh-CN,1,zh_contains_long_english_prose,repair_required
air-crew-members,en,1,en_contains_chinese,repair_required
air-crew-officers,zh-CN,1,zh_contains_long_english_prose,repair_required
air-crew-officers,en,1,en_contains_chinese,repair_required
air-traffic-controllers,zh-CN,1,zh_contains_long_english_prose,repair_required
air-traffic-controllers,en,1,en_contains_chinese,repair_required
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
aircraft-and-avionics-equipment-mechanics-and-technicians,en,1,en_contains_chinese,repair_required
aircraft-cargo-handling-supervisors,zh-CN,1,zh_contains_long_english_prose,repair_required
aircraft-cargo-handling-supervisors,en,1,en_contains_chinese,repair_required
aircraft-launch-and-recovery-officers,zh-CN,1,zh_contains_long_english_prose,repair_required
aircraft-launch-and-recovery-officers,en,1,en_contains_chinese,repair_required
aircraft-launch-and-recovery-specialists,zh-CN,1,zh_contains_long_english_prose,repair_required
aircraft-launch-and-recovery-specialists,en,1,en_contains_chinese,repair_required
aircraft-mechanics-and-service-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
aircraft-mechanics-and-service-technicians,en,1,en_contains_chinese,repair_required
aircraft-service-attendants,zh-CN,1,zh_contains_long_english_prose,repair_required
aircraft-service-attendants,en,1,en_contains_chinese,repair_required
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,1,zh_contains_long_english_prose,repair_required
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,1,en_contains_chinese,repair_required
airfield-operations-specialists,zh-CN,1,zh_contains_long_english_prose,repair_required
airfield-operations-specialists,en,1,en_contains_chinese,repair_required
airline-and-commercial-pilots,zh-CN,1,zh_contains_long_english_prose,repair_required
airline-and-commercial-pilots,en,1,en_contains_chinese,repair_required
airline-pilots-copilots-and-flight-engineers,zh-CN,1,zh_contains_long_english_prose,repair_required
airline-pilots-copilots-and-flight-engineers,en,1,en_contains_chinese,repair_required
allergists-and-immunologists,zh-CN,1,zh_contains_long_english_prose,repair_required
allergists-and-immunologists,en,1,en_contains_chinese,repair_required
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,1,en_contains_chinese,repair_required
amusement-and-recreation-attendants,zh-CN,1,zh_contains_long_english_prose,repair_required
amusement-and-recreation-attendants,en,1,en_contains_chinese,repair_required
anesthesiologist-assistants,zh-CN,1,zh_contains_long_english_prose,repair_required
anesthesiologist-assistants,en,1,en_contains_chinese,repair_required
anesthesiologists,zh-CN,1,zh_contains_long_english_prose,repair_required
anesthesiologists,en,1,en_contains_chinese,repair_required
animal-breeders,zh-CN,1,zh_contains_long_english_prose,repair_required
animal-breeders,en,1,en_contains_chinese,repair_required
animal-care-and-service-workers,zh-CN,1,zh_contains_long_english_prose,repair_required
animal-care-and-service-workers,en,1,en_contains_chinese,repair_required
animal-caretakers,zh-CN,1,zh_contains_long_english_prose,repair_required
animal-caretakers,en,1,en_contains_chinese,repair_required
animal-control-workers,zh-CN,1,zh_contains_long_english_prose,repair_required
animal-control-workers,en,1,en_contains_chinese,repair_required
animal-scientists,zh-CN,1,zh_contains_long_english_prose,repair_required
animal-scientists,en,1,en_contains_chinese,repair_required
animal-trainers,zh-CN,1,zh_contains_long_english_prose,repair_required
animal-trainers,en,1,en_contains_chinese,repair_required
announcers,zh-CN,1,zh_contains_long_english_prose,repair_required
announcers,en,1,en_contains_chinese,repair_required
anthropologists-and-archeologists,zh-CN,1,zh_contains_long_english_prose,repair_required
anthropologists-and-archeologists,en,1,en_contains_chinese,repair_required
anthropology-and-archeology-teachers-postsecondary,zh-CN,1,zh_contains_long_english_prose,repair_required
anthropology-and-archeology-teachers-postsecondary,en,1,en_contains_chinese,repair_required
appraisers-of-personal-and-business-property,zh-CN,1,zh_contains_long_english_prose,repair_required
appraisers-of-personal-and-business-property,en,1,en_contains_chinese,repair_required
arbitrators-mediators-and-conciliators,zh-CN,1,zh_contains_long_english_prose,repair_required
arbitrators-mediators-and-conciliators,en,1,en_contains_chinese,repair_required
architects,zh-CN,1,zh_contains_long_english_prose,repair_required
architects,en,1,en_contains_chinese,repair_required
architects-except-landscape-and-naval,zh-CN,1,zh_contains_long_english_prose,repair_required
architects-except-landscape-and-naval,en,1,en_contains_chinese,repair_required
architectural-and-civil-drafters,zh-CN,1,zh_contains_long_english_prose,repair_required
architectural-and-civil-drafters,en,1,en_contains_chinese,repair_required
architectural-and-engineering-managers,zh-CN,1,zh_contains_long_english_prose,repair_required
architectural-and-engineering-managers,en,1,en_contains_chinese,repair_required
architecture-teachers-postsecondary,zh-CN,1,zh_contains_long_english_prose,repair_required
architecture-teachers-postsecondary,en,1,en_contains_chinese,repair_required
archivists,zh-CN,1,zh_contains_long_english_prose,repair_required
archivists,en,1,en_contains_chinese,repair_required
curators-museum-technicians-and-conservators,zh-CN,1,zh_contains_long_english_prose,repair_required
curators-museum-technicians-and-conservators,en,1,en_contains_chinese,repair_required
area-ethnic-and-cultural-studies-teachers-postsecondary,zh-CN,1,zh_contains_long_english_prose,repair_required
area-ethnic-and-cultural-studies-teachers-postsecondary,en,1,en_contains_chinese,repair_required
armored-assault-vehicle-crew-members,zh-CN,1,zh_contains_long_english_prose,repair_required
armored-assault-vehicle-crew-members,en,1,en_contains_chinese,repair_required
armored-assault-vehicle-officers,zh-CN,1,zh_contains_long_english_prose,repair_required
armored-assault-vehicle-officers,en,1,en_contains_chinese,repair_required
art-directors,zh-CN,1,zh_contains_long_english_prose,repair_required
art-directors,en,1,en_contains_chinese,repair_required
art-therapists,zh-CN,1,zh_contains_long_english_prose,repair_required
art-therapists,en,1,en_contains_chinese,repair_required
art-drama-and-music-teachers-postsecondary,zh-CN,1,zh_contains_long_english_prose,repair_required
art-drama-and-music-teachers-postsecondary,en,1,en_contains_chinese,repair_required
artillery-and-missile-crew-members,zh-CN,1,zh_contains_long_english_prose,repair_required
artillery-and-missile-crew-members,en,1,en_contains_chinese,repair_required
artillery-and-missile-officers,zh-CN,1,zh_contains_long_english_prose,repair_required
artillery-and-missile-officers,en,1,en_contains_chinese,repair_required
assemblers-and-fabricators,zh-CN,1,zh_contains_long_english_prose,repair_required
assemblers-and-fabricators,en,1,en_contains_chinese,repair_required
astronomers,zh-CN,1,zh_contains_long_english_prose,repair_required
astronomers,en,1,en_contains_chinese,repair_required
athletes-and-sports-competitors,zh-CN,1,zh_contains_long_english_prose,repair_required
athletes-and-sports-competitors,en,1,en_contains_chinese,repair_required
athletic-trainers,zh-CN,1,zh_contains_long_english_prose,repair_required
athletic-trainers,en,1,en_contains_chinese,repair_required
atmospheric-and-space-scientists,zh-CN,1,zh_contains_long_english_prose,repair_required
atmospheric-and-space-scientists,en,1,en_contains_chinese,repair_required
atmospheric-scientists-including-meteorologists,zh-CN,1,zh_contains_long_english_prose,repair_required
atmospheric-scientists-including-meteorologists,en,1,en_contains_chinese,repair_required
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,zh-CN,1,zh_contains_long_english_prose,repair_required
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,en,1,en_contains_chinese,repair_required
audio-and-video-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
audio-and-video-technicians,en,1,en_contains_chinese,repair_required
audiologists,zh-CN,1,zh_contains_long_english_prose,repair_required
audiologists,en,1,en_contains_chinese,repair_required
audiovisual-equipment-installers-and-repairers,zh-CN,1,zh_contains_long_english_prose,repair_required
audiovisual-equipment-installers-and-repairers,en,1,en_contains_chinese,repair_required
automotive-and-watercraft-service-attendants,zh-CN,1,zh_contains_long_english_prose,repair_required
automotive-and-watercraft-service-attendants,en,1,en_contains_chinese,repair_required
automotive-body-and-glass-repairers,zh-CN,1,zh_contains_long_english_prose,repair_required
automotive-body-and-glass-repairers,en,1,en_contains_chinese,repair_required
automotive-engineering-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
automotive-engineering-technicians,en,1,en_contains_chinese,repair_required
automotive-engineers,zh-CN,1,zh_contains_long_english_prose,repair_required
automotive-engineers,en,1,en_contains_chinese,repair_required
automotive-glass-installers-and-repairers,zh-CN,1,zh_contains_long_english_prose,repair_required
automotive-glass-installers-and-repairers,en,1,en_contains_chinese,repair_required
automotive-service-technicians-and-mechanics,zh-CN,1,zh_contains_long_english_prose,repair_required
automotive-service-technicians-and-mechanics,en,1,en_contains_chinese,repair_required
aviation-inspectors,zh-CN,1,zh_contains_long_english_prose,repair_required
aviation-inspectors,en,1,en_contains_chinese,repair_required
avionics-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
avionics-technicians,en,1,en_contains_chinese,repair_required
baggage-porters-and-bellhops,zh-CN,1,zh_contains_long_english_prose,repair_required
baggage-porters-and-bellhops,en,1,en_contains_chinese,repair_required
bailiffs,zh-CN,1,zh_contains_long_english_prose,repair_required
bailiffs,en,1,en_contains_chinese,repair_required
bakers,zh-CN,1,zh_contains_long_english_prose,repair_required
bakers,en,1,en_contains_chinese,repair_required
barbers,zh-CN,1,zh_contains_long_english_prose,repair_required
barbers,en,1,en_contains_chinese,repair_required
barbers-hairstylists-and-cosmetologists,zh-CN,1,zh_contains_long_english_prose,repair_required
barbers-hairstylists-and-cosmetologists,en,1,en_contains_chinese,repair_required
baristas,zh-CN,1,zh_contains_long_english_prose,repair_required
baristas,en,1,en_contains_chinese,repair_required
bartenders,zh-CN,1,zh_contains_long_english_prose,repair_required
bartenders,en,1,en_contains_chinese,repair_required
bicycle-repairers,zh-CN,1,zh_contains_long_english_prose,repair_required
bicycle-repairers,en,1,en_contains_chinese,repair_required
bill-and-account-collectors,zh-CN,1,zh_contains_long_english_prose,repair_required
bill-and-account-collectors,en,1,en_contains_chinese,repair_required
billing-and-posting-clerks,zh-CN,1,zh_contains_long_english_prose,repair_required
billing-and-posting-clerks,en,1,en_contains_chinese,repair_required
biochemists-and-biophysicists,zh-CN,1,zh_contains_long_english_prose,repair_required
biochemists-and-biophysicists,en,1,en_contains_chinese,repair_required
biomedical-engineers,zh-CN,1,zh_contains_long_english_prose,repair_required
biomedical-engineers,en,1,en_contains_chinese,repair_required
biofuels-processing-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
biofuels-processing-technicians,en,1,en_contains_chinese,repair_required
biofuels-production-managers,zh-CN,1,zh_contains_long_english_prose,repair_required
biofuels-production-managers,en,1,en_contains_chinese,repair_required
biofuels-biodiesel-technology-and-product-development-managers,zh-CN,1,zh_contains_long_english_prose,repair_required
biofuels-biodiesel-technology-and-product-development-managers,en,1,en_contains_chinese,repair_required
bioinformatics-scientists,zh-CN,1,zh_contains_long_english_prose,repair_required
bioinformatics-scientists,en,1,en_contains_chinese,repair_required
bioinformatics-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
bioinformatics-technicians,en,1,en_contains_chinese,repair_required
biological-science-teachers-postsecondary,zh-CN,1,zh_contains_long_english_prose,repair_required
biological-science-teachers-postsecondary,en,1,en_contains_chinese,repair_required
biological-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
biological-technicians,en,1,en_contains_chinese,repair_required
biologists,zh-CN,1,zh_contains_long_english_prose,repair_required
biologists,en,1,en_contains_chinese,repair_required
biomass-plant-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
biomass-plant-technicians,en,1,en_contains_chinese,repair_required
biomass-power-plant-managers,zh-CN,1,zh_contains_long_english_prose,repair_required
biomass-power-plant-managers,en,1,en_contains_chinese,repair_required
biostatisticians,zh-CN,1,zh_contains_long_english_prose,repair_required
biostatisticians,en,1,en_contains_chinese,repair_required
blockchain-engineers,zh-CN,1,zh_contains_long_english_prose,repair_required
blockchain-engineers,en,1,en_contains_chinese,repair_required
boilermakers,zh-CN,1,zh_contains_long_english_prose,repair_required
boilermakers,en,1,en_contains_chinese,repair_required
bookkeeping-accounting-and-auditing-clerks,zh-CN,1,zh_contains_long_english_prose,repair_required
bookkeeping-accounting-and-auditing-clerks,en,1,en_contains_chinese,repair_required
brickmasons-and-blockmasons,zh-CN,1,zh_contains_long_english_prose,repair_required
brickmasons-and-blockmasons,en,1,en_contains_chinese,repair_required
bridge-and-lock-tenders,zh-CN,1,zh_contains_long_english_prose,repair_required
bridge-and-lock-tenders,en,1,en_contains_chinese,repair_required
broadcast-announcers-and-radio-disc-jockeys,zh-CN,1,zh_contains_long_english_prose,repair_required
broadcast-announcers-and-radio-disc-jockeys,en,1,en_contains_chinese,repair_required
broadcast-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
broadcast-technicians,en,1,en_contains_chinese,repair_required
broadcast-and-sound-engineering-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
broadcast-and-sound-engineering-technicians,en,1,en_contains_chinese,repair_required
brokerage-clerks,zh-CN,1,zh_contains_long_english_prose,repair_required
brokerage-clerks,en,1,en_contains_chinese,repair_required
brownfield-redevelopment-specialists-and-site-managers,zh-CN,1,zh_contains_long_english_prose,repair_required
brownfield-redevelopment-specialists-and-site-managers,en,1,en_contains_chinese,repair_required
budget-analysts,zh-CN,1,zh_contains_long_english_prose,repair_required
budget-analysts,en,1,en_contains_chinese,repair_required
bus-and-truck-mechanics-and-diesel-engine-specialists,zh-CN,1,zh_contains_long_english_prose,repair_required
bus-and-truck-mechanics-and-diesel-engine-specialists,en,1,en_contains_chinese,repair_required
bus-drivers,zh-CN,1,zh_contains_long_english_prose,repair_required
bus-drivers,en,1,en_contains_chinese,repair_required
bus-drivers-school,zh-CN,1,zh_contains_long_english_prose,repair_required
bus-drivers-school,en,1,en_contains_chinese,repair_required
bus-drivers-transit-and-intercity,zh-CN,1,zh_contains_long_english_prose,repair_required
bus-drivers-transit-and-intercity,en,1,en_contains_chinese,repair_required
business-continuity-planners,zh-CN,1,zh_contains_long_english_prose,repair_required
business-continuity-planners,en,1,en_contains_chinese,repair_required
business-intelligence-analysts,zh-CN,1,zh_contains_long_english_prose,repair_required
business-intelligence-analysts,en,1,en_contains_chinese,repair_required
business-teachers-postsecondary,zh-CN,1,zh_contains_long_english_prose,repair_required
business-teachers-postsecondary,en,1,en_contains_chinese,repair_required
butchers-and-meat-cutters,zh-CN,1,zh_contains_long_english_prose,repair_required
butchers-and-meat-cutters,en,1,en_contains_chinese,repair_required
buyers-and-purchasing-agents-farm-products,zh-CN,1,zh_contains_long_english_prose,repair_required
buyers-and-purchasing-agents-farm-products,en,1,en_contains_chinese,repair_required
cabinetmakers-and-bench-carpenters,zh-CN,1,zh_contains_long_english_prose,repair_required
cabinetmakers-and-bench-carpenters,en,1,en_contains_chinese,repair_required
calibration-technologists-and-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
calibration-technologists-and-technicians,en,1,en_contains_chinese,repair_required
camera-and-photographic-equipment-repairers,zh-CN,1,zh_contains_long_english_prose,repair_required
camera-and-photographic-equipment-repairers,en,1,en_contains_chinese,repair_required
camera-operators-television-video-and-film,zh-CN,1,zh_contains_long_english_prose,repair_required
camera-operators-television-video-and-film,en,1,en_contains_chinese,repair_required
captains-mates-and-pilots-of-water-vessels,zh-CN,1,zh_contains_long_english_prose,repair_required
captains-mates-and-pilots-of-water-vessels,en,1,en_contains_chinese,repair_required
cardiovascular-technologists-and-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
cardiovascular-technologists-and-technicians,en,1,en_contains_chinese,repair_required
career-and-technical-education-teachers,zh-CN,1,zh_contains_long_english_prose,repair_required
career-and-technical-education-teachers,en,1,en_contains_chinese,repair_required
career-technical-education-teachers-middle-school,zh-CN,1,zh_contains_long_english_prose,repair_required
career-technical-education-teachers-middle-school,en,1,en_contains_chinese,repair_required
career-technical-education-teachers-postsecondary,zh-CN,1,zh_contains_long_english_prose,repair_required
career-technical-education-teachers-postsecondary,en,1,en_contains_chinese,repair_required
career-technical-education-teachers-secondary-school,zh-CN,1,zh_contains_long_english_prose,repair_required
career-technical-education-teachers-secondary-school,en,1,en_contains_chinese,repair_required
cargo-and-freight-agents,zh-CN,1,zh_contains_long_english_prose,repair_required
cargo-and-freight-agents,en,1,en_contains_chinese,repair_required
carpenters,zh-CN,1,zh_contains_long_english_prose,repair_required
carpenters,en,1,en_contains_chinese,repair_required
carpet-installers,zh-CN,1,zh_contains_long_english_prose,repair_required
carpet-installers,en,1,en_contains_chinese,repair_required
cartographers-and-photogrammetrists,zh-CN,1,zh_contains_long_english_prose,repair_required
cartographers-and-photogrammetrists,en,1,en_contains_chinese,repair_required
cashiers,zh-CN,1,zh_contains_long_english_prose,repair_required
cashiers,en,1,en_contains_chinese,repair_required
cement-masons-and-concrete-finishers,zh-CN,1,zh_contains_long_english_prose,repair_required
cement-masons-and-concrete-finishers,en,1,en_contains_chinese,repair_required
chefs-and-head-cooks,zh-CN,1,zh_contains_long_english_prose,repair_required
chefs-and-head-cooks,en,1,en_contains_chinese,repair_required
chemical-engineers,zh-CN,1,zh_contains_long_english_prose,repair_required
chemical-engineers,en,1,en_contains_chinese,repair_required
chemical-equipment-operators-and-tenders,zh-CN,1,zh_contains_long_english_prose,repair_required
chemical-equipment-operators-and-tenders,en,1,en_contains_chinese,repair_required
chemical-plant-and-system-operators,zh-CN,1,zh_contains_long_english_prose,repair_required
chemical-plant-and-system-operators,en,1,en_contains_chinese,repair_required
chemical-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
chemical-technicians,en,1,en_contains_chinese,repair_required
chemistry-teachers-postsecondary,zh-CN,1,zh_contains_long_english_prose,repair_required
chemistry-teachers-postsecondary,en,1,en_contains_chinese,repair_required
chemists,zh-CN,1,zh_contains_long_english_prose,repair_required
chemists,en,1,en_contains_chinese,repair_required
chemists-and-materials-scientists,zh-CN,1,zh_contains_long_english_prose,repair_required
chemists-and-materials-scientists,en,1,en_contains_chinese,repair_required
chief-executives,zh-CN,1,zh_contains_long_english_prose,repair_required
chief-executives,en,1,en_contains_chinese,repair_required
chief-sustainability-officers,zh-CN,1,zh_contains_long_english_prose,repair_required
chief-sustainability-officers,en,1,en_contains_chinese,repair_required
child-family-and-school-social-workers,zh-CN,1,zh_contains_long_english_prose,repair_required
child-family-and-school-social-workers,en,1,en_contains_chinese,repair_required
childcare-workers,zh-CN,1,zh_contains_long_english_prose,repair_required
childcare-workers,en,1,en_contains_chinese,repair_required
chiropractors,zh-CN,1,zh_contains_long_english_prose,repair_required
chiropractors,en,1,en_contains_chinese,repair_required
choreographers,zh-CN,1,zh_contains_long_english_prose,repair_required
choreographers,en,1,en_contains_chinese,repair_required
civil-engineering-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
civil-engineering-technicians,en,1,en_contains_chinese,repair_required
civil-engineers,zh-CN,1,zh_contains_long_english_prose,repair_required
civil-engineers,en,1,en_contains_chinese,repair_required
claims-adjusters-appraisers-examiners-and-investigators,zh-CN,1,zh_contains_long_english_prose,repair_required
claims-adjusters-appraisers-examiners-and-investigators,en,1,en_contains_chinese,repair_required
cleaners-of-vehicles-and-equipment,zh-CN,1,zh_contains_long_english_prose,repair_required
cleaners-of-vehicles-and-equipment,en,1,en_contains_chinese,repair_required
cleaning-washing-and-metal-pickling-equipment-operators-and-tenders,zh-CN,1,zh_contains_long_english_prose,repair_required
cleaning-washing-and-metal-pickling-equipment-operators-and-tenders,en,1,en_contains_chinese,repair_required
clergy,zh-CN,1,zh_contains_long_english_prose,repair_required
clergy,en,1,en_contains_chinese,repair_required
climate-change-policy-analysts,zh-CN,1,zh_contains_long_english_prose,repair_required
climate-change-policy-analysts,en,1,en_contains_chinese,repair_required
clinical-and-counseling-psychologists,zh-CN,1,zh_contains_long_english_prose,repair_required
clinical-and-counseling-psychologists,en,1,en_contains_chinese,repair_required
clinical-data-managers,zh-CN,1,zh_contains_long_english_prose,repair_required
clinical-data-managers,en,1,en_contains_chinese,repair_required
clinical-laboratory-technologists-and-technicians,zh-CN,1,zh_contains_long_english_prose,repair_required
clinical-laboratory-technologists-and-technicians,en,1,en_contains_chinese,repair_required
clinical-neuropsychologists,zh-CN,1,zh_contains_long_english_prose,repair_required
clinical-neuropsychologists,en,1,en_contains_chinese,repair_required
clinical-nurse-specialists,zh-CN,1,zh_contains_long_english_prose,repair_required
clinical-nurse-specialists,en,1,en_contains_chinese,repair_required
clinical-research-coordinators,zh-CN,1,zh_contains_long_english_prose,repair_required
clinical-research-coordinators,en,1,en_contains_chinese,repair_required
coaches-and-scouts,zh-CN,1,zh_contains_long_english_prose,repair_required
coaches-and-scouts,en,1,en_contains_chinese,repair_required
coating-painting-and-spraying-machine-setters-operators-and-tenders,zh-CN,1,zh_contains_long_english_prose,repair_required
coating-painting-and-spraying-machine-setters-operators-and-tenders,en,1,en_contains_chinese,repair_required
coil-winders-tapers-and-finishers,zh-CN,1,zh_contains_long_english_prose,repair_required
coil-winders-tapers-and-finishers,en,1,en_contains_chinese,repair_required
coin-vending-and-amusement-machine-servicers-and-repairers,zh-CN,1,zh_contains_long_english_prose,repair_required
coin-vending-and-amusement-machine-servicers-and-repairers,en,1,en_contains_chinese,repair_required
command-and-control-center-officers,zh-CN,1,zh_contains_long_english_prose,repair_required
command-and-control-center-officers,en,1,en_contains_chinese,repair_required
command-and-control-center-specialists,zh-CN,1,zh_contains_long_english_prose,repair_required
command-and-control-center-specialists,en,1,en_contains_chinese,repair_required
commercial-and-industrial-designers,zh-CN,1,zh_contains_long_english_prose,repair_required
commercial-and-industrial-designers,en,1,en_contains_chinese,repair_required
commercial-divers,zh-CN,1,zh_contains_long_english_prose,repair_required
commercial-divers,en,1,en_contains_chinese,repair_required
commercial-pilots,zh-CN,1,zh_contains_long_english_prose,repair_required
commercial-pilots,en,1,en_contains_chinese,repair_required
communications-teachers-postsecondary,zh-CN,1,zh_contains_long_english_prose,repair_required
communications-teachers-postsecondary,en,1,en_contains_chinese,repair_required
community-health-workers,zh-CN,1,zh_contains_long_english_prose,repair_required
community-health-workers,en,1,en_contains_chinese,repair_required
compensation-and-benefits-managers,zh-CN,1,zh_contains_long_english_prose,repair_required
compensation-and-benefits-managers,en,1,en_contains_chinese,repair_required
compensation-benefits-and-job-analysis-specialists,zh-CN,1,zh_contains_long_english_prose,repair_required
compensation-benefits-and-job-analysis-specialists,en,1,en_contains_chinese,repair_required
compliance-managers,zh-CN,1,zh_contains_long_english_prose,repair_required
compliance-managers,en,1,en_contains_chinese,repair_required
compliance-officers,zh-CN,1,zh_contains_long_english_prose,repair_required
compliance-officers,en,1,en_contains_chinese,repair_required
computer-and-information-research-scientists,zh-CN,1,zh_contains_long_english_prose,repair_required
computer-and-information-research-scientists,en,1,en_contains_chinese,repair_required
computer-and-information-systems-managers,zh-CN,1,zh_contains_long_english_prose,repair_required
computer-and-information-systems-managers,en,1,en_contains_chinese,repair_required
computer-hardware-engineers,zh-CN,1,zh_contains_long_english_prose,repair_required
computer-hardware-engineers,en,1,en_contains_chinese,repair_required
computer-network-architects,zh-CN,1,zh_contains_long_english_prose,repair_required
computer-network-architects,en,1,en_contains_chinese,repair_required
computer-network-support-specialists,zh-CN,1,zh_contains_long_english_prose,repair_required
computer-network-support-specialists,en,1,en_contains_chinese,repair_required
computer-numerically-controlled-tool-operators,zh-CN,1,zh_contains_long_english_prose,repair_required
computer-numerically-controlled-tool-operators,en,1,en_contains_chinese,repair_required
computer-numerically-controlled-tool-programmers,zh-CN,1,zh_contains_long_english_prose,repair_required
computer-numerically-controlled-tool-programmers,en,1,en_contains_chinese,repair_required
computer-programmers,zh-CN,1,zh_contains_long_english_prose,repair_required
computer-programmers,en,1,en_contains_chinese,repair_required
computer-science-teachers-postsecondary,zh-CN,1,zh_contains_long_english_prose,repair_required
computer-science-teachers-postsecondary,en,1,en_contains_chinese,repair_required
computer-support-specialists,zh-CN,1,zh_contains_long_english_prose,repair_required
computer-support-specialists,en,1,en_contains_chinese,repair_required
computer-systems-analysts,zh-CN,1,zh_contains_long_english_prose,repair_required
computer-systems-analysts,en,1,en_contains_chinese,repair_required
computer-systems-engineers-architects,zh-CN,1,zh_contains_long_english_prose,repair_required
