seed_ordinal,slug,title_en,title_zh,soc_code,onet_code,expected_locales
36,aircraft-structure-surfaces-rigging-and-systems-assemblers,"Aircraft Structure, Surfaces, Rigging, And Systems Assemblers",飞机结构、表面、索具、系统装配工,51-2011,51-2011.00,"['zh-CN', 'en']"
37,airfield-operations-specialists,Airfield Operations Specialists,机场运行专员,53-2022,53-2022.00,"['zh-CN', 'en']"
38,airline-and-commercial-pilots,Airline and Commercial Pilots,航空公司与商业飞行员职业诊断,53-2011,53-2011.00,"['zh-CN', 'en']"
39,airline-pilots-copilots-and-flight-engineers,"Airline Pilots, Copilots, And Flight Engineers",工程师,53-2011,53-2011.00,"['zh-CN', 'en']"
40,allergists-and-immunologists,Allergists And Immunologists,过敏专科医师免疫学医师,29-1229,29-1229.01,"['zh-CN', 'en']"
41,ambulance-drivers-and-attendants-except-emergency-medical-technicians,"Ambulance Drivers And Attendants, Except Emergency Medical Technicians",救护车司机服务员、急诊医疗技术员,53-3011,53-3011.00,"['zh-CN', 'en']"
43,anesthesiologist-assistants,Anesthesiologist Assistants,麻醉医师助理,29-1071,29-1071.01,"['zh-CN', 'en']"
44,anesthesiologists,Anesthesiologists,麻醉医师,29-1211,29-1211.00,"['zh-CN', 'en']"
49,animal-scientists,Animal Scientists,动物科学家,19-1011,19-1011.00,"['zh-CN', 'en']"
50,animal-trainers,Animal Trainers,动物训练师,39-2011,39-2011.00,"['zh-CN', 'en']"
51,announcers,Broadcast Announcers And Radio Disc Jockeys,广播主持人与电台DJ,27-3011,27-3011.00,"['zh-CN', 'en']"
52,anthropologists-and-archeologists,Anthropologists And Archeologists,人类学家与考古学家,19-3091,19-3091.00,"['zh-CN', 'en']"
53,anthropology-and-archeology-teachers-postsecondary,"Anthropology And Archeology Teachers, Postsecondary",教师、高等教育,25-1061,25-1061.00,"['zh-CN', 'en']"
55,arbitrators-mediators-and-conciliators,"Arbitrators, Mediators, And Conciliators",仲裁员、调解员与和解员,23-1022,23-1022.00,"['zh-CN', 'en']"
56,architects,"Architects, Except Landscape and Naval",建筑师（不含景观与船舶）职业诊断,17-1011,17-1011.00,"['zh-CN', 'en']"
57,architects-except-landscape-and-naval,"Architects, Except Landscape And Naval",建筑师、景观船舶,17-1011,17-1011.00,"['zh-CN', 'en']"
58,architectural-and-civil-drafters,Architectural And Civil Drafters,建筑土木制图员,17-3011,17-3011.00,"['zh-CN', 'en']"
59,architectural-and-engineering-managers,Architectural and engineering managers,建筑与工程经理职业诊断,11-9041,11-9041.00,"['zh-CN', 'en']"
60,architecture-teachers-postsecondary,"Architecture Teachers, Postsecondary",建筑教师,25-1031,25-1031.00,"['zh-CN', 'en']"
61,archivists,Archivists,档案管理员,25-4011,25-4011.00,"['zh-CN', 'en']"
62,curators-museum-technicians-and-conservators,Curators,策展人,25-4012,25-4012.00,"['zh-CN', 'en']"
63,area-ethnic-and-cultural-studies-teachers-postsecondary,"Area, Ethnic, And Cultural Studies Teachers, Postsecondary",教师、高等教育,25-1062,25-1062.00,"['zh-CN', 'en']"
66,art-directors,Art directors,艺术总监适合谁？,27-1011,27-1011.00,"['zh-CN', 'en']"
67,art-therapists,Art Therapists,治疗师,29-1129,29-1129.01,"['zh-CN', 'en']"
68,art-drama-and-music-teachers-postsecondary,"Art, Drama, And Music Teachers, Postsecondary",教师、高等教育,25-1121,25-1121.00,"['zh-CN', 'en']"
71,assemblers-and-fabricators,Team Assemblers,团队装配工,51-2092,51-2092.00,"['zh-CN', 'en']"
72,astronomers,Astronomers,其他职业,19-2011,19-2011.00,"['zh-CN', 'en']"
73,athletes-and-sports-competitors,Athletes And Sports Competitors,运动员与体育竞赛选手,27-2021,27-2021.00,"['zh-CN', 'en']"
74,athletic-trainers,Athletic Trainers,运动训练师,29-9091,29-9091.00,"['zh-CN', 'en']"
75,atmospheric-and-space-scientists,Atmospheric And Space Scientists,大气与空间科学家,19-2021,19-2021.00,"['zh-CN', 'en']"
76,atmospheric-scientists-including-meteorologists,"Atmospheric Scientists, Including Meteorologists",大气科学家（含气象学家）,19-2021,19-2021.00,"['zh-CN', 'en']"
77,atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,"Atmospheric, Earth, Marine, And Space Sciences Teachers, Postsecondary",土方、船舶、教师、高等教育,25-1051,25-1051.00,"['zh-CN', 'en']"
78,audio-and-video-technicians,Audio And Video Technicians,音频视频技术员,27-4011,27-4011.00,"['zh-CN', 'en']"
79,audiologists,Audiologists,听力学家,29-1181,29-1181.00,"['zh-CN', 'en']"
80,audiovisual-equipment-installers-and-repairers,Audiovisual Equipment Installers And Repairers,设备安装工,49-2097,49-2097.00,"['zh-CN', 'en']"
81,automotive-and-watercraft-service-attendants,Automotive And Watercraft Service Attendants,汽车与船艇服务员,53-6031,53-6031.00,"['zh-CN', 'en']"
82,automotive-body-and-glass-repairers,Automotive Body and Related Repairers,汽车车身及相关维修工适合谁？,49-3021,49-3021.00,"['zh-CN', 'en']"
83,automotive-engineering-technicians,Automotive Engineering Technicians,技术员工程,17-3027,17-3027.01,"['zh-CN', 'en']"
84,automotive-engineers,Automotive Engineers,工程师,17-2141,17-2141.02,"['zh-CN', 'en']"
85,automotive-glass-installers-and-repairers,Automotive Glass Installers And Repairers,汽车玻璃安装工,49-3022,49-3022.00,"['zh-CN', 'en']"
86,automotive-service-technicians-and-mechanics,Automotive Service Technicians And Mechanics,汽车维修技师与机械师,49-3023,49-3023.00,"['zh-CN', 'en']"
1001,transportation-inspectors,Transportation Inspectors,运输检查员,53-6051,53-6051.00,"['zh-CN', 'en']"
1002,transportation-planners,Transportation Planners,运输规划师,19-3099,19-3099.01,"['zh-CN', 'en']"
1003,transportation-security-screeners,Transportation Security Screeners,运输安全,33-9093,33-9093.00,"['zh-CN', 'en']"
1004,transportation-vehicle-equipment-and-systems-inspectors-except-aviation,"Transportation Vehicle, Equipment And Systems Inspectors, Except Aviation",运输、设备系统检查员、航空,53-6051,53-6051.07,"['zh-CN', 'en']"
1005,transportation-storage-and-distribution-managers,"Transportation, Storage, And Distribution Managers",运输、仓储与配送经理,11-3071,11-3071.00,"['zh-CN', 'en']"
1006,travel-agents,Travel Agents,旅行顾问,41-3041,41-3041.00,"['zh-CN', 'en']"
1007,travel-guides,Travel Guides,旅行导游,39-7012,39-7012.00,"['zh-CN', 'en']"
1008,treasurers-and-controllers,Treasurers And Controllers,司库与财务控制员,11-3031,11-3031.01,"['zh-CN', 'en']"
1009,tree-trimmers-and-pruners,Tree Trimmers And Pruners,布置员,37-3013,37-3013.00,"['zh-CN', 'en']"
1010,tutors,Tutors,家教与辅导教师,25-3041,25-3041.00,"['zh-CN', 'en']"
