slug,title_en,title_zh_seed,soc_code_seed,onet_code_seed,fix_required
chemical-engineers,Chemical Engineers,化学工程师,17-2041,17-2041.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
chemical-equipment-operators-and-tenders,Chemical Equipment Operators And Tenders,设备操作员看护员,51-9011,51-9011.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
chemical-plant-and-system-operators,Chemical Plant And System Operators,操作员,51-8091,51-8091.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
chemical-technicians,Chemical Technicians,化学技术员,19-4031,19-4031.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
chemistry-teachers-postsecondary,"Chemistry Teachers, Postsecondary",高校化学教师,25-1052,25-1052.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
chemists,Chemists,化学家,19-2031,19-2031.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
chemists-and-materials-scientists,Chemists,化学家职业诊断,19-2031,19-2031.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
chief-executives,Chief Executives,首席执行官,11-1011,11-1011.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
chief-sustainability-officers,Chief Sustainability Officers,首席可持续发展官,11-1011,11-1011.03,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
child-family-and-school-social-workers,"Child, Family, And School Social Workers",儿童、家庭与学校社会工作者,21-1021,21-1021.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
childcare-workers,Childcare Workers,儿童照护人员,39-9011,39-9011.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
chiropractors,Chiropractors,整脊医师适合谁？,29-1011,29-1011.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
choreographers,Choreographers,编舞师,27-2032,27-2032.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
civil-engineering-technicians,Civil Engineering Technologists And Technicians,土木工程技师与技术员,17-3022,17-3022.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
claims-adjusters-appraisers-examiners-and-investigators,"Claims Adjusters, Examiners, And Investigators",理赔核损员、审查员与调查员,13-1031,13-1031.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
cleaners-of-vehicles-and-equipment,Cleaners Of Vehicles And Equipment,清洁工设备,53-7061,53-7061.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
cleaning-washing-and-metal-pickling-equipment-operators-and-tenders,"Cleaning, Washing, And Metal Pickling Equipment Operators And Tenders",金属设备操作员看护员,51-9192,51-9192.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
clergy,Clergy,神职人员,21-2011,21-2011.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
climate-change-policy-analysts,Climate Change Policy Analysts,气候变化政策分析师,19-2041,19-2041.01,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
clinical-and-counseling-psychologists,Clinical And Counseling Psychologists,临床与咨询心理学家,19-3033,19-3033.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
clinical-data-managers,Clinical Data Managers,临床数据经理,15-2051,15-2051.02,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
clinical-laboratory-technologists-and-technicians,Medical and Clinical Laboratory Technologists,医学与临床实验室技师职业诊断,29-2011,29-2011.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
clinical-neuropsychologists,Clinical Neuropsychologists,临床神经心理学家,19-3039,19-3039.03,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
clinical-nurse-specialists,Clinical Nurse Specialists,临床护士专员,29-1141,29-1141.04,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
clinical-research-coordinators,Clinical Research Coordinators,临床研究协调员,11-9121,11-9121.01,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
coaches-and-scouts,Coaches And Scouts,教练与球探,27-2022,27-2022.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
coating-painting-and-spraying-machine-setters-operators-and-tenders,"Coating, Painting, And Spraying Machine Setters, Operators, And Tenders",机器铺设工、操作员、看护员,51-9124,51-9124.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
coil-winders-tapers-and-finishers,"Coil Winders, Tapers, And Finishers",线圈绕线工、包扎工、修整工,51-2021,51-2021.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
coin-vending-and-amusement-machine-servicers-and-repairers,"Coin, Vending, And Amusement Machine Servicers And Repairers",自动售货、机器维修员,49-9091,49-9091.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
command-and-control-center-officers,Command And Control Center Officers,官,55-1015,55-1015.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
command-and-control-center-specialists,Command And Control Center Specialists,专员,55-3015,55-3015.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
commercial-and-industrial-designers,Commercial And Industrial Designers,商业与工业设计师,27-1021,27-1021.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
commercial-divers,Commercial Divers,商业潜水员,49-9092,49-9092.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
commercial-pilots,Commercial Pilots,商业飞行员,53-2012,53-2012.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
communications-teachers-postsecondary,"Communications Teachers, Postsecondary",传播教师,25-1122,25-1122.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
community-health-workers,Community health workers,社区健康工作者职业诊断,21-1094,21-1094.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
compensation-and-benefits-managers,Compensation and benefits managers,薪酬与福利经理职业诊断,11-3111,11-3111.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
compensation-benefits-and-job-analysis-specialists,"Compensation, benefits, and job analysis specialists",薪酬、福利与岗位分析专员适合谁？,13-1141,13-1141.00,Capture at least two CN source-visible salary snippets or approved low-confidence adjacent evidence; capture My Next Move/BLS/CareerOneStop US source; capture UK National Careers direct-first or audited adjacent profile.
