slug,locale,primary_query_intent,secondary_query_intents,snippet_candidate,faq_candidates,internal_link_anchor_candidates,candidate_only,runtime_approved,preview_version
adult-literacy-and-ged-teachers,zh-CN,what-is,,如果你正在比较成人基础与中等教育及ESL教师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注学习者差异、反馈关系和准备路径。,成人基础与中等教育及ESL教师的日常工作重点是什么？|准备成人基础与中等教育及ESL教师方向时，哪些技能和项目证据最值得先看？|成人基础与中等教育及ESL教师在 AI 时代更需要保留哪些人的判断？,成人基础与中等教育及ESL教师职业概览|成人基础与中等教育及ESL教师技能与准备|成人基础与中等教育及ESL教师匹配度和相邻职业,true,false,v1
adult-literacy-and-ged-teachers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Adult Basic and Secondary Education and ESL Teachers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is learner differences, feedback work, and preparation paths.",What does Adult Basic and Secondary Education and ESL Teachers work involve?|Which skills and project evidence matter most for Adult Basic and Secondary Education and ESL Teachers?|How is AI changing the judgment needed in Adult Basic and Secondary Education and ESL Teachers roles?,Adult Basic and Secondary Education and ESL Teachers career overview|Adult Basic and Secondary Education and ESL Teachers skills and preparation|Adult Basic and Secondary Education and ESL Teachers fit and adjacent careers,true,false,v1
advanced-practice-psychiatric-nurses,zh-CN,what-is,,如果你正在比较精神科护士，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注临床责任、记录判断和患者沟通边界。,精神科护士的日常工作重点是什么？|准备精神科护士方向时，哪些技能和项目证据最值得先看？|精神科护士在 AI 时代更需要保留哪些人的判断？,精神科护士职业概览|精神科护士技能与准备|精神科护士匹配度和相邻职业,true,false,v1
advanced-practice-psychiatric-nurses,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Advanced Practice Psychiatric Nurses career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is clinical responsibility, documentation judgment, and patient-facing boundaries.",What does Advanced Practice Psychiatric Nurses work involve?|Which skills and project evidence matter most for Advanced Practice Psychiatric Nurses?|How is AI changing the judgment needed in Advanced Practice Psychiatric Nurses roles?,Advanced Practice Psychiatric Nurses career overview|Advanced Practice Psychiatric Nurses skills and preparation|Advanced Practice Psychiatric Nurses fit and adjacent careers,true,false,v1
advertising-and-promotions-managers,zh-CN,what-is,,如果你正在比较广告与促销经理，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注组织协作、资源安排和风险边界。,广告与促销经理的日常工作重点是什么？|准备广告与促销经理方向时，哪些技能和项目证据最值得先看？|广告与促销经理在 AI 时代更需要保留哪些人的判断？,广告与促销经理职业概览|广告与促销经理技能与准备|广告与促销经理匹配度和相邻职业,true,false,v1
advertising-and-promotions-managers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Advertising and Promotions Managers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is coordination, resource decisions, and operating risk.",What does Advertising and Promotions Managers work involve?|Which skills and project evidence matter most for Advertising and Promotions Managers?|How is AI changing the judgment needed in Advertising and Promotions Managers roles?,Advertising and Promotions Managers career overview|Advertising and Promotions Managers skills and preparation|Advertising and Promotions Managers fit and adjacent careers,true,false,v1
aerospace-engineering-and-operations-technicians,zh-CN,what-is,,如果你正在比较航空航天工程与运营技术员，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,航空航天工程与运营技术员的日常工作重点是什么？|准备航空航天工程与运营技术员方向时，哪些技能和项目证据最值得先看？|航空航天工程与运营技术员在 AI 时代更需要保留哪些人的判断？,航空航天工程与运营技术员职业概览|航空航天工程与运营技术员技能与准备|航空航天工程与运营技术员匹配度和相邻职业,true,false,v1
aerospace-engineering-and-operations-technicians,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Aerospace Engineering and Operations Technologists and Technicians career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does Aerospace Engineering and Operations Technologists and Technicians work involve?|Which skills and project evidence matter most for Aerospace Engineering and Operations Technologists and Technicians?|How is AI changing the judgment needed in Aerospace Engineering and Operations Technologists and Technicians roles?,Aerospace Engineering and Operations Technologists and Technicians career overview|Aerospace Engineering and Operations Technologists and Technicians skills and preparation|Aerospace Engineering and Operations Technologists and Technicians fit and adjacent careers,true,false,v1
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,what-is,,如果你正在比较经理商业，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注作品风格、受众关系和职业路径。,经理商业的日常工作重点是什么？|准备经理商业方向时，哪些技能和项目证据最值得先看？|经理商业在 AI 时代更需要保留哪些人的判断？,经理商业职业概览|经理商业技能与准备|经理商业匹配度和相邻职业,true,false,v1
agents-and-business-managers-of-artists-performers-and-athletes,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Agents and Business Managers of Artists, Performers, and Athletes career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is portfolio signals, audience context, and career direction.","What does Agents and Business Managers of Artists, Performers, and Athletes work involve?|Which skills and project evidence matter most for Agents and Business Managers of Artists, Performers, and Athletes?|How is AI changing the judgment needed in Agents and Business Managers of Artists, Performers, and Athletes roles?","Agents and Business Managers of Artists, Performers, and Athletes career overview|Agents and Business Managers of Artists, Performers, and Athletes skills and preparation|Agents and Business Managers of Artists, Performers, and Athletes fit and adjacent careers",true,false,v1
agricultural-and-food-science-technicians,zh-CN,what-is,,如果你正在比较农业与食品科学技术员，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,农业与食品科学技术员的日常工作重点是什么？|准备农业与食品科学技术员方向时，哪些技能和项目证据最值得先看？|农业与食品科学技术员在 AI 时代更需要保留哪些人的判断？,农业与食品科学技术员职业概览|农业与食品科学技术员技能与准备|农业与食品科学技术员匹配度和相邻职业,true,false,v1
agricultural-and-food-science-technicians,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Agricultural and Food Science Technicians career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does Agricultural and Food Science Technicians work involve?|Which skills and project evidence matter most for Agricultural and Food Science Technicians?|How is AI changing the judgment needed in Agricultural and Food Science Technicians roles?,Agricultural and Food Science Technicians career overview|Agricultural and Food Science Technicians skills and preparation|Agricultural and Food Science Technicians fit and adjacent careers,true,false,v1
agricultural-sciences-teachers-postsecondary,zh-CN,what-is,,如果你正在比较农业教师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注学习者差异、反馈关系和准备路径。,农业教师的日常工作重点是什么？|准备农业教师方向时，哪些技能和项目证据最值得先看？|农业教师在 AI 时代更需要保留哪些人的判断？,农业教师职业概览|农业教师技能与准备|农业教师匹配度和相邻职业,true,false,v1
agricultural-sciences-teachers-postsecondary,en,what-is,,"Use the Agricultural Sciences Teachers, Postsecondary career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is learner differences, feedback work, and preparation paths.","What does Agricultural Sciences Teachers, Postsecondary work involve?|Which skills and project evidence matter most for Agricultural Sciences Teachers, Postsecondary?|How is AI changing the judgment needed in Agricultural Sciences Teachers, Postsecondary roles?","Agricultural Sciences Teachers, Postsecondary career overview|Agricultural Sciences Teachers, Postsecondary skills and preparation|Agricultural Sciences Teachers, Postsecondary fit and adjacent careers",true,false,v1
agricultural-technicians,zh-CN,what-is,,如果你正在比较农业技术员，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,农业技术员的日常工作重点是什么？|准备农业技术员方向时，哪些技能和项目证据最值得先看？|农业技术员在 AI 时代更需要保留哪些人的判断？,农业技术员职业概览|农业技术员技能与准备|农业技术员匹配度和相邻职业,true,false,v1
agricultural-technicians,en,what-is,,"Use the Agricultural Technicians career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does Agricultural Technicians work involve?|Which skills and project evidence matter most for Agricultural Technicians?|How is AI changing the judgment needed in Agricultural Technicians roles?,Agricultural Technicians career overview|Agricultural Technicians skills and preparation|Agricultural Technicians fit and adjacent careers,true,false,v1
air-traffic-controllers,zh-CN,what-is,,如果你正在比较空中交通管制员，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注运行安全、异常处置和责任交接。,空中交通管制员的日常工作重点是什么？|准备空中交通管制员方向时，哪些技能和项目证据最值得先看？|空中交通管制员在 AI 时代更需要保留哪些人的判断？,空中交通管制员职业概览|空中交通管制员技能与准备|空中交通管制员匹配度和相邻职业,true,false,v1
air-traffic-controllers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Air Traffic Controllers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is operational safety, exception handling, and handoff responsibility.",What does Air Traffic Controllers work involve?|Which skills and project evidence matter most for Air Traffic Controllers?|How is AI changing the judgment needed in Air Traffic Controllers roles?,Air Traffic Controllers career overview|Air Traffic Controllers skills and preparation|Air Traffic Controllers fit and adjacent careers,true,false,v1
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,what-is,,如果你正在比较飞机与航空电子设备维修技师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注运行安全、异常处置和责任交接。,飞机与航空电子设备维修技师的日常工作重点是什么？|准备飞机与航空电子设备维修技师方向时，哪些技能和项目证据最值得先看？|飞机与航空电子设备维修技师在 AI 时代更需要保留哪些人的判断？,飞机与航空电子设备维修技师职业概览|飞机与航空电子设备维修技师技能与准备|飞机与航空电子设备维修技师匹配度和相邻职业,true,false,v1
aircraft-and-avionics-equipment-mechanics-and-technicians,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Aircraft and Avionics Equipment Mechanics and Technicians career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is operational safety, exception handling, and handoff responsibility.",What does Aircraft and Avionics Equipment Mechanics and Technicians work involve?|Which skills and project evidence matter most for Aircraft and Avionics Equipment Mechanics and Technicians?|How is AI changing the judgment needed in Aircraft and Avionics Equipment Mechanics and Technicians roles?,Aircraft and Avionics Equipment Mechanics and Technicians career overview|Aircraft and Avionics Equipment Mechanics and Technicians skills and preparation|Aircraft and Avionics Equipment Mechanics and Technicians fit and adjacent careers,true,false,v1
aircraft-cargo-handling-supervisors,zh-CN,what-is,,如果你正在比较飞机货物装卸主管，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注运行安全、异常处置和责任交接。,飞机货物装卸主管的日常工作重点是什么？|准备飞机货物装卸主管方向时，哪些技能和项目证据最值得先看？|飞机货物装卸主管在 AI 时代更需要保留哪些人的判断？,飞机货物装卸主管职业概览|飞机货物装卸主管技能与准备|飞机货物装卸主管匹配度和相邻职业,true,false,v1
aircraft-cargo-handling-supervisors,en,what-is,,"Use the Aircraft Cargo Handling Supervisors career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is operational safety, exception handling, and handoff responsibility.",What does Aircraft Cargo Handling Supervisors work involve?|Which skills and project evidence matter most for Aircraft Cargo Handling Supervisors?|How is AI changing the judgment needed in Aircraft Cargo Handling Supervisors roles?,Aircraft Cargo Handling Supervisors career overview|Aircraft Cargo Handling Supervisors skills and preparation|Aircraft Cargo Handling Supervisors fit and adjacent careers,true,false,v1
aircraft-launch-and-recovery-officers,zh-CN,what-is,,如果你正在比较飞机官，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注运行安全、异常处置和责任交接。,飞机官的日常工作重点是什么？|准备飞机官方向时，哪些技能和项目证据最值得先看？|飞机官在 AI 时代更需要保留哪些人的判断？,飞机官职业概览|飞机官技能与准备|飞机官匹配度和相邻职业,true,false,v1
aircraft-launch-and-recovery-officers,en,what-is,,"Use the Aircraft Launch and Recovery Officers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is operational safety, exception handling, and handoff responsibility.",What does Aircraft Launch and Recovery Officers work involve?|Which skills and project evidence matter most for Aircraft Launch and Recovery Officers?|How is AI changing the judgment needed in Aircraft Launch and Recovery Officers roles?,Aircraft Launch and Recovery Officers career overview|Aircraft Launch and Recovery Officers skills and preparation|Aircraft Launch and Recovery Officers fit and adjacent careers,true,false,v1
aircraft-service-attendants,zh-CN,what-is,,如果你正在比较飞机服务服务员，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注运行安全、异常处置和责任交接。,飞机服务服务员的日常工作重点是什么？|准备飞机服务服务员方向时，哪些技能和项目证据最值得先看？|飞机服务服务员在 AI 时代更需要保留哪些人的判断？,飞机服务服务员职业概览|飞机服务服务员技能与准备|飞机服务服务员匹配度和相邻职业,true,false,v1
aircraft-service-attendants,en,what-is,,"Use the Aircraft Service Attendants career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is operational safety, exception handling, and handoff responsibility.",What does Aircraft Service Attendants work involve?|Which skills and project evidence matter most for Aircraft Service Attendants?|How is AI changing the judgment needed in Aircraft Service Attendants roles?,Aircraft Service Attendants career overview|Aircraft Service Attendants skills and preparation|Aircraft Service Attendants fit and adjacent careers,true,false,v1
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,what-is,,如果你正在比较飞机结构、表面、索具、系统装配工，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注运行安全、异常处置和责任交接。,飞机结构、表面、索具、系统装配工的日常工作重点是什么？|准备飞机结构、表面、索具、系统装配工方向时，哪些技能和项目证据最值得先看？|飞机结构、表面、索具、系统装配工在 AI 时代更需要保留哪些人的判断？,飞机结构、表面、索具、系统装配工职业概览|飞机结构、表面、索具、系统装配工技能与准备|飞机结构、表面、索具、系统装配工匹配度和相邻职业,true,false,v1
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Aircraft Structure, Surfaces, Rigging, and Systems Assemblers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is operational safety, exception handling, and handoff responsibility.","What does Aircraft Structure, Surfaces, Rigging, and Systems Assemblers work involve?|Which skills and project evidence matter most for Aircraft Structure, Surfaces, Rigging, and Systems Assemblers?|How is AI changing the judgment needed in Aircraft Structure, Surfaces, Rigging, and Systems Assemblers roles?","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers career overview|Aircraft Structure, Surfaces, Rigging, and Systems Assemblers skills and preparation|Aircraft Structure, Surfaces, Rigging, and Systems Assemblers fit and adjacent careers",true,false,v1
airline-and-commercial-pilots,zh-CN,what-is,,如果你正在比较航空公司与商业飞行员，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注运行安全、异常处置和责任交接。,航空公司与商业飞行员的日常工作重点是什么？|准备航空公司与商业飞行员方向时，哪些技能和项目证据最值得先看？|航空公司与商业飞行员在 AI 时代更需要保留哪些人的判断？,航空公司与商业飞行员职业概览|航空公司与商业飞行员技能与准备|航空公司与商业飞行员匹配度和相邻职业,true,false,v1
airline-and-commercial-pilots,en,what-is,,"Use the Airline and Commercial Pilots career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is operational safety, exception handling, and handoff responsibility.",What does Airline and Commercial Pilots work involve?|Which skills and project evidence matter most for Airline and Commercial Pilots?|How is AI changing the judgment needed in Airline and Commercial Pilots roles?,Airline and Commercial Pilots career overview|Airline and Commercial Pilots skills and preparation|Airline and Commercial Pilots fit and adjacent careers,true,false,v1
biofuels-processing-technicians,zh-CN,what-is,,如果你正在比较生物燃料加工技术员，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,生物燃料加工技术员的日常工作重点是什么？|准备生物燃料加工技术员方向时，哪些技能和项目证据最值得先看？|生物燃料加工技术员在 AI 时代更需要保留哪些人的判断？,生物燃料加工技术员职业概览|生物燃料加工技术员技能与准备|生物燃料加工技术员匹配度和相邻职业,true,false,v1
biofuels-processing-technicians,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Biofuels Processing Technicians career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does Biofuels Processing Technicians work involve?|Which skills and project evidence matter most for Biofuels Processing Technicians?|How is AI changing the judgment needed in Biofuels Processing Technicians roles?,Biofuels Processing Technicians career overview|Biofuels Processing Technicians skills and preparation|Biofuels Processing Technicians fit and adjacent careers,true,false,v1
chiropractors,zh-CN,what-is,,如果你正在比较整脊医师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注作品风格、受众关系和职业路径。,整脊医师的日常工作重点是什么？|准备整脊医师方向时，哪些技能和项目证据最值得先看？|整脊医师在 AI 时代更需要保留哪些人的判断？,整脊医师职业概览|整脊医师技能与准备|整脊医师匹配度和相邻职业,true,false,v1
chiropractors,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Chiropractors career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is portfolio signals, audience context, and career direction.",What does Chiropractors work involve?|Which skills and project evidence matter most for Chiropractors?|How is AI changing the judgment needed in Chiropractors roles?,Chiropractors career overview|Chiropractors skills and preparation|Chiropractors fit and adjacent careers,true,false,v1
clinical-laboratory-technologists-and-technicians,zh-CN,what-is,,如果你正在比较医学与临床实验室技师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注临床责任、记录判断和患者沟通边界。,医学与临床实验室技师的日常工作重点是什么？|准备医学与临床实验室技师方向时，哪些技能和项目证据最值得先看？|医学与临床实验室技师在 AI 时代更需要保留哪些人的判断？,医学与临床实验室技师职业概览|医学与临床实验室技师技能与准备|医学与临床实验室技师匹配度和相邻职业,true,false,v1
clinical-laboratory-technologists-and-technicians,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,"Use the Medical and Clinical Laboratory Technologists career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is clinical responsibility, documentation judgment, and patient-facing boundaries.",What does Medical and Clinical Laboratory Technologists work involve?|Which skills and project evidence matter most for Medical and Clinical Laboratory Technologists?|How is AI changing the judgment needed in Medical and Clinical Laboratory Technologists roles?,Medical and Clinical Laboratory Technologists career overview|Medical and Clinical Laboratory Technologists skills and preparation|Medical and Clinical Laboratory Technologists fit and adjacent careers,true,false,v1
communications-teachers-postsecondary,zh-CN,what-is,,如果你正在比较传播教师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注学习者差异、反馈关系和准备路径。,传播教师的日常工作重点是什么？|准备传播教师方向时，哪些技能和项目证据最值得先看？|传播教师在 AI 时代更需要保留哪些人的判断？,传播教师职业概览|传播教师技能与准备|传播教师匹配度和相邻职业,true,false,v1
communications-teachers-postsecondary,en,what-is,,"Use the Communications Teachers, Postsecondary career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is learner differences, feedback work, and preparation paths.","What does Communications Teachers, Postsecondary work involve?|Which skills and project evidence matter most for Communications Teachers, Postsecondary?|How is AI changing the judgment needed in Communications Teachers, Postsecondary roles?","Communications Teachers, Postsecondary career overview|Communications Teachers, Postsecondary skills and preparation|Communications Teachers, Postsecondary fit and adjacent careers",true,false,v1
compensation-and-benefits-managers,zh-CN,what-is,,如果你正在比较薪酬与福利经理，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注组织协作、资源安排和风险边界。,薪酬与福利经理的日常工作重点是什么？|准备薪酬与福利经理方向时，哪些技能和项目证据最值得先看？|薪酬与福利经理在 AI 时代更需要保留哪些人的判断？,薪酬与福利经理职业概览|薪酬与福利经理技能与准备|薪酬与福利经理匹配度和相邻职业,true,false,v1
compensation-and-benefits-managers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Compensation and benefits managers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is coordination, resource decisions, and operating risk.",What does Compensation and benefits managers work involve?|Which skills and project evidence matter most for Compensation and benefits managers?|How is AI changing the judgment needed in Compensation and benefits managers roles?,Compensation and benefits managers career overview|Compensation and benefits managers skills and preparation|Compensation and benefits managers fit and adjacent careers,true,false,v1
electricians,zh-CN,what-is,,如果你正在比较其他职业，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注现场流程、设备安全和可验证技能。,其他职业的日常工作重点是什么？|准备其他职业方向时，哪些技能和项目证据最值得先看？|其他职业在 AI 时代更需要保留哪些人的判断？,其他职业职业概览|其他职业技能与准备|其他职业匹配度和相邻职业,true,false,v1
electricians,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Electricians career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is field workflow, equipment safety, and demonstrable skill evidence.",What does Electricians work involve?|Which skills and project evidence matter most for Electricians?|How is AI changing the judgment needed in Electricians roles?,Electricians career overview|Electricians skills and preparation|Electricians fit and adjacent careers,true,false,v1
elementary-school-teachers-except-special-education,zh-CN,what-is,,如果你正在比较教育教师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注学习者差异、反馈关系和准备路径。,教育教师的日常工作重点是什么？|准备教育教师方向时，哪些技能和项目证据最值得先看？|教育教师在 AI 时代更需要保留哪些人的判断？,教育教师职业概览|教育教师技能与准备|教育教师匹配度和相邻职业,true,false,v1
elementary-school-teachers-except-special-education,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,"Use the Elementary School Teachers, Except Special Education career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is learner differences, feedback work, and preparation paths.","What does Elementary School Teachers, Except Special Education work involve?|Which skills and project evidence matter most for Elementary School Teachers, Except Special Education?|How is AI changing the judgment needed in Elementary School Teachers, Except Special Education roles?","Elementary School Teachers, Except Special Education career overview|Elementary School Teachers, Except Special Education skills and preparation|Elementary School Teachers, Except Special Education fit and adjacent careers",true,false,v1
