slug,locale,primary_query_intent,secondary_query_intents,candidate_quality_findings,release_recommendation,candidate_only,runtime_approved
advanced-practice-psychiatric-nurses,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
advanced-practice-psychiatric-nurses,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
advertising-and-promotions-managers,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
advertising-and-promotions-managers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
advertising-sales-agents,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
advertising-sales-agents,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
advertising-promotions-and-marketing-managers,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
advertising-promotions-and-marketing-managers,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aerospace-engineering-and-operations-technicians,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aerospace-engineering-and-operations-technicians,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aerospace-engineers,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aerospace-engineers,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agents-and-business-managers-of-artists-performers-and-athletes,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-and-food-science-technicians,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-and-food-science-technicians,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-and-food-scientists,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-and-food-scientists,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-engineers,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-engineers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-equipment-operators,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-equipment-operators,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-inspectors,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-inspectors,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-sciences-teachers-postsecondary,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-sciences-teachers-postsecondary,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-technicians,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-technicians,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-workers,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
agricultural-workers,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
air-crew-members,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
air-crew-members,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
air-crew-officers,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
air-crew-officers,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
air-traffic-controllers,zh-CN,what-is,,zh_title_or_candidate_contains_diagnostic_suffix|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
air-traffic-controllers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aircraft-and-avionics-equipment-mechanics-and-technicians,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aircraft-cargo-handling-supervisors,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aircraft-cargo-handling-supervisors,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aircraft-launch-and-recovery-officers,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aircraft-launch-and-recovery-officers,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aircraft-launch-and-recovery-specialists,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aircraft-launch-and-recovery-specialists,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aircraft-mechanics-and-service-technicians,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aircraft-mechanics-and-service-technicians,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aircraft-service-attendants,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aircraft-service-attendants,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aircraft-structure-surfaces-rigging-and-systems-assemblers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
airfield-operations-specialists,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
airfield-operations-specialists,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
airline-and-commercial-pilots,zh-CN,what-is,,zh_title_or_candidate_contains_diagnostic_suffix|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
airline-and-commercial-pilots,en,what-is,,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
airline-pilots-copilots-and-flight-engineers,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
airline-pilots-copilots-and-flight-engineers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
allergists-and-immunologists,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
allergists-and-immunologists,en,what-is,,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
ambulance-drivers-and-attendants-except-emergency-medical-technicians,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
amusement-and-recreation-attendants,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
amusement-and-recreation-attendants,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
anesthesiologist-assistants,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
anesthesiologist-assistants,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
anesthesiologists,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
anesthesiologists,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
animal-breeders,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
animal-breeders,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
animal-care-and-service-workers,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
animal-care-and-service-workers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
animal-caretakers,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
animal-caretakers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
animal-control-workers,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
animal-control-workers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
animal-scientists,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
animal-scientists,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
animal-trainers,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
animal-trainers,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
announcers,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
announcers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
anthropologists-and-archeologists,zh-CN,what-is,salary|career-path|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
anthropologists-and-archeologists,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
anthropology-and-archeology-teachers-postsecondary,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
anthropology-and-archeology-teachers-postsecondary,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
appraisers-of-personal-and-business-property,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
appraisers-of-personal-and-business-property,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
arbitrators-mediators-and-conciliators,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
arbitrators-mediators-and-conciliators,en,what-is,,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
architects,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent,zh_title_or_candidate_contains_diagnostic_suffix|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
architects,en,what-is,,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
architects-except-landscape-and-naval,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
architects-except-landscape-and-naval,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
architectural-and-civil-drafters,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
architectural-and-civil-drafters,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
architectural-and-engineering-managers,zh-CN,what-is,salary|career-path|AI-impact|fit|adjacent,zh_title_or_candidate_contains_diagnostic_suffix|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
architectural-and-engineering-managers,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
architecture-teachers-postsecondary,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
architecture-teachers-postsecondary,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
archivists,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
archivists,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
curators-museum-technicians-and-conservators,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
curators-museum-technicians-and-conservators,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
area-ethnic-and-cultural-studies-teachers-postsecondary,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
area-ethnic-and-cultural-studies-teachers-postsecondary,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
armored-assault-vehicle-crew-members,zh-CN,what-is,salary|career-path|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
armored-assault-vehicle-crew-members,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
armored-assault-vehicle-officers,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
armored-assault-vehicle-officers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
art-directors,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
art-directors,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
art-therapists,zh-CN,what-is,salary|career-path|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
art-therapists,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
art-drama-and-music-teachers-postsecondary,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
art-drama-and-music-teachers-postsecondary,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
artillery-and-missile-crew-members,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
artillery-and-missile-crew-members,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
artillery-and-missile-officers,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
artillery-and-missile-officers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
assemblers-and-fabricators,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
assemblers-and-fabricators,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
astronomers,zh-CN,what-is,salary|career-path|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
astronomers,en,what-is,,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
athletes-and-sports-competitors,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
athletes-and-sports-competitors,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
athletic-trainers,zh-CN,what-is,salary|career-path|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
athletic-trainers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
atmospheric-and-space-scientists,zh-CN,what-is,salary|career-path|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
atmospheric-and-space-scientists,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
atmospheric-scientists-including-meteorologists,zh-CN,what-is,salary|career-path|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
atmospheric-scientists-including-meteorologists,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
audio-and-video-technicians,zh-CN,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
audio-and-video-technicians,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
audiologists,zh-CN,what-is,salary|career-path|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
audiologists,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
audiovisual-equipment-installers-and-repairers,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
audiovisual-equipment-installers-and-repairers,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
automotive-and-watercraft-service-attendants,zh-CN,what-is,salary|career-path|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
automotive-and-watercraft-service-attendants,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
automotive-body-and-glass-repairers,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
automotive-body-and-glass-repairers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
automotive-engineering-technicians,zh-CN,what-is,salary|career-path|AI-impact|fit|adjacent,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
automotive-engineering-technicians,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
automotive-engineers,zh-CN,what-is,salary|career-path|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
automotive-engineers,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
automotive-glass-installers-and-repairers,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
automotive-glass-installers-and-repairers,en,what-is,,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
automotive-service-technicians-and-mechanics,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
automotive-service-technicians-and-mechanics,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aviation-inspectors,zh-CN,what-is,salary|career-path|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
aviation-inspectors,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
avionics-technicians,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
avionics-technicians,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,en_question_article_plural_awkwardness|generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
baggage-porters-and-bellhops,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
baggage-porters-and-bellhops,en,what-is,salary|career-path|skills|AI-impact|fit|adjacent|education|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
bailiffs,zh-CN,what-is,salary|career-path|skills|AI-impact|fit|adjacent|certification,generic_template_phrase|generic_anchor_template,rewrite_before_runtime_preview,true,false
