slug,locale,primary_query_intent,old_snippet,new_snippet,old_faq_candidates,new_faq_candidates,old_anchor_candidates,new_anchor_candidates
accountants-and-auditors,zh-CN,what-is,会计师和审计师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“会计师和审计师适不适合我”的候选搜索摘要。,如果你正在比较会计师和审计师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注数据核对、判断边界和职业准备。,会计师和审计师主要做什么？|会计师和审计师需要哪些技能和准备？|会计师和审计师在 AI 时代哪些工作更容易被加速？,会计师和审计师的日常工作重点是什么？|准备会计师和审计师方向时，哪些技能和项目证据最值得先看？|会计师和审计师在 AI 时代更需要保留哪些人的判断？,会计师和审计师职业介绍|会计师和审计师技能与入行路径|会计师和审计师AI 影响与职业匹配,会计师和审计师职业概览|会计师和审计师技能与准备|会计师和审计师匹配度和相邻职业
adult-literacy-and-ged-teachers,en,what-is,"Adult Basic and Secondary Education and ESL Teachers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.","Use the Adult Basic and Secondary Education and ESL Teachers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is learner differences, feedback work, and preparation paths.",What does a Adult Basic and Secondary Education and ESL Teachers do?|What skills and preparation matter for Adult Basic and Secondary Education and ESL Teachers?|How does AI affect Adult Basic and Secondary Education and ESL Teachers work?,What does Adult Basic and Secondary Education and ESL Teachers work involve?|Which skills and project evidence matter most for Adult Basic and Secondary Education and ESL Teachers?|How is AI changing the judgment needed in Adult Basic and Secondary Education and ESL Teachers roles?,Adult Basic and Secondary Education and ESL Teachers career overview|Adult Basic and Secondary Education and ESL Teachers skills and entry path|Adult Basic and Secondary Education and ESL Teachers AI impact and fit,Adult Basic and Secondary Education and ESL Teachers career overview|Adult Basic and Secondary Education and ESL Teachers skills and preparation|Adult Basic and Secondary Education and ESL Teachers fit and adjacent careers
advanced-practice-psychiatric-nurses,zh-CN,what-is,精神科护士页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“精神科护士适不适合我”的候选搜索摘要。,如果你正在比较精神科护士，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注临床责任、记录判断和患者沟通边界。,精神科护士主要做什么？|精神科护士需要哪些技能和准备？|精神科护士在 AI 时代哪些工作更容易被加速？,精神科护士的日常工作重点是什么？|准备精神科护士方向时，哪些技能和项目证据最值得先看？|精神科护士在 AI 时代更需要保留哪些人的判断？,精神科护士职业介绍|精神科护士技能与入行路径|精神科护士AI 影响与职业匹配,精神科护士职业概览|精神科护士技能与准备|精神科护士匹配度和相邻职业
advanced-practice-psychiatric-nurses,en,what-is,"Advanced Practice Psychiatric Nurses covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.","Use the Advanced Practice Psychiatric Nurses career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is clinical responsibility, documentation judgment, and patient-facing boundaries.",What does a Advanced Practice Psychiatric Nurses do?|What skills and preparation matter for Advanced Practice Psychiatric Nurses?|How does AI affect Advanced Practice Psychiatric Nurses work?,What does Advanced Practice Psychiatric Nurses work involve?|Which skills and project evidence matter most for Advanced Practice Psychiatric Nurses?|How is AI changing the judgment needed in Advanced Practice Psychiatric Nurses roles?,Advanced Practice Psychiatric Nurses career overview|Advanced Practice Psychiatric Nurses skills and entry path|Advanced Practice Psychiatric Nurses AI impact and fit,Advanced Practice Psychiatric Nurses career overview|Advanced Practice Psychiatric Nurses skills and preparation|Advanced Practice Psychiatric Nurses fit and adjacent careers
advertising-and-promotions-managers,zh-CN,what-is,广告与促销经理页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“广告与促销经理适不适合我”的候选搜索摘要。,如果你正在比较广告与促销经理，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注组织协作、资源安排和风险边界。,广告与促销经理主要做什么？|广告与促销经理需要哪些技能和准备？|广告与促销经理在 AI 时代哪些工作更容易被加速？,广告与促销经理的日常工作重点是什么？|准备广告与促销经理方向时，哪些技能和项目证据最值得先看？|广告与促销经理在 AI 时代更需要保留哪些人的判断？,广告与促销经理职业介绍|广告与促销经理技能与入行路径|广告与促销经理AI 影响与职业匹配,广告与促销经理职业概览|广告与促销经理技能与准备|广告与促销经理匹配度和相邻职业
advertising-and-promotions-managers,en,what-is,"Advertising And Promotions Managers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.","Use the Advertising and Promotions Managers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is coordination, resource decisions, and operating risk.",What does a Advertising And Promotions Managers do?|What skills and preparation matter for Advertising And Promotions Managers?|How does AI affect Advertising And Promotions Managers work?,What does Advertising and Promotions Managers work involve?|Which skills and project evidence matter most for Advertising and Promotions Managers?|How is AI changing the judgment needed in Advertising and Promotions Managers roles?,Advertising And Promotions Managers career overview|Advertising And Promotions Managers skills and entry path|Advertising And Promotions Managers AI impact and fit,Advertising and Promotions Managers career overview|Advertising and Promotions Managers skills and preparation|Advertising and Promotions Managers fit and adjacent careers
aerospace-engineering-and-operations-technicians,zh-CN,what-is,航空航天工程与运营技术员适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“航空航天工程与运营技术员适合谁？适不适合我”的候选搜索摘要。,如果你正在比较航空航天工程与运营技术员，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,航空航天工程与运营技术员适合谁？主要做什么？|航空航天工程与运营技术员适合谁？需要哪些技能和准备？|航空航天工程与运营技术员适合谁？在 AI 时代哪些工作更容易被加速？,航空航天工程与运营技术员的日常工作重点是什么？|准备航空航天工程与运营技术员方向时，哪些技能和项目证据最值得先看？|航空航天工程与运营技术员在 AI 时代更需要保留哪些人的判断？,航空航天工程与运营技术员适合谁？职业介绍|航空航天工程与运营技术员适合谁？技能与入行路径|航空航天工程与运营技术员适合谁？AI 影响与职业匹配,航空航天工程与运营技术员职业概览|航空航天工程与运营技术员技能与准备|航空航天工程与运营技术员匹配度和相邻职业
aerospace-engineering-and-operations-technicians,en,what-is,"Aerospace Engineering and Operations Technologists and Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.","Use the Aerospace Engineering and Operations Technologists and Technicians career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does a Aerospace Engineering and Operations Technologists and Technicians do?|What skills and preparation matter for Aerospace Engineering and Operations Technologists and Technicians?|How does AI affect Aerospace Engineering and Operations Technologists and Technicians work?,What does Aerospace Engineering and Operations Technologists and Technicians work involve?|Which skills and project evidence matter most for Aerospace Engineering and Operations Technologists and Technicians?|How is AI changing the judgment needed in Aerospace Engineering and Operations Technologists and Technicians roles?,Aerospace Engineering and Operations Technologists and Technicians career overview|Aerospace Engineering and Operations Technologists and Technicians skills and entry path|Aerospace Engineering and Operations Technologists and Technicians AI impact and fit,Aerospace Engineering and Operations Technologists and Technicians career overview|Aerospace Engineering and Operations Technologists and Technicians skills and preparation|Aerospace Engineering and Operations Technologists and Technicians fit and adjacent careers
agents-and-business-managers-of-artists-performers-and-athletes,zh-CN,what-is,经理商业页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“经理商业适不适合我”的候选搜索摘要。,如果你正在比较经理商业，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注作品风格、受众关系和职业路径。,经理商业主要做什么？|经理商业需要哪些技能和准备？|经理商业在 AI 时代哪些工作更容易被加速？,经理商业的日常工作重点是什么？|准备经理商业方向时，哪些技能和项目证据最值得先看？|经理商业在 AI 时代更需要保留哪些人的判断？,经理商业职业介绍|经理商业技能与入行路径|经理商业AI 影响与职业匹配,经理商业职业概览|经理商业技能与准备|经理商业匹配度和相邻职业
agents-and-business-managers-of-artists-performers-and-athletes,en,what-is,"Agents And Business Managers Of Artists, Performers, And Athletes covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.","Use the Agents and Business Managers of Artists, Performers, and Athletes career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is portfolio signals, audience context, and career direction.","What does a Agents And Business Managers Of Artists, Performers, And Athletes do?|What skills and preparation matter for Agents And Business Managers Of Artists, Performers, And Athletes?|How does AI affect Agents And Business Managers Of Artists, Performers, And Athletes work?","What does Agents and Business Managers of Artists, Performers, and Athletes work involve?|Which skills and project evidence matter most for Agents and Business Managers of Artists, Performers, and Athletes?|How is AI changing the judgment needed in Agents and Business Managers of Artists, Performers, and Athletes roles?","Agents And Business Managers Of Artists, Performers, And Athletes career overview|Agents And Business Managers Of Artists, Performers, And Athletes skills and entry path|Agents And Business Managers Of Artists, Performers, And Athletes AI impact and fit","Agents and Business Managers of Artists, Performers, and Athletes career overview|Agents and Business Managers of Artists, Performers, and Athletes skills and preparation|Agents and Business Managers of Artists, Performers, and Athletes fit and adjacent careers"
agricultural-and-food-science-technicians,zh-CN,what-is,农业与食品科学技术员适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业与食品科学技术员适合谁？适不适合我”的候选搜索摘要。,如果你正在比较农业与食品科学技术员，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,农业与食品科学技术员适合谁？主要做什么？|农业与食品科学技术员适合谁？需要哪些技能和准备？|农业与食品科学技术员适合谁？在 AI 时代哪些工作更容易被加速？,农业与食品科学技术员的日常工作重点是什么？|准备农业与食品科学技术员方向时，哪些技能和项目证据最值得先看？|农业与食品科学技术员在 AI 时代更需要保留哪些人的判断？,农业与食品科学技术员适合谁？职业介绍|农业与食品科学技术员适合谁？技能与入行路径|农业与食品科学技术员适合谁？AI 影响与职业匹配,农业与食品科学技术员职业概览|农业与食品科学技术员技能与准备|农业与食品科学技术员匹配度和相邻职业
agricultural-and-food-science-technicians,en,what-is,"Agricultural and Food Science Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.","Use the Agricultural and Food Science Technicians career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does a Agricultural and Food Science Technicians do?|What skills and preparation matter for Agricultural and Food Science Technicians?|How does AI affect Agricultural and Food Science Technicians work?,What does Agricultural and Food Science Technicians work involve?|Which skills and project evidence matter most for Agricultural and Food Science Technicians?|How is AI changing the judgment needed in Agricultural and Food Science Technicians roles?,Agricultural and Food Science Technicians career overview|Agricultural and Food Science Technicians skills and entry path|Agricultural and Food Science Technicians AI impact and fit,Agricultural and Food Science Technicians career overview|Agricultural and Food Science Technicians skills and preparation|Agricultural and Food Science Technicians fit and adjacent careers
agricultural-sciences-teachers-postsecondary,zh-CN,what-is,农业教师页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业教师适不适合我”的候选搜索摘要。,如果你正在比较农业教师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注学习者差异、反馈关系和准备路径。,农业教师主要做什么？|农业教师需要哪些技能和准备？|农业教师在 AI 时代哪些工作更容易被加速？,农业教师的日常工作重点是什么？|准备农业教师方向时，哪些技能和项目证据最值得先看？|农业教师在 AI 时代更需要保留哪些人的判断？,农业教师职业介绍|农业教师技能与入行路径|农业教师AI 影响与职业匹配,农业教师职业概览|农业教师技能与准备|农业教师匹配度和相邻职业
agricultural-sciences-teachers-postsecondary,en,what-is,"Agricultural Sciences Teachers, Postsecondary covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.","Use the Agricultural Sciences Teachers, Postsecondary career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is learner differences, feedback work, and preparation paths.","What does a Agricultural Sciences Teachers, Postsecondary do?|What skills and preparation matter for Agricultural Sciences Teachers, Postsecondary?|How does AI affect Agricultural Sciences Teachers, Postsecondary work?","What does Agricultural Sciences Teachers, Postsecondary work involve?|Which skills and project evidence matter most for Agricultural Sciences Teachers, Postsecondary?|How is AI changing the judgment needed in Agricultural Sciences Teachers, Postsecondary roles?","Agricultural Sciences Teachers, Postsecondary career overview|Agricultural Sciences Teachers, Postsecondary skills and entry path|Agricultural Sciences Teachers, Postsecondary AI impact and fit","Agricultural Sciences Teachers, Postsecondary career overview|Agricultural Sciences Teachers, Postsecondary skills and preparation|Agricultural Sciences Teachers, Postsecondary fit and adjacent careers"
agricultural-technicians,zh-CN,what-is,农业技术员页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“农业技术员适不适合我”的候选搜索摘要。,如果你正在比较农业技术员，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注工具链、项目交付和问题排查。,农业技术员主要做什么？|农业技术员需要哪些技能和准备？|农业技术员在 AI 时代哪些工作更容易被加速？,农业技术员的日常工作重点是什么？|准备农业技术员方向时，哪些技能和项目证据最值得先看？|农业技术员在 AI 时代更需要保留哪些人的判断？,农业技术员职业介绍|农业技术员技能与入行路径|农业技术员AI 影响与职业匹配,农业技术员职业概览|农业技术员技能与准备|农业技术员匹配度和相邻职业
agricultural-technicians,en,what-is,"Agricultural Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.","Use the Agricultural Technicians career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is toolchains, project work, and troubleshooting evidence.",What does a Agricultural Technicians do?|What skills and preparation matter for Agricultural Technicians?|How does AI affect Agricultural Technicians work?,What does Agricultural Technicians work involve?|Which skills and project evidence matter most for Agricultural Technicians?|How is AI changing the judgment needed in Agricultural Technicians roles?,Agricultural Technicians career overview|Agricultural Technicians skills and entry path|Agricultural Technicians AI impact and fit,Agricultural Technicians career overview|Agricultural Technicians skills and preparation|Agricultural Technicians fit and adjacent careers
air-traffic-controllers,zh-CN,what-is,空中交通管制员职业诊断页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“空中交通管制员职业诊断适不适合我”的候选搜索摘要。,如果你正在比较空中交通管制员，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注运行安全、异常处置和责任交接。,空中交通管制员职业诊断主要做什么？|空中交通管制员职业诊断需要哪些技能和准备？|空中交通管制员职业诊断在 AI 时代哪些工作更容易被加速？,空中交通管制员的日常工作重点是什么？|准备空中交通管制员方向时，哪些技能和项目证据最值得先看？|空中交通管制员在 AI 时代更需要保留哪些人的判断？,空中交通管制员职业诊断职业介绍|空中交通管制员职业诊断技能与入行路径|空中交通管制员职业诊断AI 影响与职业匹配,空中交通管制员职业概览|空中交通管制员技能与准备|空中交通管制员匹配度和相邻职业
air-traffic-controllers,en,what-is,"Air Traffic Controllers covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.","Use the Air Traffic Controllers career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is operational safety, exception handling, and handoff responsibility.",What does a Air Traffic Controllers do?|What skills and preparation matter for Air Traffic Controllers?|How does AI affect Air Traffic Controllers work?,What does Air Traffic Controllers work involve?|Which skills and project evidence matter most for Air Traffic Controllers?|How is AI changing the judgment needed in Air Traffic Controllers roles?,Air Traffic Controllers career overview|Air Traffic Controllers skills and entry path|Air Traffic Controllers AI impact and fit,Air Traffic Controllers career overview|Air Traffic Controllers skills and preparation|Air Traffic Controllers fit and adjacent careers
aircraft-and-avionics-equipment-mechanics-and-technicians,zh-CN,what-is,飞机与航空电子设备维修技师适合谁？页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“飞机与航空电子设备维修技师适合谁？适不适合我”的候选搜索摘要。,如果你正在比较飞机与航空电子设备维修技师，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注运行安全、异常处置和责任交接。,飞机与航空电子设备维修技师适合谁？主要做什么？|飞机与航空电子设备维修技师适合谁？需要哪些技能和准备？|飞机与航空电子设备维修技师适合谁？在 AI 时代哪些工作更容易被加速？,飞机与航空电子设备维修技师的日常工作重点是什么？|准备飞机与航空电子设备维修技师方向时，哪些技能和项目证据最值得先看？|飞机与航空电子设备维修技师在 AI 时代更需要保留哪些人的判断？,飞机与航空电子设备维修技师适合谁？职业介绍|飞机与航空电子设备维修技师适合谁？技能与入行路径|飞机与航空电子设备维修技师适合谁？AI 影响与职业匹配,飞机与航空电子设备维修技师职业概览|飞机与航空电子设备维修技师技能与准备|飞机与航空电子设备维修技师匹配度和相邻职业
aircraft-and-avionics-equipment-mechanics-and-technicians,en,what-is,"Aircraft and Avionics Equipment Mechanics and Technicians covers the occupation definition, work activities, fit signals, and AI-era risk context for readers comparing career options.","Use the Aircraft and Avionics Equipment Mechanics and Technicians career page to compare daily work, preparation signals, fit cues, adjacent options, and AI-era change before choosing a next step. The useful lens is operational safety, exception handling, and handoff responsibility.",What does a Aircraft and Avionics Equipment Mechanics and Technicians do?|What skills and preparation matter for Aircraft and Avionics Equipment Mechanics and Technicians?|How does AI affect Aircraft and Avionics Equipment Mechanics and Technicians work?,What does Aircraft and Avionics Equipment Mechanics and Technicians work involve?|Which skills and project evidence matter most for Aircraft and Avionics Equipment Mechanics and Technicians?|How is AI changing the judgment needed in Aircraft and Avionics Equipment Mechanics and Technicians roles?,Aircraft and Avionics Equipment Mechanics and Technicians career overview|Aircraft and Avionics Equipment Mechanics and Technicians skills and entry path|Aircraft and Avionics Equipment Mechanics and Technicians AI impact and fit,Aircraft and Avionics Equipment Mechanics and Technicians career overview|Aircraft and Avionics Equipment Mechanics and Technicians skills and preparation|Aircraft and Avionics Equipment Mechanics and Technicians fit and adjacent careers
aircraft-cargo-handling-supervisors,zh-CN,what-is,飞机货物装卸主管页面已覆盖职业定义、工作内容、适配信号与风险变化，可作为“飞机货物装卸主管适不适合我”的候选搜索摘要。,如果你正在比较飞机货物装卸主管，先看这页的工作内容、能力准备、匹配信号和 AI 影响，再判断是否值得继续深入。重点关注运行安全、异常处置和责任交接。,飞机货物装卸主管主要做什么？|飞机货物装卸主管需要哪些技能和准备？|飞机货物装卸主管在 AI 时代哪些工作更容易被加速？,飞机货物装卸主管的日常工作重点是什么？|准备飞机货物装卸主管方向时，哪些技能和项目证据最值得先看？|飞机货物装卸主管在 AI 时代更需要保留哪些人的判断？,飞机货物装卸主管职业介绍|飞机货物装卸主管技能与入行路径|飞机货物装卸主管AI 影响与职业匹配,飞机货物装卸主管职业概览|飞机货物装卸主管技能与准备|飞机货物装卸主管匹配度和相邻职业
