source_id,category,title,authors_or_org,year,DOI_or_URL,source_type,verification_level,claim_supported,how_used,credibility_score,access_date,competitor_url,page_type,coverage_observed,gap_implication,do_not_copy_warning,inference_note
C2,competitor,Free Big Five Personality Test,Truity,current,https://www.truity.com/test/big-five-personality-test,competitor_public_content,metadata_verified,Competitor links test intent and trait explanation.,CTA and search-intent awareness only.,3,2026-06-14,https://www.truity.com/test/big-five-personality-test,test landing,Trait test page with learning funnel.,Keep FermatMind packages noindex and separate from test result.,Do not copy conversion copy.,
C3,competitor,How Openness Affects Your Behavior,Verywell Mind,2020,https://www.verywellmind.com/how-openness-influences-your-behavior-4796351,reference_public_content,metadata_verified,Public page covers everyday openness examples.,Gap review only.,3,2026-06-14,https://www.verywellmind.com/how-openness-influences-your-behavior-4796351,reference article,High/low examples and behavior framing.,Avoid clinical or therapy framing and copied examples.,Do not paraphrase examples.,
C4,competitor,Big Five Personality Test,Open Source Psychometrics Project,current,https://openpsychometrics.org/tests/IPIP-BFFM/,public_test_content,metadata_verified,Public test uses IPIP Big-Five Factor Markers and self-report language.,Self-report boundary and measurement awareness.,3,2026-06-14,https://openpsychometrics.org/tests/IPIP-BFFM/,public test,Public-domain Big Five test context.,Separate public content from private interpretation.,Do not copy item wording.,
C5,competitor,Free open-source BigFive personality traits test,BigFive-test.com,current,https://bigfive-test.com/en,competitor_public_test,metadata_verified,Competitor frames Big Five as trait comparison.,Search-intent awareness only.,2,2026-06-14,https://bigfive-test.com/en,public test,Trait comparison and explanation.,Use stronger evidence ledger and noindex boundary.,Do not copy copy or structure.,
C6,competitor,Our Framework,16Personalities,current,https://www.16personalities.com/articles/our-theory,competitor_framework_explainer,metadata_verified,Competitor explains a type-style public framework.,Cross-framework distinction only.,2,2026-06-14,https://www.16personalities.com/articles/our-theory,framework explainer,Type-like public framework comparison.,Clarify Big Five is not MBTI or 16Personalities-style type system.,Do not adopt proprietary framing.,
C7,competitor,Big Five Personality Traits,Simply Psychology,current,https://www.simplypsychology.org/big-five-personality.html,reference_public_content,metadata_verified,Public reference pages cover trait definitions and examples.,SERP gap awareness only.,2,2026-06-14,https://www.simplypsychology.org/big-five-personality.html,reference article,Common education-style overview.,FermatMind needs more product-specific method boundary.,Do not copy examples or section shape.,
C8,competitor,Personality Assessor Big Five,Personality Assessor,current,https://personality-assessor.com/ipip300/,public_test_content,metadata_verified,Public test page demonstrates long-form Big Five inventory context.,Measurement depth awareness only.,2,2026-06-14,https://personality-assessor.com/ipip300/,public test,Longer assessment and facet language.,Avoid turning public pages into assessment claims.,Do not copy item language.,
I1,internal,Big Five V1 seed,fap-api backend/content_assets/personality_public/big_five_v1_seed.json,2026,<fap-api-backend>/content_assets/personality_public/big_five_v1_seed.json,internal_product_source,repo_research_packet,Seed provides Big Five content assets and V1 render candidate records.,"Authority for entity_type, code, locale, canonical path, robots and launch flags.",5,2026-06-14,,,,,,inference: backend remains import authority.
I2,internal,Big Five public route registry,fap-web lib/personality/bigFivePublicRoutes.ts,2026,<temp-fap-web>/lib/personality/bigFivePublicRoutes.ts,internal_product_source,repo_research_packet,Route registry defines 17 Big Five public route entries per locale.,Route and canonical generation.,5,2026-06-14,,,,,,inference: route registry is frontend route authority.
I3,internal,Personality public asset adapter,fap-web lib/cms/personality-public-content-assets.ts,2026,<temp-fap-web>/lib/cms/personality-public-content-assets.ts,internal_product_source,repo_research_packet,"Adapter consumes sections, FAQ, media, method boundary, evidence notes and internal links.",Render compatibility reference only.,5,2026-06-14,,,,,,inference: package shape should stay compatible with API adapter.
I4,internal,Personality public content asset contract,fap-api backend/app/Services/Cms/PersonalityPublicContentAssetContract.php,2026,<fap-api-backend>/app/Services/Cms/PersonalityPublicContentAssetContract.php,internal_product_source,repo_research_packet,"Backend contract validates framework/entity types, launch gates, forbidden programmatic pages and private modules.",Import handoff preview and QA boundary.,5,2026-06-14,,,,,,inference: import execution belongs to future backend PR.
I5,internal,Big Five dry-run 02 output,fap-web generated/public-profile-assets/big-five-v1-openness-dry-run-codex-only,2026,<temp-fap-web>/generated/public-profile-assets/big-five-v1-openness-dry-run-codex-only,internal_taxonomy_reference,repo_research_packet,"Prior dry-run passed noindex, private boundary and Big Five no-go gates.",Reuse guardrails and QA process only; no private result body copy.,5,2026-06-14,,,,,,"inference: previous openness package informs guardrails, not universal template copy."
